endpoint,keylen,time
client,192,33759
server,192,36165
client,192,32258
server,192,36278
server,192,36377
client,192,31950
client,192,32206
server,192,36068
client,192,33426
server,192,37669
server,192,34830
client,192,30743
client,192,31291
server,192,35322
client,192,33103
server,192,37096
client,192,31746
server,192,35802
client,192,327559
server,192,331105
server,192,330362
client,192,326192
client,192,327098
server,192,331182
server,192,37303
client,192,31754
client,192,30851
server,192,34798
client,192,31943
server,192,35970
client,192,32608
server,192,36686
server,192,35667
client,192,31224
client,192,31090
server,192,35236
client,192,31064
server,192,35162
client,192,34021
server,192,37646
server,192,35196
client,192,31413
client,192,31980
server,192,35886
client,192,31766
server,192,35788
client,192,37371
server,192,41574
client,192,31089
server,192,35340
client,192,31915
server,192,35970
client,192,31241
server,192,35329
client,192,31318
server,192,35478
client,192,31180
server,192,35203
server,192,37615
client,192,33239
client,192,32368
server,192,38011
client,192,32866
server,192,37275
client,192,32459
server,192,36463
client,192,31158
server,192,35165
client,192,31188
server,192,35325
client,192,32769
server,192,36808
client,192,31067
server,192,35255
server,192,36229
client,192,32240
client,192,31576
server,192,35369
client,192,30793
server,192,35560
server,192,35563
client,192,31344
server,192,35203
client,192,31420
client,192,31058
server,192,35205
client,192,32891
server,192,38576
client,192,31153
server,192,35288
client,192,31480
server,192,35803
client,192,31669
server,192,35712
client,192,32804
server,192,36757
client,192,31172
server,192,35162
server,192,36245
client,192,31390
client,192,33403
server,192,37611
client,192,31158
server,192,35143
client,192,31085
server,192,35083
client,192,30927
server,192,34872
client,192,31417
server,192,35446
client,192,32939
server,192,36962
client,192,32308
server,192,35589
client,192,33371
server,192,37506
client,192,31535
server,192,35471
client,192,32588
server,192,37061
client,192,33003
server,192,36871
client,192,32680
server,192,37182
client,192,32246
server,192,36298
client,192,30966
server,192,35570
server,192,34942
client,192,30880
client,192,31087
server,192,35328
client,192,31276
server,192,35250
client,192,31463
server,192,35434
client,192,30797
server,192,35172
client,192,31914
server,192,36631
client,192,31128
server,192,35376
client,192,31633
server,192,35592
client,192,32406
server,192,36561
client,192,32489
server,192,36729
client,192,31320
server,192,35534
client,192,30790
server,192,35495
client,192,31036
server,192,35505
client,192,31541
server,192,35391
client,192,30960
server,192,34901
client,192,31423
server,192,35364
client,192,31613
server,192,35520
client,192,30676
server,192,34775
client,192,37861
server,192,42017
client,192,31182
server,192,35484
client,192,31055
server,192,35309
client,192,31930
server,192,35900
client,192,32050
server,192,36314
client,192,30936
server,192,34891
client,192,31410
server,192,35569
client,192,30624
server,192,34748
client,192,33090
server,192,37213
client,192,31634
server,192,35542
client,192,30987
server,192,35210
client,192,30682
server,192,34820
client,192,31614
server,192,35918
client,192,30778
server,192,35097
client,192,31511
server,192,35684
client,192,31772
server,192,35777
client,192,31645
server,192,35830
client,192,323132
server,192,327259
client,192,31260
server,192,35534
client,192,33600
server,192,37774
client,192,31598
server,192,35651
client,192,31408
server,192,35486
client,192,31115
server,192,35065
server,192,35134
client,192,31060
client,192,31256
server,192,35259
client,192,31640
server,192,36468
client,192,31325
server,192,35472
client,192,31066
server,192,35058
client,192,31441
server,192,35415
client,192,34897
server,192,38985
client,192,31781
server,192,36448
client,192,31167
server,192,35209
client,192,31323
server,192,35501
client,192,32070
server,192,36259
client,192,31503
server,192,35407
client,192,31411
server,192,35469
client,192,31738
server,192,35701
client,192,32367
server,192,36357
client,192,31335
server,192,35134
client,192,31637
server,192,35645
client,192,31010
server,192,35035
server,192,35160
client,192,31153
client,192,30585
server,192,34674
client,192,38340
server,192,42457
client,192,31179
server,192,35308
server,192,36029
client,192,31808
client,192,31540
server,192,35513
server,192,35441
client,192,31143
client,192,32789
server,192,37107
client,192,31098
server,192,35291
client,192,31900
server,192,36626
client,192,31971
server,192,36422
client,192,30894
server,192,34990
client,192,31988
server,192,35966
client,192,31013
server,192,34961
client,192,30575
server,192,34388
client,192,33537
server,192,37679
client,192,32216
server,192,37007
client,192,32638
server,192,36732
client,192,31504
server,192,37024
client,192,31244
server,192,35219
client,192,31324
server,192,35224
client,192,32179
server,192,36039
client,192,31011
server,192,35332
client,192,32213
server,192,36164
client,192,31280
server,192,35373
client,192,31503
server,192,35550
client,192,31027
server,192,35018
server,192,35800
client,192,31387
client,192,30852
server,192,35106
client,192,31185
server,192,35082
client,192,31390
server,192,35358
client,192,31636
server,192,35707
client,192,32305
server,192,36485
client,192,31414
server,192,35446
client,192,32133
server,192,35856
client,192,31672
server,192,35753
client,192,30951
server,192,34925
client,192,31747
server,192,35812
client,192,31094
server,192,35197
client,192,35177
server,192,39723
client,192,32569
server,192,36575
client,192,30779
server,192,35208
client,192,34540
server,192,38866
client,192,31018
server,192,35050
client,192,30708
server,192,34974
