endpoint,time
client,71921
server,82349
client,74932
server,85457
server,83877
client,73505
server,84100
client,73807
server,83913
client,73477
server,84049
client,73609
server,84454
client,73917
server,84800
client,74435
server,83165
client,72757
server,83265
client,72904
server,83262
client,72812
server,84288
client,73627
server,85275
client,74029
client,73570
server,84021
server,84142
client,73761
server,83790
client,73402
server,84049
client,73671
server,84263
client,73751
server,84379
client,73558
server,84758
client,74375
server,82926
client,72583
client,73111
server,83735
server,83865
client,73483
client,73968
server,84380
server,85674
client,75052
server,84534
client,74108
server,83406
client,73020
server,84076
client,73710
server,82965
client,72619
server,84497
client,74116
server,84351
client,73842
server,83451
client,73017
client,73325
server,83909
client,73153
server,83543
server,83758
client,73398
client,73816
server,84243
server,85106
client,74445
client,73792
server,84147
client,72805
server,83171
server,83178
client,72798
client,73205
server,83635
client,73193
server,83569
server,84704
client,74394
server,83340
client,72900
server,83228
client,72861
server,83990
client,73620
server,84264
client,73887
server,83968
client,73585
server,85118
client,74629
server,83235
client,72799
server,82963
client,72578
server,84349
client,73936
server,84197
client,73776
client,74178
server,84585
server,85160
client,74801
server,84163
client,73695
server,84113
client,73700
server,83804
client,73431
client,73927
server,84302
server,83800
client,73361
server,84879
client,74464
server,83082
client,72681
server,83032
client,72749
server,84064
client,73696
server,83047
client,72690
server,83017
client,72644
client,75040
server,85415
server,83278
client,72925
server,83231
client,72811
server,84522
client,74160
client,73148
server,83508
server,84541
client,73490
server,84103
client,73727
client,73894
server,84251
server,84137
client,73592
server,83333
client,72975
server,83976
client,73618
server,84904
client,74098
server,83392
client,72977
server,84055
client,73599
server,83682
client,73366
server,83473
client,73109
server,83585
client,73190
server,85316
client,74627
server,83771
client,73205
server,84261
client,73948
server,84045
client,73672
server,83923
client,73562
server,83808
client,73428
server,84928
client,74658
server,83615
client,73165
server,84132
client,73521
server,84075
client,73718
client,73094
server,83509
server,83767
client,73417
server,85326
client,74831
server,84029
client,73656
server,83936
client,73613
server,83817
client,73414
server,83977
client,73566
server,83592
client,73083
server,85897
client,75468
server,83989
client,73535
server,84908
client,74666
server,82986
client,72612
server,84078
client,73637
server,85000
client,74405
server,84233
client,73810
server,84478
client,74124
server,84248
client,73842
server,83905
client,73550
server,83433
client,73040
server,85470
client,74991
server,83794
client,73183
server,83667
client,73230
server,82906
client,72541
server,83341
client,72996
server,84074
