endpoint,min_input,max_input,cycles,time
server,32,8192,114244987,44060
client,32,8192,819483941,316036
server,32,8192,25940372,10004
client,32,8192,734205357,283149
server,32,8192,26632703,10271
client,32,8192,733678978,282947
server,32,8192,27796960,10722
client,32,8192,737744802,284515
server,32,8192,94001436,36252
client,32,8192,721206648,278136
server,32,8192,65558819,25283
client,32,8192,733715280,282961
server,32,8192,26199672,10105
client,32,8192,743280857,286651
server,32,8192,87324461,33676
client,32,8192,728892300,281100
server,32,8192,26121882,10074
client,32,8192,739894399,285343
server,32,8192,26318950,10151
client,32,8192,732732533,282581
server,32,8192,29998417,11590
client,32,8192,747504854,288279
server,32,8192,27006095,10416
client,32,8192,724953533,279581
server,32,8192,26194486,10103
client,32,8192,733767140,282981
server,32,8192,25917035,9996
client,32,8192,737208051,284307
server,32,8192,65571784,25288
client,32,8192,731659031,282167
server,32,8192,95598724,36868
client,32,8192,679337477,261989
server,32,8192,89647789,34574
client,32,8192,711944452,274564
server,32,8192,48727656,18792
client,32,8192,736137142,283894
server,32,8192,44807040,17292
client,32,8192,750116005,289287
server,32,8192,25507341,9837
client,32,8192,727572463,280591
server,32,8192,26160777,10090
client,32,8192,735260708,283557
server,32,8192,27542846,10624
client,32,8192,738696433,284881
server,32,8192,90941696,35072
client,32,8192,735320347,283581
server,32,8192,28175538,10867
client,32,8192,735486299,283644
server,32,8192,27711391,10687
client,32,8192,733142227,282740
server,32,8192,32155793,12401
client,32,8192,734755073,283361
server,32,8192,28919729,11153
client,32,8192,730292520,281640
server,32,8192,27363929,10553
client,32,8192,742611863,286393
server,32,8192,87316682,33675
client,32,8192,735258115,283555
server,32,8192,69043811,26627
client,32,8192,738750886,284902
server,32,8192,27854006,10743
client,32,8192,746169459,287763
server,32,8192,93773252,36164
client,32,8192,750209353,289321
server,32,8192,31694239,12224
client,32,8192,746094262,287734
server,32,8192,22891004,8828
client,32,8192,733090367,282719
server,32,8192,89904496,34672
client,32,8192,723213630,278910
server,32,8192,27846227,10739
client,32,8192,738374901,284757
server,32,8192,30161776,11632
client,32,8192,731021153,281921
server,32,8192,31165267,12019
client,32,8192,740052572,285404
server,32,8192,89619266,34562
client,32,8192,732779207,282599
server,32,8192,93277989,35973
client,32,8192,696072699,268444
server,32,8192,89502581,34518
client,32,8192,690090648,266137
server,32,8192,97950575,37776
client,32,8192,655038474,252619
server,32,8192,76900601,29657
client,32,8192,731990935,282295
server,32,8192,27195384,10489
client,32,8192,734034219,283083
server,32,8192,27306883,10532
client,32,8192,730754074,281819
server,32,8192,28258514,10899
client,32,8192,758141340,292380
server,32,8192,27537660,10620
client,32,8192,721642272,278304
server,32,8192,81096075,31276
client,32,8192,727821391,280687
server,32,8192,29399434,11340
client,32,8192,724582734,279438
server,32,8192,90078227,34740
client,32,8192,724766837,279509
server,32,8192,25631805,9885
