endpoint,time
client,73724
server,84670
client,73249
server,83513
client,72739
server,83055
client,72912
server,83267
client,73048
server,83384
client,72727
server,82999
client,72743
server,83087
client,72778
server,83116
client,73517
server,83902
client,73363
server,83675
client,72284
server,82498
client,72613
server,83096
client,72504
server,82811
client,72713
server,83056
client,73146
server,83870
client,72695
server,83000
client,72498
server,82772
client,73228
server,83484
client,71885
server,82166
client,73426
server,83777
client,72790
server,83115
client,73425
server,83673
client,73260
server,83539
client,72993
server,83361
client,72568
server,82884
server,82777
client,72467
client,73181
server,83475
client,73047
server,83278
client,73112
server,83438
client,72613
server,82939
client,73166
server,83489
client,72817
server,83145
client,73021
server,83271
client,72627
server,82977
client,73371
server,83709
client,73497
server,83812
client,73684
server,83959
client,73542
server,83882
client,73764
server,84097
client,73987
server,84275
client,73823
server,84146
client,73559
server,83973
client,73641
server,83954
client,73419
server,83717
client,73813
server,84148
client,72829
server,83122
client,72826
server,83125
client,72736
server,83040
server,83545
client,73211
client,73519
server,83843
client,73923
server,84360
client,72623
server,82959
client,73107
server,83447
client,73211
server,83492
client,73980
server,84317
client,73774
server,84112
client,73414
server,83805
client,72881
server,83230
client,72675
server,82966
client,72996
server,83263
client,73125
server,83410
client,73534
server,83847
client,73377
server,83683
client,73501
server,83892
client,73186
server,83448
server,83354
client,73023
client,73774
server,84088
client,73430
server,83702
client,73153
server,83558
client,73425
server,83639
client,73162
server,83412
client,73568
server,84151
client,72718
server,83071
client,72944
server,83859
server,83746
client,73495
client,73699
server,84011
client,73142
server,83460
client,74455
server,84761
client,73069
server,83325
client,73839
server,84183
client,73898
server,84163
client,73296
server,83622
client,80155
server,90499
client,73741
server,84073
client,74094
server,84490
client,73628
server,83901
client,73665
server,83946
client,72704
server,83014
client,73759
server,84077
client,73613
server,83970
client,73468
server,83779
client,73060
server,83347
client,73694
server,83979
client,73655
server,83929
client,72636
server,82886
client,73651
server,83963
client,73468
server,83813
client,73005
server,83394
client,73445
server,83955
client,72771
server,83059
client,73631
server,83900
client,73324
server,83620
client,73091
server,83345
client,73203
server,83476
client,73966
server,84273
client,73223
server,83578
client,72858
server,83172
client,72727
server,83063
client,72935
server,83250
client,80161
server,90707
client,73438
server,83740
client,73766
server,84110
client,72780
server,83079
client,72902
server,83244
client,73115
server,83786
client,73459
server,83838
client,73025
server,83336
client,73688
server,83997
client,73793
server,84106
client,73493
server,83774
client,73927
server,84240
client,72999
server,83338
client,73007
server,83289
client,73599
server,83907
client,73415
server,83740
client,74274
