endpoint,operation,msglen,time
client,hash,8192,136
server,verify,8192,88
server,hash,8192,89
client,verify,8192,100
client,hash,8192,104
server,verify,8192,90
server,hash,8192,89
client,verify,8192,97
client,hash,8192,138
server,verify,8192,110
server,hash,8192,89
client,verify,8192,117
client,hash,8192,99
server,verify,8192,90
server,hash,8192,92
client,verify,8192,100
client,hash,8192,93
server,verify,8192,104
server,hash,8192,91
client,verify,8192,90
client,hash,16384,174
server,verify,16384,172
server,hash,16384,173
client,verify,16384,179
client,hash,16384,173
server,verify,16384,176
server,hash,16384,176
client,verify,16384,175
client,hash,16384,186
server,verify,16384,172
server,hash,16384,173
client,verify,16384,180
client,hash,16384,227
server,verify,16384,173
server,hash,16384,214
client,verify,16384,183
client,hash,16384,242
server,verify,16384,173
server,hash,16384,179
client,verify,16384,283
