sec_lvl,test_id,time
1,0,17
1,0,1
1,0,904
1,0,8
1,0,1
1,0,1
1,0,22849
1,0,22630
1,0,1
1,1,24
1,1,1
1,1,4
1,1,5
1,1,11
1,1,1
1,1,20752
1,1,16344
1,1,1
1,2,14
1,2,1
1,2,5
1,2,7
1,2,1
1,2,2
1,2,20749
1,2,15482
1,2,1
1,3,9
1,3,1
1,3,4
1,3,5
1,3,1
1,3,2
1,3,19847
1,3,15812
1,3,1
1,4,10
1,4,1
1,4,4
1,4,5
1,4,1
1,4,2
1,4,19887
1,4,15688
1,4,1
1,5,10
1,5,1
1,5,4
1,5,7
1,5,1
1,5,2
1,5,23744
1,5,21558
1,5,1
1,6,11
1,6,2
1,6,4
1,6,6
1,6,1
1,6,1
1,6,20528
1,6,16644
1,6,1
1,7,10
1,7,1
1,7,4
1,7,5
1,7,1
1,7,1
1,7,20921
1,7,18481
1,7,1
1,8,10
1,8,0
1,8,4
1,8,5
1,8,1
1,8,1
1,8,20064
1,8,15963
1,8,1
1,9,11
1,9,1
1,9,8
1,9,6
1,9,1
1,9,1
1,9,22231
1,9,17073
1,9,2
1,10,13
1,10,1
1,10,4
1,10,6
1,10,1
1,10,2
1,10,24095
1,10,15917
1,10,1
1,11,9
1,11,0
1,11,4
1,11,4
1,11,1
1,11,1
1,11,20297
1,11,15754
1,11,0
1,12,10
1,12,1
1,12,6
1,12,8
1,12,1
1,12,2
1,12,22353
1,12,16928
1,12,2
1,13,11
1,13,1
1,13,7
1,13,7
1,13,1
1,13,2
1,13,21412
1,13,18261
1,13,1
1,14,10
1,14,1
1,14,3
1,14,5
1,14,1
1,14,1
1,14,20318
1,14,15947
1,14,1
1,15,9
1,15,1
1,15,5
1,15,7
1,15,1
1,15,1
1,15,20300
1,15,15819
1,15,1
1,16,10
1,16,1
1,16,6
1,16,6
1,16,1
1,16,2
1,16,20532
1,16,15717
1,16,1
1,17,10
1,17,0
1,17,4
1,17,5
1,17,1
1,17,1
1,17,20145
1,17,15797
1,17,1
1,18,9
1,18,0
1,18,6
1,18,5
1,18,0
1,18,2
1,18,20146
1,18,15731
1,18,0
1,19,10
