endpoint,operation,msglen,time
client,hash,4096,31
server,verify,4096,24
server,hash,4096,23
client,verify,4096,24
client,hash,4096,23
server,verify,4096,24
server,hash,4096,22
client,verify,4096,24
client,hash,4096,22
server,verify,4096,25
server,hash,4096,23
client,verify,4096,25
client,hash,4096,33
server,verify,4096,24
server,hash,4096,23
client,verify,4096,24
client,hash,4096,22
server,verify,4096,25
server,hash,4096,23
client,verify,4096,24
client,hash,8192,41
server,verify,8192,43
server,hash,8192,40
client,verify,8192,43
client,hash,8192,41
server,verify,8192,50
server,hash,8192,40
client,verify,8192,43
client,hash,8192,41
server,verify,8192,43
server,hash,8192,41
client,verify,8192,45
client,hash,8192,40
server,verify,8192,43
server,hash,8192,41
client,verify,8192,42
client,hash,8192,41
server,verify,8192,44
server,hash,8192,40
client,verify,8192,43
client,hash,16384,76
server,verify,16384,81
server,hash,16384,76
client,verify,16384,80
client,hash,16384,76
server,verify,16384,81
server,hash,16384,76
client,verify,16384,78
client,hash,16384,76
server,verify,16384,86
server,hash,16384,89
client,verify,16384,81
client,hash,16384,76
server,verify,16384,80
server,hash,16384,76
client,verify,16384,81
client,hash,16384,76
server,verify,16384,82
server,hash,16384,76
client,verify,16384,80
