sec_lvl,test_id,operation,time
1,0,get_ecdh_params_from_cert,6
1,0,ecdh_read_public,5
1,0,ecdh_calc_secret,9842
1,0,sha256_hash_master_secret,19
1,0,sha256_hash_key_expansion,53
1,0,rsa_verify_with_sha256,526
1,1,get_ecdh_params_from_cert,5
1,1,ecdh_read_public,5
1,1,ecdh_calc_secret,10022
1,1,sha256_hash_master_secret,19
1,1,sha256_hash_key_expansion,54
1,1,rsa_verify_with_sha256,545
1,2,get_ecdh_params_from_cert,6
1,2,ecdh_read_public,5
1,2,ecdh_calc_secret,10564
1,2,sha256_hash_master_secret,21
1,2,sha256_hash_key_expansion,55
1,2,rsa_verify_with_sha256,542
1,3,get_ecdh_params_from_cert,5
1,3,ecdh_read_public,5
1,3,ecdh_calc_secret,10411
1,3,sha256_hash_master_secret,20
1,3,sha256_hash_key_expansion,55
1,3,rsa_verify_with_sha256,513
1,4,get_ecdh_params_from_cert,7
1,4,ecdh_read_public,5
1,4,ecdh_calc_secret,10339
1,4,sha256_hash_master_secret,22
1,4,sha256_hash_key_expansion,55
1,4,rsa_verify_with_sha256,519
1,5,get_ecdh_params_from_cert,5
1,5,ecdh_read_public,4
1,5,ecdh_calc_secret,10880
1,5,sha256_hash_master_secret,20
1,5,sha256_hash_key_expansion,53
1,5,rsa_verify_with_sha256,771
1,6,get_ecdh_params_from_cert,7
1,6,ecdh_read_public,5
1,6,ecdh_calc_secret,11095
1,6,sha256_hash_master_secret,20
1,6,sha256_hash_key_expansion,53
1,6,rsa_verify_with_sha256,521
1,7,get_ecdh_params_from_cert,5
1,7,ecdh_read_public,5
1,7,ecdh_calc_secret,17893
1,7,sha256_hash_master_secret,25
1,7,sha256_hash_key_expansion,103
1,7,rsa_verify_with_sha256,550
1,8,get_ecdh_params_from_cert,7
1,8,ecdh_read_public,5
1,8,ecdh_calc_secret,10536
1,8,sha256_hash_master_secret,24
1,8,sha256_hash_key_expansion,59
1,8,rsa_verify_with_sha256,513
1,9,get_ecdh_params_from_cert,7
1,9,ecdh_read_public,4
1,9,ecdh_calc_secret,11115
1,9,sha256_hash_master_secret,48
1,9,sha256_hash_key_expansion,150
1,9,rsa_verify_with_sha256,496
1,10,get_ecdh_params_from_cert,5
1,10,ecdh_read_public,5
1,10,ecdh_calc_secret,10799
1,10,sha256_hash_master_secret,20
1,10,sha256_hash_key_expansion,53
1,10,rsa_verify_with_sha256,528
1,11,get_ecdh_params_from_cert,7
1,11,ecdh_read_public,5
1,11,ecdh_calc_secret,10425
1,11,sha256_hash_master_secret,21
1,11,sha256_hash_key_expansion,55
1,11,rsa_verify_with_sha256,526
1,12,get_ecdh_params_from_cert,5
