endpoint,min_input,max_input,time
server,32,8192,88674
client,32,8192,89116
server,32,8192,86822
client,32,8192,87154
server,32,8192,86010
client,32,8192,86293
server,32,8192,85751
client,32,8192,86114
server,32,8192,86477
client,32,8192,86811
server,32,8192,86169
client,32,8192,86440
server,32,8192,86476
client,32,8192,86847
server,32,8192,86549
client,32,8192,86838
server,32,8192,85920
client,32,8192,86297
server,32,8192,86746
client,32,8192,87122
server,32,8192,86362
client,32,8192,86637
server,32,8192,87241
client,32,8192,87556
server,32,8192,85527
client,32,8192,85909
server,32,8192,86520
client,32,8192,86829
server,32,8192,86958
client,32,8192,87273
server,32,8192,86960
client,32,8192,87337
server,32,8192,86407
client,32,8192,86803
server,32,8192,85839
client,32,8192,86159
server,32,8192,86145
client,32,8192,86469
server,32,8192,91801
client,32,8192,92159
server,32,8192,86037
client,32,8192,86393
server,32,8192,86781
client,32,8192,87124
server,32,8192,86333
client,32,8192,86675
server,32,8192,86589
client,32,8192,86953
server,32,8192,86053
client,32,8192,86369
server,32,8192,86273
client,32,8192,86630
server,32,8192,86648
client,32,8192,86976
server,32,8192,86595
client,32,8192,86986
server,32,8192,86476
client,32,8192,86868
server,32,8192,85741
client,32,8192,86068
server,32,8192,86444
client,32,8192,86764
server,32,8192,86258
client,32,8192,86578
server,32,8192,87342
client,32,8192,87741
server,32,8192,85968
client,32,8192,86332
server,32,8192,86343
client,32,8192,86704
server,32,8192,86186
client,32,8192,86577
server,32,8192,86652
client,32,8192,87012
server,32,8192,86196
client,32,8192,86528
server,32,8192,86759
client,32,8192,87096
server,32,8192,86762
client,32,8192,87131
server,32,8192,89053
client,32,8192,89368
server,32,8192,86466
client,32,8192,86767
server,32,8192,85676
client,32,8192,85963
server,32,8192,87044
client,32,8192,87387
server,32,8192,87324
client,32,8192,87693
server,32,8192,86405
client,32,8192,86728
server,32,8192,86923
client,32,8192,87282
server,32,8192,86269
client,32,8192,86622
server,32,8192,87069
client,32,8192,87443
server,32,8192,86021
client,32,8192,86374
server,32,8192,86470
client,32,8192,86793
server,32,8192,87558
client,32,8192,87891
server,32,8192,86320
client,32,8192,86697
server,32,8192,86981
client,32,8192,87298
server,32,8192,86925
client,32,8192,87265
server,32,8192,86336
client,32,8192,86681
server,32,8192,85748
client,32,8192,86147
server,32,8192,85581
client,32,8192,85951
server,32,8192,86777
client,32,8192,87135
server,32,8192,86582
client,32,8192,86977
server,32,8192,93405
client,32,8192,93730
server,32,8192,86037
client,32,8192,86356
server,32,8192,86058
client,32,8192,86415
server,32,8192,85600
client,32,8192,85934
server,32,8192,86656
client,32,8192,86980
server,32,8192,86733
client,32,8192,87151
server,32,8192,85637
client,32,8192,85952
server,32,8192,86072
client,32,8192,86422
server,32,8192,86151
client,32,8192,86517
server,32,8192,86585
client,32,8192,86942
server,32,8192,86547
client,32,8192,86852
server,32,8192,86433
client,32,8192,86770
