endpoint,min_input,max_input,time
server,32,8192,105379
client,32,8192,105958
server,32,8192,94343
client,32,8192,94819
server,32,8192,94164
client,32,8192,94646
server,32,8192,93954
client,32,8192,94450
server,32,8192,93783
client,32,8192,94262
server,32,8192,95138
client,32,8192,95610
server,32,8192,92840
client,32,8192,93298
server,32,8192,94833
client,32,8192,95303
server,32,8192,94547
client,32,8192,95012
server,32,8192,94026
client,32,8192,94543
server,32,8192,95592
client,32,8192,96091
server,32,8192,94498
client,32,8192,94961
server,32,8192,95561
client,32,8192,96019
server,32,8192,93825
client,32,8192,94307
server,32,8192,94661
client,32,8192,95147
server,32,8192,96047
client,32,8192,96494
server,32,8192,94811
client,32,8192,95294
server,32,8192,96082
client,32,8192,96584
server,32,8192,93986
client,32,8192,94469
server,32,8192,412644
client,32,8192,413130
server,32,8192,93731
client,32,8192,94199
server,32,8192,95049
client,32,8192,95558
server,32,8192,94407
client,32,8192,94905
server,32,8192,94555
client,32,8192,95017
server,32,8192,95215
client,32,8192,95684
server,32,8192,94510
client,32,8192,95010
server,32,8192,94876
client,32,8192,95382
server,32,8192,94828
client,32,8192,95324
server,32,8192,95464
client,32,8192,95931
server,32,8192,95736
client,32,8192,96216
server,32,8192,94523
client,32,8192,94970
server,32,8192,94815
client,32,8192,95267
server,32,8192,94380
client,32,8192,94857
server,32,8192,94482
client,32,8192,94989
server,32,8192,94329
client,32,8192,94881
server,32,8192,93547
client,32,8192,93994
server,32,8192,102101
client,32,8192,102590
server,32,8192,94632
client,32,8192,95129
server,32,8192,93992
client,32,8192,94477
server,32,8192,94743
client,32,8192,95211
server,32,8192,354466
client,32,8192,354947
server,32,8192,93389
client,32,8192,93900
server,32,8192,94081
client,32,8192,94589
server,32,8192,95061
client,32,8192,95531
server,32,8192,94430
client,32,8192,94891
server,32,8192,94482
client,32,8192,94985
server,32,8192,94579
client,32,8192,95053
server,32,8192,94921
client,32,8192,95397
server,32,8192,94577
client,32,8192,95020
server,32,8192,94776
client,32,8192,95275
server,32,8192,94279
client,32,8192,94817
server,32,8192,93737
client,32,8192,94286
server,32,8192,101882
client,32,8192,102333
server,32,8192,94471
client,32,8192,94955
server,32,8192,93904
client,32,8192,94413
server,32,8192,93609
client,32,8192,94050
server,32,8192,94308
client,32,8192,94775
server,32,8192,97092
client,32,8192,97621
server,32,8192,93450
client,32,8192,93952
server,32,8192,94156
client,32,8192,94630
server,32,8192,94427
client,32,8192,94887
server,32,8192,94362
client,32,8192,94850
server,32,8192,95650
client,32,8192,96149
server,32,8192,95604
client,32,8192,96045
server,32,8192,94468
client,32,8192,94949
server,32,8192,93393
client,32,8192,93945
server,32,8192,94275
client,32,8192,94740
server,32,8192,95226
client,32,8192,95705
server,32,8192,94905
client,32,8192,95373
server,32,8192,94455
client,32,8192,94948
server,32,8192,94350
client,32,8192,94839
server,32,8192,98811
client,32,8192,99299
server,32,8192,97612
client,32,8192,98123
server,32,8192,94619
client,32,8192,95061
server,32,8192,93801
client,32,8192,94277
server,32,8192,94224
client,32,8192,94678
server,32,8192,94448
client,32,8192,94949
server,32,8192,94853
client,32,8192,95334
server,32,8192,93586
client,32,8192,94070
server,32,8192,93464
client,32,8192,93967
server,32,8192,94161
client,32,8192,94700
server,32,8192,94937
client,32,8192,95421
server,32,8192,95170
