endpoint,keylen,time
client,192,26939
server,192,33775
client,192,29673
server,192,37144
server,192,33763
client,192,27032
client,192,27467
server,192,34434
server,192,35131
client,192,28334
client,224,41041
server,224,51595
client,224,40145
server,224,50491
server,224,50820
client,224,40577
client,224,39739
server,224,50194
server,224,50908
client,224,40475
client,384,108271
server,384,135257
client,384,108486
server,384,135588
client,384,106653
server,384,133058
client,384,113629
server,384,141277
client,384,111894
server,384,140104
client,521,252833
server,521,314917
client,521,258095
server,521,319289
client,521,250007
server,521,312669
client,521,256370
server,521,318753
client,521,250926
server,521,312464
