endpoint,operation,msglen,time
client,hash,4096,29
server,verify,4096,37
server,hash,4096,22
client,verify,4096,35
client,hash,4096,23
server,verify,4096,25
server,hash,4096,23
client,verify,4096,25
client,hash,4096,23
server,verify,4096,24
server,hash,4096,22
client,verify,4096,24
client,hash,4096,22
server,verify,4096,23
server,hash,4096,22
client,verify,4096,25
client,hash,4096,22
server,verify,4096,24
server,hash,4096,23
client,verify,4096,23
client,hash,8192,40
server,verify,8192,43
server,hash,8192,40
client,verify,8192,43
client,hash,8192,59
server,verify,8192,43
server,hash,8192,40
client,verify,8192,41
client,hash,8192,40
server,verify,8192,44
server,hash,8192,50
client,verify,8192,56
client,hash,8192,40
server,verify,8192,42
server,hash,8192,40
client,verify,8192,44
client,hash,8192,41
server,verify,8192,43
server,hash,8192,41
client,verify,8192,42
client,hash,16384,76
server,verify,16384,80
server,hash,16384,76
client,verify,16384,80
client,hash,16384,76
server,verify,16384,80
server,hash,16384,84
client,verify,16384,81
client,hash,16384,85
server,verify,16384,80
server,hash,16384,76
client,verify,16384,81
client,hash,16384,76
server,verify,16384,80
server,hash,16384,81
client,verify,16384,118
client,hash,16384,115
server,verify,16384,79
server,hash,16384,127
client,verify,16384,79
