endpoint,keylen,time
client,224,41884
server,224,52212
client,224,40713
server,224,50849
server,224,50243
client,224,40093
client,224,40039
server,224,50433
client,224,39709
server,224,50053
client,224,39648
server,224,49929
server,224,49851
client,224,39717
client,224,39603
server,224,49789
client,224,39743
server,224,50017
server,224,49954
client,224,39727
client,224,40198
server,224,50529
client,224,40363
server,224,50532
server,224,50286
client,224,40087
server,224,50463
client,224,40296
client,224,39614
server,224,49883
client,224,40226
server,224,50387
client,224,40064
server,224,52173
client,224,39615
server,224,49950
server,224,49585
client,224,39404
client,224,39696
server,224,49983
client,224,39536
server,224,49733
server,224,50561
client,224,40441
client,224,40883
server,224,51203
client,224,40244
server,224,50366
server,224,50385
client,224,40193
client,224,40327
server,224,50547
client,224,39818
server,224,49912
client,224,40253
server,224,50753
client,224,39988
server,224,50248
client,224,40773
server,224,50928
client,224,39845
server,224,50084
server,224,50085
client,224,39856
server,224,50132
client,224,39849
server,224,50783
client,224,40572
client,224,40279
server,224,50661
client,224,39745
server,224,49942
server,224,50355
client,224,40117
server,224,50049
client,224,39724
client,224,40224
server,224,50349
client,224,39744
server,224,49946
client,224,40040
server,224,50504
client,224,40102
server,224,50281
client,224,39885
server,224,49911
client,224,40806
server,224,51011
server,224,50225
client,224,40106
client,224,39687
server,224,49889
client,224,39995
server,224,50304
client,224,40074
server,224,50315
client,224,39785
server,224,49962
client,224,39936
server,224,50246
client,224,39798
server,224,49995
client,224,39782
server,224,50231
client,224,40442
server,224,50821
client,224,39990
server,224,50113
server,224,50419
client,224,40217
client,224,39678
server,224,50222
client,224,42359
server,224,55950
client,224,42494
server,224,52847
server,224,53360
client,224,42413
client,224,43373
server,224,54993
client,224,47883
server,224,57843
client,224,48717
server,224,58855
client,224,40277
server,224,50625
client,224,39841
server,224,50090
client,224,39915
server,224,50144
client,224,39790
server,224,50233
client,224,41334
server,224,51423
client,224,40343
server,224,50893
client,224,39893
server,224,50422
client,224,40120
server,224,50596
client,224,40030
server,224,50126
client,224,39572
server,224,49630
client,224,40364
server,224,50901
client,224,39836
server,224,49916
client,224,39791
server,224,49988
client,224,40116
server,224,50338
client,224,40997
server,224,51438
client,224,40487
server,224,50718
client,224,40512
server,224,50718
client,224,40575
server,224,50770
client,224,40501
server,224,50805
client,224,40475
server,224,50682
client,224,40877
server,224,51455
client,224,41307
server,224,51556
client,224,40621
server,224,50780
client,224,40368
server,224,50499
client,224,39898
server,224,50139
client,224,41340
server,224,51740
client,224,43642
server,224,56322
client,224,41345
server,224,51778
client,224,41670
server,224,52253
client,224,41523
server,224,52040
client,224,42136
server,224,52733
client,224,41876
server,224,52272
client,224,41376
server,224,51732
server,224,51387
client,224,41212
client,224,41017
server,224,51179
client,224,41224
server,224,51276
client,224,41589
server,224,52096
client,224,41034
server,224,51199
client,224,41270
server,224,51837
client,224,40734
server,224,51218
client,224,40689
server,224,50964
server,224,51055
client,224,40504
client,224,40836
server,224,51144
client,224,41177
server,224,51336
client,224,41261
server,224,51518
client,224,39714
server,224,49918
client,224,40399
server,224,50884
client,224,39630
server,224,50004
client,224,39936
server,224,50696
client,224,39455
server,224,49565
client,224,39672
server,224,53804
client,224,48040
server,224,58127
client,224,40509
server,224,50758
client,224,40141
server,224,50413
client,224,48522
server,224,58725
client,224,40163
server,224,50362
server,224,50327
client,224,39847
client,224,41694
server,224,51825
client,224,39890
server,224,50011
client,224,40358
server,224,50654
client,224,40158
server,224,50386
client,224,39793
server,224,49964
client,224,40713
server,224,50881
client,224,39989
server,224,50243
client,224,39553
server,224,49685
client,224,40119
server,224,50456
client,224,39759
server,224,49910
client,224,40113
server,224,50254
client,224,39668
server,224,49888
client,224,39668
server,224,49858
client,224,40423
server,224,50616
client,224,40466
server,224,50606
client,224,39702
server,224,50001
server,224,50528
client,224,40341
client,224,40380
server,224,50547
client,224,40214
server,224,50306
client,224,40630
server,224,50936
client,224,39475
server,224,49565
client,224,39419
server,224,49511
client,224,39221
server,224,49290
client,224,39340
server,224,49376
client,224,39609
server,224,49802
client,224,39405
server,224,49618
client,224,39397
server,224,49509
client,224,39835
server,224,50533
client,224,39903
server,224,50083
client,224,39958
server,224,50160
client,224,39456
server,224,49932
client,224,39657
server,224,50202
client,224,39677
server,224,49968
client,224,39315
server,224,49477
client,224,39663
server,224,49967
client,224,40350
server,224,50571
client,224,39694
server,224,50090
client,224,39575
server,224,49839
client,224,39172
