endpoint,operation,msglen,time
client,encrypt,256,32
server,decrypt,256,33
server,encrypt,256,32
client,decrypt,256,24
client,encrypt,256,25
server,decrypt,256,44
server,encrypt,256,24
client,decrypt,256,24
client,encrypt,256,24
server,decrypt,256,24
server,encrypt,256,25
client,decrypt,256,25
client,encrypt,256,25
server,decrypt,256,25
server,encrypt,256,24
client,decrypt,256,25
client,encrypt,256,24
server,decrypt,256,25
server,encrypt,256,25
client,decrypt,256,25
client,encrypt,256,25
server,decrypt,256,24
server,encrypt,256,25
client,decrypt,256,24
client,encrypt,256,26
server,decrypt,256,25
server,encrypt,256,24
client,decrypt,256,34
client,encrypt,256,25
server,decrypt,256,33
server,encrypt,256,24
client,decrypt,256,44
client,encrypt,256,25
server,decrypt,256,25
server,encrypt,256,24
client,decrypt,256,25
client,encrypt,256,25
server,decrypt,256,44
server,encrypt,256,25
client,decrypt,256,25
client,encrypt,256,25
server,decrypt,256,25
server,encrypt,256,25
client,decrypt,256,44
client,encrypt,256,25
server,decrypt,256,25
server,encrypt,256,24
client,decrypt,256,44
client,encrypt,256,25
server,decrypt,256,33
server,encrypt,256,25
client,decrypt,256,24
client,encrypt,256,25
server,decrypt,256,25
server,encrypt,256,25
client,decrypt,256,24
client,encrypt,256,25
server,decrypt,256,35
server,encrypt,256,25
client,decrypt,256,24
client,encrypt,256,25
server,decrypt,256,35
server,encrypt,256,24
client,decrypt,256,26
client,encrypt,256,25
server,decrypt,256,25
server,encrypt,256,24
client,decrypt,256,46
client,encrypt,256,25
server,decrypt,256,25
server,encrypt,256,24
client,decrypt,256,34
client,encrypt,256,24
server,decrypt,256,34
server,encrypt,256,25
client,decrypt,256,44
client,encrypt,256,25
server,decrypt,256,26
server,encrypt,256,25
client,decrypt,256,35
client,encrypt,256,25
server,decrypt,256,34
server,encrypt,256,25
client,decrypt,256,25
client,encrypt,256,24
server,decrypt,256,24
server,encrypt,256,25
client,decrypt,256,33
client,encrypt,256,24
server,decrypt,256,25
server,encrypt,256,25
client,decrypt,256,24
client,encrypt,256,25
server,decrypt,256,25
server,encrypt,256,24
client,decrypt,256,25
client,encrypt,256,24
server,decrypt,256,35
server,encrypt,256,24
client,decrypt,256,44
