endpoint,keylen,time
client,192,208807
server,192,266209
client,192,205799
server,192,263506
client,192,204730
server,192,262445
client,192,206391
server,192,263741
client,192,204863
server,192,262905
server,192,264798
client,192,207076
client,192,206602
server,192,266143
server,192,263477
client,192,206211
client,192,206847
server,192,264653
client,192,206004
server,192,263940
client,192,207786
server,192,265284
client,192,207847
server,192,266172
client,192,205706
server,192,263535
server,192,262397
client,192,205031
server,192,265222
client,192,206798
client,192,205888
server,192,263682
server,192,265086
client,192,208381
server,192,263527
client,192,206125
client,192,205179
server,192,262905
client,192,205147
server,192,262797
server,192,263996
client,192,206261
client,192,204127
server,192,262723
server,192,264118
client,192,206340
client,192,203972
server,192,262929
server,192,263243
client,192,204239
client,192,205588
server,192,264189
client,192,203925
server,192,261125
client,192,210687
server,192,268388
client,192,203820
server,192,261705
client,192,204614
server,192,265194
client,192,213221
server,192,270690
server,192,264270
client,192,206737
client,192,208817
server,192,266255
server,192,269475
client,192,212316
client,192,204606
server,192,262816
server,192,263579
client,192,205707
client,192,206047
server,192,264576
client,192,205339
server,192,262401
client,192,205063
server,192,262920
client,192,204660
server,192,261687
client,192,205352
server,192,264252
client,192,204007
server,192,261951
client,192,205422
server,192,263364
client,192,448641
server,192,509318
client,192,205141
server,192,263262
client,192,204218
server,192,261649
client,192,208843
server,192,264290
client,192,231464
server,192,288759
client,192,210374
server,192,268714
client,192,204613
server,192,261886
client,192,203310
server,192,261028
client,192,205390
server,192,262900
client,192,205695
server,192,263999
client,192,202894
server,192,260904
client,192,204619
server,192,263734
client,192,204773
server,192,262382
client,192,206135
server,192,264052
server,192,261875
client,192,204666
client,192,205610
server,192,263036
client,192,203757
server,192,261120
client,192,205496
server,192,262527
client,192,206131
server,192,265491
client,192,448735
server,192,506951
client,192,204986
server,192,262245
client,192,205520
server,192,263026
client,192,205100
server,192,262916
client,192,205029
server,192,262748
client,192,204129
server,192,261752
client,192,204719
server,192,261805
server,192,262045
client,192,204807
client,192,205252
server,192,263731
client,192,204850
server,192,262205
client,192,205787
server,192,263308
client,192,203447
server,192,260839
client,192,205847
server,192,263223
client,192,203342
server,192,260599
client,192,205850
server,192,263293
client,192,447959
server,192,505340
client,192,462128
server,192,519470
client,192,204571
server,192,262734
client,192,205575
server,192,262547
client,192,437140
server,192,494509
server,192,269493
client,192,204180
client,192,203619
server,192,261483
client,192,206014
server,192,264986
client,192,204330
server,192,261956
client,192,205472
server,192,264001
client,192,204176
server,192,262107
client,192,206607
server,192,264459
client,192,203898
server,192,261053
client,192,204358
server,192,261533
client,192,205605
server,192,262183
client,192,203464
server,192,262371
client,192,204332
server,192,262290
client,192,204940
server,192,262111
client,192,205606
server,192,262741
client,192,206070
server,192,263911
client,192,205964
server,192,263776
client,192,204885
server,192,262557
client,192,204740
server,192,262401
server,192,263054
client,192,205863
client,192,204486
server,192,262925
client,192,203725
server,192,261269
client,192,204672
server,192,262407
client,192,204693
server,192,261845
client,192,208857
server,192,266540
client,192,204153
server,192,261365
client,192,205467
server,192,263026
client,192,443727
server,192,501808
client,192,204570
server,192,262937
client,192,218955
server,192,276569
client,192,205295
server,192,263085
server,192,261019
client,192,204085
client,192,206660
server,192,264211
client,192,207779
server,192,265320
client,192,206576
server,192,264342
client,192,204067
server,192,261915
client,192,206111
server,192,263733
client,192,204558
server,192,262206
client,192,205804
server,192,264004
client,192,203329
server,192,261583
client,192,205428
server,192,263336
client,192,205008
server,192,262336
client,192,214806
server,192,272586
client,192,204019
server,192,261890
client,192,203312
server,192,260961
client,192,205272
server,192,263134
client,192,205558
server,192,263357
client,192,205209
server,192,263145
client,192,210633
server,192,268475
client,192,205915
server,192,263576
client,192,203829
server,192,262090
client,192,207526
server,192,265300
client,192,205097
server,192,262490
client,192,203374
server,192,261755
client,192,202722
server,192,260042
client,192,204988
server,192,262681
client,192,205424
server,192,262590
client,192,205950
server,192,264317
client,192,203221
server,192,260968
client,192,207316
server,192,265252
client,192,206386
server,192,263441
client,192,213888
server,192,270768
client,192,203483
server,192,260736
client,192,205471
server,192,262897
client,192,203572
server,192,260875
client,192,204942
server,192,262671
client,192,204169
server,192,262090
client,192,204351
server,192,261498
client,192,206200
server,192,264475
client,192,202555
server,192,260210
client,192,205211
server,192,262938
client,192,203446
server,192,260894
client,192,203621
server,192,260911
client,192,204875
server,192,262066
server,192,261130
client,192,203692
client,192,204491
server,192,261580
client,192,203896
server,192,263232
client,192,204538
server,192,263027
client,192,203479
server,192,261405
client,192,204684
server,192,263029
client,192,207349
server,192,264431
client,192,205284
server,192,262866
client,192,205439
server,192,262946
client,192,213334
server,192,270601
client,192,450198
server,192,507960
client,192,204286
server,192,262543
client,192,205938
server,192,264462
client,192,205089
server,192,262543
client,192,207014
server,192,264836
client,192,205348
server,192,263287
server,192,263211
client,192,205846
client,192,204590
server,192,262421
client,192,205565
server,192,264065
client,192,205107
server,192,263825
client,192,203662
server,192,261022
client,192,206369
server,192,264169
client,192,203706
server,192,261919
client,192,205279
server,192,263646
client,192,204760
server,192,262594
client,192,207374
server,192,264891
client,192,205589
server,192,263380
client,192,205272
server,192,264000
server,192,262765
client,192,205090
client,192,204819
server,192,262226
client,192,204562
server,192,265025
client,192,203746
server,192,262079
client,192,204156
server,192,262448
client,192,206883
server,192,264623
client,192,206757
server,192,264867
client,192,208206
server,192,265875
client,192,213048
server,192,270937
client,192,206406
server,192,263689
client,192,207996
server,192,265558
client,192,207788
server,192,265399
client,192,205874
server,192,263839
client,192,204826
server,192,262298
client,192,206632
server,192,264192
client,192,203151
server,192,260836
client,192,206924
server,192,264559
client,192,205697
server,192,263449
client,192,202664
server,192,260401
client,192,205448
server,192,263377
server,192,261823
client,192,203330
client,192,205718
server,192,263148
client,192,203976
server,192,262271
client,192,205515
server,192,264695
client,192,205440
server,192,262441
client,192,204779
server,192,265101
client,192,207349
server,192,266993
client,192,205928
server,192,264699
client,192,208726
server,192,267233
client,192,207076
server,192,266095
client,192,209111
server,192,266772
client,192,215945
server,192,276468
client,192,212646
server,192,270000
client,192,210530
server,192,268460
client,192,207275
server,192,265125
client,192,207569
server,192,265172
client,192,207985
server,192,266173
client,192,207914
server,192,265380
client,192,203818
server,192,262759
client,192,212136
server,192,269790
client,192,206898
server,192,265694
client,192,206409
server,192,264532
client,192,207755
server,192,265565
client,192,217188
server,192,275041
server,192,269934
client,192,212166
client,192,205281
server,192,264088
client,192,207837
server,192,265402
client,192,206604
server,192,264160
client,192,210070
server,192,268475
client,192,207337
server,192,265769
client,192,205822
server,192,263220
client,192,209200
server,192,267634
client,192,456312
server,192,513871
client,192,204594
server,192,262210
client,192,206204
server,192,263475
client,192,208541
server,192,266288
client,192,204281
server,192,262742
client,192,206471
server,192,263612
client,192,205863
server,192,263720
client,192,204625
server,192,261834
client,192,205000
server,192,262221
client,192,205472
server,192,263302
client,192,207947
server,192,265881
client,192,205688
server,192,263085
client,192,205415
server,192,262992
client,192,205065
server,192,263263
client,192,205262
server,192,263431
client,192,204462
server,192,262033
client,192,206045
server,192,263980
server,192,263727
client,192,205398
client,192,206439
server,192,263928
client,192,205002
server,192,262985
client,192,205152
server,192,264593
client,192,205744
server,192,263567
client,192,205554
server,192,263433
client,192,205769
server,192,263839
client,192,212913
server,192,271065
client,192,205198
server,192,262770
client,192,207144
server,192,264682
client,192,205771
server,192,263417
client,192,206020
server,192,263219
