endpoint,operation,msglen,time
client,hash,8192,45
server,verify,8192,50
server,hash,8192,40
client,verify,8192,42
client,hash,8192,40
server,verify,8192,40
server,hash,8192,40
client,verify,8192,51
client,hash,8192,40
server,verify,8192,56
server,hash,8192,55
client,verify,8192,59
client,hash,8192,134
server,verify,8192,40
server,hash,8192,41
client,verify,8192,41
client,hash,8192,50
server,verify,8192,41
server,hash,8192,40
client,verify,8192,50
client,hash,16384,76
server,verify,16384,76
server,hash,16384,75
client,verify,16384,77
client,hash,16384,75
server,verify,16384,75
server,hash,16384,76
client,verify,16384,76
client,hash,16384,76
server,verify,16384,77
server,hash,16384,77
client,verify,16384,95
client,hash,16384,76
server,verify,16384,80
server,hash,16384,77
client,verify,16384,77
client,hash,16384,75
server,verify,16384,87
server,hash,16384,76
client,verify,16384,87
