endpoint,min_input,max_input,time
server,32,8192,183350
client,32,8192,184126
server,32,8192,161575
client,32,8192,162362
server,32,8192,160868
client,32,8192,161622
server,32,8192,157178
client,32,8192,157941
server,32,8192,157914
client,32,8192,158702
server,32,8192,159632
client,32,8192,164606
server,32,8192,159663
client,32,8192,160419
server,32,8192,160777
client,32,8192,161525
server,32,8192,158355
client,32,8192,159131
server,32,8192,158589
client,32,8192,159379
server,32,8192,158882
client,32,8192,159648
server,32,8192,156843
client,32,8192,157618
server,32,8192,158260
client,32,8192,159063
server,32,8192,157987
client,32,8192,158757
server,32,8192,156424
client,32,8192,157183
server,32,8192,158139
client,32,8192,158902
server,32,8192,157788
client,32,8192,158561
server,32,8192,157697
client,32,8192,158503
server,32,8192,164679
client,32,8192,165435
server,32,8192,158294
client,32,8192,159018
server,32,8192,159767
client,32,8192,160519
server,32,8192,159400
client,32,8192,160247
server,32,8192,159104
client,32,8192,159878
server,32,8192,157487
client,32,8192,158221
server,32,8192,158511
client,32,8192,159322
server,32,8192,156347
client,32,8192,157129
server,32,8192,157903
client,32,8192,158672
server,32,8192,158800
client,32,8192,159543
server,32,8192,158441
client,32,8192,159267
server,32,8192,158414
client,32,8192,159186
server,32,8192,166852
client,32,8192,167635
server,32,8192,158123
client,32,8192,158910
server,32,8192,158162
client,32,8192,158975
server,32,8192,158265
client,32,8192,159113
server,32,8192,157639
client,32,8192,158457
server,32,8192,157668
client,32,8192,158483
server,32,8192,158897
client,32,8192,159663
server,32,8192,158347
client,32,8192,159098
server,32,8192,156727
client,32,8192,157501
server,32,8192,156303
client,32,8192,157100
server,32,8192,158070
client,32,8192,158823
server,32,8192,157939
client,32,8192,158698
server,32,8192,167959
client,32,8192,168750
server,32,8192,159719
client,32,8192,160531
server,32,8192,158824
client,32,8192,159605
server,32,8192,158475
client,32,8192,159249
server,32,8192,158251
client,32,8192,159042
server,32,8192,157475
client,32,8192,158248
server,32,8192,158980
client,32,8192,159750
server,32,8192,158564
client,32,8192,159331
server,32,8192,157672
client,32,8192,158440
server,32,8192,157861
client,32,8192,158658
server,32,8192,158687
client,32,8192,159495
server,32,8192,158010
client,32,8192,158810
server,32,8192,167850
client,32,8192,168669
server,32,8192,158281
client,32,8192,159123
server,32,8192,158073
client,32,8192,158855
server,32,8192,157264
client,32,8192,158040
server,32,8192,159185
client,32,8192,160005
server,32,8192,158356
client,32,8192,159154
server,32,8192,158248
client,32,8192,159016
server,32,8192,157794
client,32,8192,158553
server,32,8192,158879
client,32,8192,159654
server,32,8192,157702
client,32,8192,158519
server,32,8192,157699
client,32,8192,158489
server,32,8192,159236
client,32,8192,159999
server,32,8192,167461
client,32,8192,168271
server,32,8192,158239
client,32,8192,159049
server,32,8192,157667
client,32,8192,158449
server,32,8192,158570
client,32,8192,159319
server,32,8192,156954
client,32,8192,157771
server,32,8192,158551
client,32,8192,159349
server,32,8192,158288
client,32,8192,159078
server,32,8192,158302
client,32,8192,159050
server,32,8192,158573
client,32,8192,159423
server,32,8192,157745
client,32,8192,158529
server,32,8192,156993
client,32,8192,157779
server,32,8192,158069
client,32,8192,158839
server,32,8192,184673
client,32,8192,185479
server,32,8192,158606
client,32,8192,159377
server,32,8192,158100
client,32,8192,158917
server,32,8192,156982
client,32,8192,157763
server,32,8192,158177
client,32,8192,158978
server,32,8192,158877
client,32,8192,159676
server,32,8192,157582
client,32,8192,158379
server,32,8192,439754
client,32,8192,440551
server,32,8192,157701
client,32,8192,158524
server,32,8192,156544
client,32,8192,157369
server,32,8192,166643
client,32,8192,167415
server,32,8192,157994
client,32,8192,158747
server,32,8192,158931
client,32,8192,159705
server,32,8192,158358
client,32,8192,159186
server,32,8192,158146
client,32,8192,158921
server,32,8192,158996
client,32,8192,159766
server,32,8192,159368
client,32,8192,160151
server,32,8192,158787
client,32,8192,159606
server,32,8192,157593
client,32,8192,158357
server,32,8192,158383
client,32,8192,159172
server,32,8192,158528
client,32,8192,159313
server,32,8192,161140
client,32,8192,162043
server,32,8192,158398
client,32,8192,159163
server,32,8192,158914
client,32,8192,159699
server,32,8192,157705
client,32,8192,158487
server,32,8192,156658
client,32,8192,157449
server,32,8192,157894
client,32,8192,158753
server,32,8192,156345
client,32,8192,157189
server,32,8192,156987
client,32,8192,157770
server,32,8192,159360
client,32,8192,160124
server,32,8192,158592
client,32,8192,159380
server,32,8192,157920
client,32,8192,158746
server,32,8192,158757
client,32,8192,159522
server,32,8192,165760
client,32,8192,166506
server,32,8192,158109
client,32,8192,158891
server,32,8192,158208
client,32,8192,159037
server,32,8192,160177
client,32,8192,160947
server,32,8192,159028
client,32,8192,159795
server,32,8192,165694
client,32,8192,166489
server,32,8192,156595
client,32,8192,157428
server,32,8192,157588
client,32,8192,158370
server,32,8192,159137
client,32,8192,159897
server,32,8192,157920
client,32,8192,158716
server,32,8192,158015
client,32,8192,158847
server,32,8192,158600
client,32,8192,159350
server,32,8192,162017
client,32,8192,162807
server,32,8192,156504
client,32,8192,157371
server,32,8192,158051
client,32,8192,158835
server,32,8192,158269
client,32,8192,159056
server,32,8192,158520
client,32,8192,159280
server,32,8192,156376
client,32,8192,157202
server,32,8192,163455
client,32,8192,164241
server,32,8192,157902
client,32,8192,158720
server,32,8192,433205
client,32,8192,434032
server,32,8192,157846
client,32,8192,158626
server,32,8192,162880
client,32,8192,163654
server,32,8192,157592
client,32,8192,158405
server,32,8192,158598
client,32,8192,159398
server,32,8192,159475
client,32,8192,160238
server,32,8192,157737
client,32,8192,158507
server,32,8192,157822
client,32,8192,158616
server,32,8192,158011
client,32,8192,158872
server,32,8192,156680
client,32,8192,157458
server,32,8192,157694
client,32,8192,158470
server,32,8192,157436
client,32,8192,158280
server,32,8192,158878
client,32,8192,159691
server,32,8192,158513
client,32,8192,159304
server,32,8192,171090
client,32,8192,171856
server,32,8192,162554
client,32,8192,163339
server,32,8192,162668
client,32,8192,163458
server,32,8192,162490
client,32,8192,163216
server,32,8192,162607
client,32,8192,163387
server,32,8192,162454
client,32,8192,163241
server,32,8192,162125
client,32,8192,162918
server,32,8192,160845
client,32,8192,161616
server,32,8192,158842
client,32,8192,159610
server,32,8192,157405
client,32,8192,158198
server,32,8192,157861
client,32,8192,158691
server,32,8192,158940
client,32,8192,159816
server,32,8192,174890
client,32,8192,175655
server,32,8192,157104
client,32,8192,157914
server,32,8192,157980
client,32,8192,158776
server,32,8192,157144
client,32,8192,157892
server,32,8192,157895
client,32,8192,158687
server,32,8192,159098
client,32,8192,159867
server,32,8192,158485
client,32,8192,159261
server,32,8192,409396
client,32,8192,410226
server,32,8192,157788
client,32,8192,158582
server,32,8192,157652
client,32,8192,158434
server,32,8192,169260
client,32,8192,170042
server,32,8192,157716
client,32,8192,158550
server,32,8192,428224
client,32,8192,429020
server,32,8192,156354
client,32,8192,157148
server,32,8192,158456
client,32,8192,159213
server,32,8192,158519
client,32,8192,159363
server,32,8192,156337
client,32,8192,157155
server,32,8192,159087
client,32,8192,159849
server,32,8192,158469
client,32,8192,159260
server,32,8192,157055
client,32,8192,157875
server,32,8192,163770
client,32,8192,164579
server,32,8192,157287
client,32,8192,158068
server,32,8192,433595
client,32,8192,434385
server,32,8192,158800
client,32,8192,159663
server,32,8192,157293
client,32,8192,158089
server,32,8192,158211
client,32,8192,158956
server,32,8192,157862
client,32,8192,158623
server,32,8192,158978
client,32,8192,159795
server,32,8192,441196
client,32,8192,442204
server,32,8192,160176
client,32,8192,160939
server,32,8192,157752
client,32,8192,158547
server,32,8192,156367
client,32,8192,157149
server,32,8192,158846
client,32,8192,159624
server,32,8192,157919
client,32,8192,158683
server,32,8192,157580
client,32,8192,158341
server,32,8192,159135
client,32,8192,159922
server,32,8192,158017
client,32,8192,158822
server,32,8192,159784
client,32,8192,160566
server,32,8192,158596
client,32,8192,159397
server,32,8192,157575
client,32,8192,158423
server,32,8192,165951
client,32,8192,166755
server,32,8192,158109
client,32,8192,158884
server,32,8192,157609
client,32,8192,158396
server,32,8192,158141
client,32,8192,158982
server,32,8192,448766
client,32,8192,449581
server,32,8192,156729
client,32,8192,157504
server,32,8192,158421
client,32,8192,159217
server,32,8192,157731
client,32,8192,158520
server,32,8192,158210
client,32,8192,159058
server,32,8192,158826
client,32,8192,159583
server,32,8192,462701
client,32,8192,463494
server,32,8192,157782
client,32,8192,158610
server,32,8192,158669
client,32,8192,159440
server,32,8192,159120
client,32,8192,160155
server,32,8192,157163
client,32,8192,157960
server,32,8192,157389
client,32,8192,158237
server,32,8192,157960
client,32,8192,158781
server,32,8192,156933
client,32,8192,157713
server,32,8192,158747
client,32,8192,159506
server,32,8192,158360
client,32,8192,159231
server,32,8192,163370
client,32,8192,164154
server,32,8192,158176
client,32,8192,158950
server,32,8192,157713
client,32,8192,158495
server,32,8192,157027
client,32,8192,157834
server,32,8192,158837
client,32,8192,159650
server,32,8192,157989
client,32,8192,158794
server,32,8192,157634
client,32,8192,158444
server,32,8192,429092
client,32,8192,429920
server,32,8192,156785
client,32,8192,157624
server,32,8192,158159
client,32,8192,159021
server,32,8192,164947
client,32,8192,165734
server,32,8192,157910
client,32,8192,158660
server,32,8192,157823
client,32,8192,158579
server,32,8192,158018
client,32,8192,158819
server,32,8192,158164
client,32,8192,158977
server,32,8192,158186
client,32,8192,158958
server,32,8192,156373
client,32,8192,157176
server,32,8192,407223
client,32,8192,408028
server,32,8192,158777
client,32,8192,159578
server,32,8192,160920
client,32,8192,161699
server,32,8192,157356
client,32,8192,158205
server,32,8192,165427
client,32,8192,166197
server,32,8192,157736
client,32,8192,158511
server,32,8192,158016
client,32,8192,158780
server,32,8192,158376
client,32,8192,159148
server,32,8192,158064
client,32,8192,158842
server,32,8192,158764
client,32,8192,159555
server,32,8192,157783
client,32,8192,158577
server,32,8192,158590
client,32,8192,159404
server,32,8192,157912
client,32,8192,158727
server,32,8192,158227
client,32,8192,159053
server,32,8192,157576
client,32,8192,158368
server,32,8192,162737
client,32,8192,163520
server,32,8192,157125
client,32,8192,157894
server,32,8192,158193
client,32,8192,158986
server,32,8192,157853
client,32,8192,158618
server,32,8192,158947
client,32,8192,159725
server,32,8192,157987
client,32,8192,158804
server,32,8192,158535
client,32,8192,159360
server,32,8192,157605
client,32,8192,158391
server,32,8192,158706
client,32,8192,159486
server,32,8192,158308
client,32,8192,159143
server,32,8192,156682
client,32,8192,157542
server,32,8192,158371
client,32,8192,159166
server,32,8192,165600
client,32,8192,166396
server,32,8192,158387
client,32,8192,159194
server,32,8192,158405
client,32,8192,159222
server,32,8192,158558
client,32,8192,159318
server,32,8192,157308
client,32,8192,158097
server,32,8192,157992
client,32,8192,158801
server,32,8192,158688
client,32,8192,159518
server,32,8192,159564
client,32,8192,160342
server,32,8192,159009
client,32,8192,159793
server,32,8192,157224
client,32,8192,158041
server,32,8192,156654
client,32,8192,157454
server,32,8192,420906
client,32,8192,421692
server,32,8192,157923
client,32,8192,158719
server,32,8192,159220
client,32,8192,160049
server,32,8192,158168
client,32,8192,158963
server,32,8192,157685
client,32,8192,158461
server,32,8192,160033
client,32,8192,160816
server,32,8192,157766
client,32,8192,158618
server,32,8192,158244
client,32,8192,159067
server,32,8192,158192
client,32,8192,158990
server,32,8192,157925
client,32,8192,158685
server,32,8192,157740
client,32,8192,158587
server,32,8192,167970
client,32,8192,168819
server,32,8192,156819
client,32,8192,157617
server,32,8192,158549
client,32,8192,159332
server,32,8192,158588
client,32,8192,159417
server,32,8192,159268
client,32,8192,160102
server,32,8192,160223
client,32,8192,161014
server,32,8192,159191
client,32,8192,159970
server,32,8192,158286
