endpoint,min_input,max_input,time
server,32,8192,156732
client,32,8192,157125
server,32,8192,154986
client,32,8192,155251
server,32,8192,155330
client,32,8192,155549
server,32,8192,155526
client,32,8192,155741
server,32,8192,155253
client,32,8192,155533
server,32,8192,156122
client,32,8192,156416
server,32,8192,162859
client,32,8192,163105
server,32,8192,154798
client,32,8192,155020
server,32,8192,155888
client,32,8192,156154
server,32,8192,155893
client,32,8192,156147
server,32,8192,156681
client,32,8192,156924
server,32,8192,156048
client,32,8192,156264
server,32,8192,159288
client,32,8192,159556
server,32,8192,156300
client,32,8192,156580
server,32,8192,155956
client,32,8192,156180
server,32,8192,153895
client,32,8192,154106
server,32,8192,156206
client,32,8192,156481
server,32,8192,154864
client,32,8192,155128
server,32,8192,161818
client,32,8192,162048
server,32,8192,159000
client,32,8192,159227
server,32,8192,156333
client,32,8192,156574
server,32,8192,155933
client,32,8192,156192
server,32,8192,154480
client,32,8192,154725
server,32,8192,156420
client,32,8192,156633
server,32,8192,154934
client,32,8192,155195
server,32,8192,157227
client,32,8192,157459
server,32,8192,156260
client,32,8192,156477
server,32,8192,155821
client,32,8192,156035
server,32,8192,454520
client,32,8192,454782
server,32,8192,404797
client,32,8192,405060
server,32,8192,156167
client,32,8192,156407
server,32,8192,156393
client,32,8192,156618
server,32,8192,155245
client,32,8192,155494
server,32,8192,156419
client,32,8192,156707
server,32,8192,155489
client,32,8192,155721
server,32,8192,155237
client,32,8192,155478
server,32,8192,155624
client,32,8192,155900
server,32,8192,159980
client,32,8192,160258
server,32,8192,157148
client,32,8192,157403
server,32,8192,162119
client,32,8192,162367
server,32,8192,155490
client,32,8192,155745
server,32,8192,155636
client,32,8192,155877
server,32,8192,155272
client,32,8192,155518
server,32,8192,156467
client,32,8192,156744
server,32,8192,153912
client,32,8192,154210
server,32,8192,156331
client,32,8192,156601
server,32,8192,155437
client,32,8192,155750
server,32,8192,153970
client,32,8192,154280
server,32,8192,156313
client,32,8192,156516
server,32,8192,155661
client,32,8192,155907
server,32,8192,162133
client,32,8192,162422
server,32,8192,162342
client,32,8192,162601
server,32,8192,155546
client,32,8192,155799
server,32,8192,156083
client,32,8192,156318
server,32,8192,157133
client,32,8192,157405
server,32,8192,155672
client,32,8192,155938
server,32,8192,156374
client,32,8192,156618
server,32,8192,157670
client,32,8192,157897
server,32,8192,155879
client,32,8192,156175
server,32,8192,153557
client,32,8192,153852
server,32,8192,156258
client,32,8192,156533
server,32,8192,154729
client,32,8192,154934
server,32,8192,155985
client,32,8192,156247
server,32,8192,164148
client,32,8192,164450
server,32,8192,154942
client,32,8192,155191
server,32,8192,156900
client,32,8192,157144
server,32,8192,154289
client,32,8192,154545
server,32,8192,432102
client,32,8192,432398
server,32,8192,158567
client,32,8192,158819
server,32,8192,155003
client,32,8192,155227
server,32,8192,153798
client,32,8192,154072
server,32,8192,154324
client,32,8192,154625
server,32,8192,154104
client,32,8192,154375
server,32,8192,155851
client,32,8192,156116
server,32,8192,163336
client,32,8192,163614
server,32,8192,155925
client,32,8192,156127
server,32,8192,155749
client,32,8192,155995
server,32,8192,154138
client,32,8192,154364
server,32,8192,155381
client,32,8192,155658
server,32,8192,154383
client,32,8192,154660
server,32,8192,156241
client,32,8192,156486
server,32,8192,155700
client,32,8192,155946
server,32,8192,155061
client,32,8192,155396
server,32,8192,153004
client,32,8192,153280
server,32,8192,155413
client,32,8192,155671
server,32,8192,153508
client,32,8192,153739
server,32,8192,165013
client,32,8192,165285
server,32,8192,155046
client,32,8192,155329
server,32,8192,154775
client,32,8192,155013
server,32,8192,153619
client,32,8192,153858
server,32,8192,156782
client,32,8192,157126
server,32,8192,154450
client,32,8192,154757
server,32,8192,155928
client,32,8192,156203
server,32,8192,154745
client,32,8192,155004
server,32,8192,407844
client,32,8192,408128
server,32,8192,157850
client,32,8192,158139
server,32,8192,159718
client,32,8192,159980
server,32,8192,155979
client,32,8192,156220
server,32,8192,157372
client,32,8192,157678
server,32,8192,156068
client,32,8192,156382
server,32,8192,155316
client,32,8192,155573
server,32,8192,155362
client,32,8192,155587
server,32,8192,155986
client,32,8192,156293
server,32,8192,156188
client,32,8192,156495
server,32,8192,156116
client,32,8192,156365
server,32,8192,155153
client,32,8192,155409
server,32,8192,155626
client,32,8192,155896
server,32,8192,156020
client,32,8192,156292
server,32,8192,163063
client,32,8192,163334
server,32,8192,155052
client,32,8192,155321
server,32,8192,154805
client,32,8192,155077
server,32,8192,171595
client,32,8192,171853
server,32,8192,153871
client,32,8192,154157
server,32,8192,153555
client,32,8192,153833
server,32,8192,155457
client,32,8192,155729
server,32,8192,155250
client,32,8192,155499
server,32,8192,155083
client,32,8192,155395
server,32,8192,155646
client,32,8192,155968
server,32,8192,154785
client,32,8192,154993
server,32,8192,154639
client,32,8192,154854
server,32,8192,165172
client,32,8192,165442
server,32,8192,162233
client,32,8192,162483
server,32,8192,154779
client,32,8192,155011
server,32,8192,433566
client,32,8192,433811
server,32,8192,155969
client,32,8192,156256
server,32,8192,155475
client,32,8192,155729
server,32,8192,153637
client,32,8192,153869
server,32,8192,154398
client,32,8192,154647
server,32,8192,156632
client,32,8192,156896
server,32,8192,153893
client,32,8192,154150
server,32,8192,160664
client,32,8192,160879
server,32,8192,156399
client,32,8192,156645
server,32,8192,154830
client,32,8192,155093
server,32,8192,154853
client,32,8192,155138
server,32,8192,156021
client,32,8192,156291
server,32,8192,153832
client,32,8192,154104
server,32,8192,155634
client,32,8192,155879
server,32,8192,464347
client,32,8192,464620
server,32,8192,155983
client,32,8192,156234
server,32,8192,433772
client,32,8192,434009
server,32,8192,155892
client,32,8192,156201
server,32,8192,154932
client,32,8192,155219
server,32,8192,154946
client,32,8192,155156
server,32,8192,155089
client,32,8192,155352
server,32,8192,155529
client,32,8192,155787
server,32,8192,155440
client,32,8192,155711
server,32,8192,159494
client,32,8192,159741
server,32,8192,404499
client,32,8192,404763
server,32,8192,155210
client,32,8192,155481
server,32,8192,162912
client,32,8192,163201
server,32,8192,457680
client,32,8192,457951
server,32,8192,153892
client,32,8192,154153
server,32,8192,154963
client,32,8192,155284
server,32,8192,459272
client,32,8192,459587
server,32,8192,422780
client,32,8192,423007
server,32,8192,154003
client,32,8192,154261
server,32,8192,412338
client,32,8192,412568
server,32,8192,154572
client,32,8192,154803
server,32,8192,154924
client,32,8192,155188
server,32,8192,154795
client,32,8192,155028
server,32,8192,425509
client,32,8192,425830
server,32,8192,154366
client,32,8192,154627
server,32,8192,156532
client,32,8192,156794
server,32,8192,153650
client,32,8192,153921
server,32,8192,154594
client,32,8192,154878
server,32,8192,161947
client,32,8192,162261
server,32,8192,155601
client,32,8192,155876
server,32,8192,155013
client,32,8192,155238
server,32,8192,153915
client,32,8192,154169
server,32,8192,156117
client,32,8192,156405
server,32,8192,155028
client,32,8192,155298
server,32,8192,154086
client,32,8192,154346
server,32,8192,157656
client,32,8192,158031
server,32,8192,154862
client,32,8192,155145
server,32,8192,156778
client,32,8192,157049
server,32,8192,156571
client,32,8192,156854
server,32,8192,154826
client,32,8192,155066
server,32,8192,163129
client,32,8192,163378
server,32,8192,156560
client,32,8192,156906
server,32,8192,155930
client,32,8192,156171
server,32,8192,156098
client,32,8192,156306
server,32,8192,156064
client,32,8192,156319
server,32,8192,154863
client,32,8192,155136
server,32,8192,154652
client,32,8192,154934
server,32,8192,163441
client,32,8192,163693
server,32,8192,155670
client,32,8192,155896
server,32,8192,157338
client,32,8192,157612
server,32,8192,154080
client,32,8192,154378
server,32,8192,156314
