endpoint,time
client,126936
server,152671
server,151111
client,125176
server,152329
client,126365
server,152150
client,126326
client,125998
server,151646
client,124437
server,150138
server,152219
client,126327
client,126310
server,152293
server,151710
client,125785
server,151150
client,125133
server,150900
client,125116
server,152473
client,126495
server,153141
client,127110
client,125475
server,151327
server,150330
client,124571
server,150161
client,124409
server,151153
client,125426
server,153232
client,127488
client,125671
server,151338
server,150786
client,124867
server,152063
client,126095
server,151461
client,125650
server,150512
client,124764
server,152050
client,126303
client,124542
server,150262
client,125502
server,151133
client,125555
server,151769
client,124680
server,150502
server,151632
client,125967
client,125505
server,151286
server,151628
client,125959
client,126036
server,151767
client,124464
server,150304
client,126018
server,151723
server,150946
client,125138
client,126089
server,151732
client,125094
server,150915
client,125284
server,151035
client,126717
server,152534
server,152268
client,126484
server,151695
client,126035
server,151922
client,125993
server,150574
client,124701
client,124819
server,150478
client,125506
server,151160
server,151762
client,125851
server,152396
client,126518
server,152092
client,126416
server,151147
client,125271
server,152007
client,126178
client,125572
server,151349
server,150926
client,125197
server,150647
client,124656
client,125234
server,151103
server,151049
client,125342
client,125163
server,151061
client,126114
server,151917
server,152547
client,126743
client,125733
server,151492
server,151403
client,125645
client,133694
server,159494
server,151999
client,126160
server,152142
client,126393
server,151441
client,125688
server,151242
client,125506
client,125675
server,151508
server,151130
client,125509
client,126224
server,151948
server,151821
client,125907
server,151650
client,125768
client,126338
server,152176
client,126361
server,152247
server,152866
client,127008
server,151205
client,125267
server,151722
client,125894
server,152130
client,126256
server,152584
client,126647
server,150831
client,125023
server,152026
client,126337
client,126345
server,152186
server,151706
client,126067
server,152772
client,127127
server,151100
client,125342
server,151884
client,126197
client,125705
server,151430
server,151580
client,125755
server,152599
client,126863
server,150927
client,125279
client,125508
server,151386
server,150908
client,124976
server,151438
client,125590
server,151543
client,125675
client,124959
server,150652
client,125903
server,151701
server,151564
client,125785
server,152502
client,126725
server,151122
client,125160
server,150914
client,124916
server,150930
client,124926
server,151540
client,125820
server,152200
client,126363
server,163588
client,137649
server,152109
client,126134
server,151364
client,125596
server,163197
client,137344
server,151804
client,126094
server,151698
client,125801
server,152048
client,126090
server,151400
client,125576
server,151523
client,125624
server,151549
client,125738
server,150786
client,124874
server,151327
client,125352
server,151888
client,125924
server,151299
client,125507
server,150666
client,124944
server,151006
client,125158
server,151351
client,125623
server,151409
client,125517
server,150966
client,125172
server,151807
client,126089
server,151252
client,125360
server,151298
client,125436
server,151772
client,125837
server,150692
client,124822
server,151030
client,125155
server,151553
client,125837
server,151375
client,125623
server,151752
client,126035
server,151652
client,125804
server,152146
client,126245
server,151469
client,125700
server,151482
client,125713
server,151865
client,126027
server,150956
client,125190
server,151358
client,125386
server,151798
client,126113
server,151031
client,125384
server,151455
client,125495
server,151816
client,125998
server,151827
client,126173
server,151962
client,126310
server,151314
client,125383
server,151885
client,125993
server,151873
client,126101
server,150778
client,124913
server,151635
client,125763
server,150503
client,124548
server,150704
client,124809
server,151774
client,125959
server,151151
client,125385
server,152121
client,126328
server,151857
client,126112
server,150652
client,124986
server,151621
client,125765
server,150720
client,124912
server,151795
client,125943
server,150348
client,124451
server,152519
client,126690
server,151444
client,125645
server,150448
client,124737
server,151474
client,125429
server,151849
client,126126
server,151359
client,125715
server,151256
client,125391
server,151432
client,125718
server,150066
client,124241
server,151596
client,125790
server,151611
client,125757
server,151077
client,125309
server,151810
client,126009
server,151467
client,125583
server,151558
client,125864
server,151553
client,125724
server,151188
client,124930
server,157143
client,131276
server,151124
client,125376
server,151107
client,125411
server,153219
client,127436
server,150053
client,124355
server,151906
client,126269
server,151715
client,125849
server,151695
client,125881
server,153130
client,127307
server,152367
client,126510
server,151955
client,126072
server,151236
client,125211
server,151930
client,126079
server,151847
client,126094
server,151671
client,125814
server,151566
client,125835
server,151278
client,125575
server,151794
client,126104
server,151554
client,125724
server,152097
client,126196
server,150237
client,124528
server,151722
client,126016
server,151669
client,125838
server,151355
client,125617
server,150643
client,124990
server,151849
client,125905
server,150529
client,124714
server,151051
client,125255
server,151726
client,125931
server,153875
client,128243
server,151275
client,125493
server,150903
client,124998
server,150063
client,124374
server,151786
client,125856
server,151152
client,125385
