sec_lvl,test_id,time
1,0,15
1,0,1
1,0,1112
1,0,5
1,0,20279
1,0,4
1,0,2
1,0,20203
1,0,10241
1,0,17
1,1,9
1,1,1
1,1,3
1,1,1
1,1,19889
1,1,1
1,1,1
1,1,19586
1,1,10354
1,1,1
1,2,9
1,2,0
1,2,5
1,2,1
1,2,19811
1,2,1
1,2,1
1,2,19606
1,2,10325
1,2,0
1,3,8
1,3,1
1,3,5
1,3,1
1,3,20704
1,3,0
1,3,1
1,3,20206
1,3,10344
1,3,1
1,4,9
1,4,2
1,4,5
1,4,1
1,4,20396
1,4,1
1,4,1
1,4,20019
1,4,10189
1,4,0
1,5,9
1,5,1
1,5,3
1,5,1
1,5,19498
1,5,1
1,5,1
1,5,20301
1,5,10128
1,5,1
1,6,9
1,6,1
1,6,3
1,6,2
1,6,20447
1,6,1
1,6,1
1,6,19867
1,6,10166
1,6,1
1,7,9
1,7,1
1,7,5
1,7,1
1,7,20383
1,7,1
1,7,1
1,7,19640
1,7,10146
1,7,0
1,8,9
1,8,1
1,8,8
1,8,2
1,8,20021
1,8,0
1,8,1
1,8,19829
1,8,10717
1,8,1
1,9,9
1,9,1
1,9,7
1,9,2
1,9,28793
1,9,1
1,9,1
1,9,20239
1,9,11282
1,9,1
1,10,12
1,10,1
1,10,6
1,10,2
1,10,21646
1,10,1
1,10,1
1,10,20284
1,10,10656
1,10,2
1,11,11
1,11,1
1,11,6
1,11,1
1,11,20962
1,11,1
1,11,1
1,11,20364
1,11,10345
1,11,1
1,12,8
1,12,1
1,12,5
1,12,1
1,12,20416
1,12,1
1,12,1
1,12,19751
1,12,10145
1,12,1
1,13,12
1,13,2
1,13,6
1,13,1
1,13,23734
1,13,1
1,13,1
1,13,19326
1,13,10139
1,13,1
1,14,13
1,14,1
1,14,6
1,14,2
1,14,20660
1,14,1
1,14,1
1,14,20787
1,14,10668
1,14,1
1,15,9
1,15,1
1,15,5
1,15,1
1,15,20017
1,15,1
1,15,1
1,15,20178
1,15,10207
1,15,1
1,16,10
1,16,1
1,16,7
1,16,1
1,16,20090
1,16,1
1,16,2
1,16,20107
1,16,10122
1,16,1
1,17,10
1,17,1
1,17,6
1,17,2
1,17,20439
1,17,1
1,17,1
1,17,20433
1,17,10384
1,17,1
1,18,9
1,18,1
1,18,6
1,18,1
1,18,19730
1,18,0
1,18,1
1,18,19213
1,18,10122
1,18,1
1,19,9
1,19,1
1,19,6
1,19,4
1,19,19583
1,19,1
1,19,2
1,19,19248
1,19,10298
1,19,0
1,20,9
1,20,1
1,20,5
1,20,2
1,20,20824
1,20,1
1,20,1
1,20,20189
1,20,10537
1,20,1
1,21,8
1,21,1
1,21,5
1,21,1
1,21,20167
1,21,0
1,21,1
1,21,21615
1,21,10331
1,21,1
1,22,14
1,22,2
1,22,6
1,22,1
1,22,21624
1,22,1
1,22,1
1,22,22368
1,22,10750
1,22,1
1,23,9
1,23,1
1,23,5
1,23,1
1,23,20426
1,23,1
1,23,1
1,23,20669
1,23,10380
1,23,1
1,24,9
1,24,1
1,24,5
1,24,1
1,24,20349
