sec_lvl,test_id,operation,cycles,time
1,0,parse_server_ecdh_params,18151,6
1,0,ecdsa_verify_with_sha512,136438474,52619
1,0,ecdh_make_public,57022663,21991
1,0,ecdh_calc_secret,57297521,22100
1,0,ecdsa_sign_with_sha256,52287845,20164
1,1,parse_server_ecdh_params,15558,5
1,1,ecdsa_verify_with_sha512,113137776,43632
1,1,ecdh_make_public,57567193,22200
1,1,ecdh_calc_secret,56869676,21933
1,1,ecdsa_sign_with_sha256,45743113,17640
1,2,parse_server_ecdh_params,15558,6
1,2,ecdsa_verify_with_sha512,118463798,45688
1,2,ecdh_make_public,56353669,21733
1,2,ecdh_calc_secret,55956940,21580
1,2,ecdsa_sign_with_sha256,39828480,15359
1,3,parse_server_ecdh_params,12965,4
1,3,ecdsa_verify_with_sha512,113257054,43679
1,3,ecdh_make_public,56880048,21936
1,3,ecdh_calc_secret,57139348,22036
1,3,ecdsa_sign_with_sha256,56213647,21669
1,4,parse_server_ecdh_params,10372,3
1,4,ecdsa_verify_with_sha512,114794703,44272
1,4,ecdh_make_public,56089183,21632
1,4,ecdh_calc_secret,56867083,21931
1,4,ecdsa_sign_with_sha256,48621343,18750
1,5,parse_server_ecdh_params,15558,6
1,5,ecdsa_verify_with_sha512,130114147,50180
1,5,ecdh_make_public,56483319,21784
1,5,ecdh_calc_secret,55858406,21543
1,5,ecdsa_sign_with_sha256,56366634,21738
1,6,parse_server_ecdh_params,18151,6
1,6,ecdsa_verify_with_sha512,113884560,43920
1,6,ecdh_make_public,50540163,19490
1,6,ecdh_calc_secret,60919942,23495
1,6,ecdsa_sign_with_sha256,47418191,18287
1,7,parse_server_ecdh_params,12965,5
1,7,ecdsa_verify_with_sha512,113334844,43708
1,7,ecdh_make_public,57105639,22023
1,7,ecdh_calc_secret,55899894,21558
1,7,ecdsa_sign_with_sha256,56496284,21788
1,8,parse_server_ecdh_params,18151,6
1,8,ecdsa_verify_with_sha512,114986585,44347
1,8,ecdh_make_public,57707215,22254
1,8,ecdh_calc_secret,56664829,21853
1,8,ecdsa_sign_with_sha256,55752093,21501
1,9,parse_server_ecdh_params,12965,4
1,9,ecdsa_verify_with_sha512,112531014,43399
1,9,ecdh_make_public,57883539,22323
1,9,ecdh_calc_secret,57170464,22048
1,9,ecdsa_sign_with_sha256,56130671,21647
1,10,parse_server_ecdh_params,10372,3
1,10,ecdsa_verify_with_sha512,112932929,43554
1,10,ecdh_make_public,56006207,21600
