endpoint,keylen,test_id,operation,time
server,1,0,ecdh_setup,3
server,1,0,ecdh_make_params,10288
client,1,0,ecdsa_verify_with_sha256,20655
server,1,0,ecdsa_sign_with_sha512,11169
client,1,0,parse_server_ecdh_params,6
server,1,0,ecdsa_verify_with_sha512,21383
client,1,0,ecdh_make_public,9829
server,1,0,ecdsa_verify_with_sha256,20088
client,1,0,ecdh_calc_secret,9965
server,1,0,ecdh_read_public,4
client,1,0,ecdsa_sign_with_sha256,10251
server,1,0,ecdh_calc_secret,9883
server,1,0,ecdsa_verify_with_sha256,20402
server,1,1,ecdh_setup,2
server,1,1,ecdh_make_params,10070
client,1,1,ecdsa_verify_with_sha256,20224
server,1,1,ecdsa_sign_with_sha512,10354
client,1,1,parse_server_ecdh_params,6
server,1,1,ecdsa_verify_with_sha512,20189
client,1,1,ecdh_make_public,10053
server,1,1,ecdsa_verify_with_sha256,20133
client,1,1,ecdh_calc_secret,10079
server,1,1,ecdh_read_public,4
client,1,1,ecdsa_sign_with_sha256,10418
server,1,1,ecdh_calc_secret,10040
server,1,1,ecdsa_verify_with_sha256,20264
server,1,2,ecdh_setup,2
server,1,2,ecdh_make_params,18033
client,1,2,ecdsa_verify_with_sha256,28346
server,1,2,ecdsa_sign_with_sha512,10389
client,1,2,parse_server_ecdh_params,5
server,1,2,ecdsa_verify_with_sha512,20306
client,1,2,ecdh_make_public,10024
server,1,2,ecdsa_verify_with_sha256,20175
client,1,2,ecdh_calc_secret,9829
server,1,2,ecdh_read_public,3
client,1,2,ecdsa_sign_with_sha256,10256
server,1,2,ecdh_calc_secret,9900
server,1,2,ecdsa_verify_with_sha256,20675
server,1,3,ecdh_setup,2
server,1,3,ecdh_make_params,10105
client,1,3,ecdsa_verify_with_sha256,20389
server,1,3,ecdsa_sign_with_sha512,10473
client,1,3,parse_server_ecdh_params,6
server,1,3,ecdsa_verify_with_sha512,20227
client,1,3,ecdh_make_public,9978
server,1,3,ecdsa_verify_with_sha256,20255
client,1,3,ecdh_calc_secret,10169
server,1,3,ecdh_read_public,3
client,1,3,ecdsa_sign_with_sha256,10663
server,1,3,ecdh_calc_secret,10228
server,1,3,ecdsa_verify_with_sha256,20876
server,1,4,ecdh_setup,2
server,1,4,ecdh_make_params,9990
client,1,4,ecdsa_verify_with_sha256,20325
server,1,4,ecdsa_sign_with_sha512,10278
client,1,4,parse_server_ecdh_params,6
server,1,4,ecdsa_verify_with_sha512,20863
client,1,4,ecdh_make_public,9910
server,1,4,ecdsa_verify_with_sha256,20380
client,1,4,ecdh_calc_secret,9893
server,1,4,ecdh_read_public,4
client,1,4,ecdsa_sign_with_sha256,10433
server,1,4,ecdh_calc_secret,9907
server,1,4,ecdsa_verify_with_sha256,20316
server,1,5,ecdh_setup,2
server,1,5,ecdh_make_params,10314
client,1,5,ecdsa_verify_with_sha256,20253
server,1,5,ecdsa_sign_with_sha512,10397
client,1,5,parse_server_ecdh_params,6
server,1,5,ecdsa_verify_with_sha512,20262
client,1,5,ecdh_make_public,10162
server,1,5,ecdsa_verify_with_sha256,20413
client,1,5,ecdh_calc_secret,9930
server,1,5,ecdh_read_public,3
client,1,5,ecdsa_sign_with_sha256,10270
server,1,5,ecdh_calc_secret,9944
server,1,5,ecdsa_verify_with_sha256,20628
server,1,6,ecdh_setup,2
server,1,6,ecdh_make_params,10250
client,1,6,ecdsa_verify_with_sha256,20373
