sec_lvl,test_id,cycles,time
1,0,10372,2
1,0,2593,1
1,0,38895,15
1,0,5186,2
1,0,154467603,59570
1,0,10372,4
1,0,2593,1
1,0,2593,0
1,0,5186,1
1,0,10216420,3939
1,0,136983004,52826
1,1,5186,1
1,1,2593,0
1,1,36302,14
1,1,7779,2
1,1,121155332,46724
1,1,6052062,2335
1,1,2593,1
1,1,2593,0
1,1,5186,2
1,1,60217239,23233
1,1,116192330,44808
1,2,5186,1
1,2,2593,0
1,2,46674,18
1,2,7779,2
1,2,118435275,45675
1,2,10372,3
1,2,2593,1
1,2,2593,1
1,2,7779,2
1,2,62501672,24091
1,2,127394090,49131
1,3,5186,1
1,3,2593,1
1,3,33709,12
1,3,2593,1
1,3,115484441,44536
1,3,12965,4
1,3,0,1
1,3,0,1
1,3,0,0
1,3,33973486,13101
1,3,10281245,3964
1,4,5186,2
1,4,0,1
1,4,41488,16
1,4,7779,2
1,4,104622364,40348
1,4,12965,4
1,4,2593,1
1,4,2593,1
1,4,5186,2
1,4,53174651,20506
1,4,122664458,47309
1,5,7779,2
1,5,2593,1
1,5,75197,30
1,5,10372,2
1,5,121645409,46919
1,5,152987,4
1,5,2593,1
1,5,0,1
1,5,18151,4
1,5,71014491,27388
1,5,107570605,41484
1,6,10372,4
1,6,2593,1
1,6,70011,27
1,6,7779,2
1,6,9814505,3784
1,6,10372,3
1,6,2593,0
1,6,0,1
1,6,5186,1
1,6,78225624,30171
1,6,110106559,42462
1,7,7779,3
1,7,2593,1
1,7,46674,17
1,7,7779,2
1,7,125954975,48577
1,7,15558,5
1,7,2593,0
1,7,2593,1
1,7,12965,2
1,7,50052679,19301
1,7,135364972,52206
1,8,2593,1
1,8,0,1
1,8,28523,11
1,8,5186,2
1,8,70897806,27342
1,8,12965,4
1,8,2593,0
1,8,0,1
1,8,7779,1
1,8,54909368,21174
1,8,133052016,51315
1,9,2593,1
1,9,2593,1
1,9,36302,13
1,9,5186,1
1,9,78090788,30115
1,9,0,0
1,9,0,0
1,9,0,0
1,9,7779,1
1,9,51403632,19822
1,9,124627359,48064
1,10,18151,4
1,10,5186,1
1,10,51860,72
1,10,10372,3
1,10,125226342,48298
1,10,62232,19
1,10,10372,2
1,10,2593,2
1,10,7779,1
1,10,60637305,23381
1,10,109865410,42370
1,11,5186,1
1,11,2593,0
1,11,33709,13
1,11,5186,1
1,11,110181756,42491
1,11,12965,4
1,11,2593,0
1,11,0,1
1,11,5186,1
1,11,56133264,21646
1,11,124492523,48012
1,12,7779,2
1,12,2593,0
1,12,44081,17
1,12,5186,1
1,12,127974922,49360
1,12,15558,5
1,12,2593,1
1,12,2593,2
1,12,5186,1
1,12,43157892,16642
1,12,119355790,46029
1,13,10372,3
1,13,2593,1
1,13,75197,29
1,13,7779,2
1,13,115079933,44380
1,13,0,0
1,13,0,0
1,13,0,0
1,13,10372,1
1,13,37958927,14635
1,13,113065172,43603
1,14,5186,1
1,14,2593,1
1,14,38895,15
1,14,7779,1
1,14,113508575,43774
1,14,0,0
1,14,0,0
1,14,0,0
1,14,5186,2
1,14,64970208,25055
1,14,123022292,47445
1,15,28523,11
1,15,0,1
1,15,28523,12
1,15,5186,2
1,15,125519351,48410
1,15,10372,4
1,15,2593,0
1,15,2593,0
1,15,5186,2
1,15,46461374,17916
1,15,123266034,47540
1,16,15558,3
1,16,5186,1
1,16,82976,32
1,16,7779,2
1,16,124222851,47913
1,16,18151,6
1,16,2593,0
1,16,2593,1
1,16,5186,2
1,16,54746009,21111
