sec_lvl,test_id,operation,time
1,0,ecdh_setup,3
1,0,ecdh_make_params,21518
1,0,ecdsa_sign_with_sha512,18685
1,0,ecdh_read_public,4
1,0,ecdh_calc_secret,11058
1,1,ecdh_setup,3
1,1,ecdh_make_params,10620
1,1,ecdsa_sign_with_sha512,14964
1,1,ecdh_read_public,4
1,1,ecdh_calc_secret,10421
1,2,ecdh_setup,2
1,2,ecdh_make_params,11012
1,2,ecdsa_sign_with_sha512,11579
1,2,ecdh_read_public,3
1,2,ecdh_calc_secret,10233
1,3,ecdh_setup,3
1,3,ecdh_make_params,10447
1,3,ecdsa_sign_with_sha512,10536
1,3,ecdh_read_public,4
1,3,ecdh_calc_secret,10377
1,4,ecdh_setup,2
1,4,ecdh_make_params,10156
1,4,ecdsa_sign_with_sha512,13601
1,4,ecdh_read_public,4
1,4,ecdh_calc_secret,10335
1,5,ecdh_setup,2
1,5,ecdh_make_params,10205
1,5,ecdsa_sign_with_sha512,10531
1,5,ecdh_read_public,3
1,5,ecdh_calc_secret,10590
1,6,ecdh_setup,2
1,6,ecdh_make_params,16883
1,6,ecdsa_sign_with_sha512,12109
1,6,ecdh_read_public,5
1,6,ecdh_calc_secret,11369
1,7,ecdh_setup,3
1,7,ecdh_make_params,17201
1,7,ecdsa_sign_with_sha512,12683
1,7,ecdh_read_public,5
1,7,ecdh_calc_secret,10853
1,8,ecdh_setup,3
1,8,ecdh_make_params,11941
1,8,ecdsa_sign_with_sha512,12058
1,8,ecdh_read_public,4
1,8,ecdh_calc_secret,11975
1,9,ecdh_setup,3
1,9,ecdh_make_params,11796
1,9,ecdsa_sign_with_sha512,14903
1,9,ecdh_read_public,3
1,9,ecdh_calc_secret,10566
1,10,ecdh_setup,3
1,10,ecdh_make_params,11695
1,10,ecdsa_sign_with_sha512,12296
1,10,ecdh_read_public,4
1,10,ecdh_calc_secret,11007
1,11,ecdh_setup,3
1,11,ecdh_make_params,10710
1,11,ecdsa_sign_with_sha512,11674
1,11,ecdh_read_public,4
1,11,ecdh_calc_secret,11416
1,12,ecdh_setup,2
1,12,ecdh_make_params,10946
1,12,ecdsa_sign_with_sha512,10446
1,12,ecdh_read_public,4
1,12,ecdh_calc_secret,10524
1,13,ecdh_setup,2
1,13,ecdh_make_params,10802
1,13,ecdsa_sign_with_sha512,13222
1,13,ecdh_read_public,3
1,13,ecdh_calc_secret,10329
1,14,ecdh_setup,3
1,14,ecdh_make_params,10498
1,14,ecdsa_sign_with_sha512,10593
1,14,ecdh_read_public,4
1,14,ecdh_calc_secret,10393
1,15,ecdh_setup,3
1,15,ecdh_make_params,10924
1,15,ecdsa_sign_with_sha512,10731
1,15,ecdh_read_public,4
1,15,ecdh_calc_secret,10782
1,16,ecdh_setup,2
1,16,ecdh_make_params,10449
1,16,ecdsa_sign_with_sha512,11660
1,16,ecdh_read_public,6
1,16,ecdh_calc_secret,10449
1,17,ecdh_setup,2
1,17,ecdh_make_params,11682
1,17,ecdsa_sign_with_sha512,11611
1,17,ecdh_read_public,4
1,17,ecdh_calc_secret,10005
1,18,ecdh_setup,2
1,18,ecdh_make_params,10295
1,18,ecdsa_sign_with_sha512,10717
1,18,ecdh_read_public,3
1,18,ecdh_calc_secret,10949
1,19,ecdh_setup,2
1,19,ecdh_make_params,10576
1,19,ecdsa_sign_with_sha512,11305
1,19,ecdh_read_public,4
1,19,ecdh_calc_secret,10240
1,20,ecdh_setup,2
1,20,ecdh_make_params,10394
1,20,ecdsa_sign_with_sha512,17988
1,20,ecdh_read_public,5
1,20,ecdh_calc_secret,10443
1,21,ecdh_setup,2
1,21,ecdh_make_params,10754
1,21,ecdsa_sign_with_sha512,10761
1,21,ecdh_read_public,3
1,21,ecdh_calc_secret,10070
1,22,ecdh_setup,3
1,22,ecdh_make_params,12218
1,22,ecdsa_sign_with_sha512,10858
1,22,ecdh_read_public,4
1,22,ecdh_calc_secret,11374
1,23,ecdh_setup,3
1,23,ecdh_make_params,10487
1,23,ecdsa_sign_with_sha512,10749
1,23,ecdh_read_public,5
1,23,ecdh_calc_secret,10176
1,24,ecdh_setup,2
1,24,ecdh_make_params,10328
1,24,ecdsa_sign_with_sha512,10564
1,24,ecdh_read_public,3
1,24,ecdh_calc_secret,10083
2,0,ecdh_setup,1
2,0,ecdh_make_params,10864
2,0,ecdsa_sign_with_sha512,12566
2,0,ecdh_read_public,3
2,0,ecdh_calc_secret,10885
2,1,ecdh_setup,3
2,1,ecdh_make_params,20793
2,1,ecdsa_sign_with_sha512,11498
2,1,ecdh_read_public,3
2,1,ecdh_calc_secret,10762
2,2,ecdh_setup,2
2,2,ecdh_make_params,11165
2,2,ecdsa_sign_with_sha512,11338
2,2,ecdh_read_public,3
2,2,ecdh_calc_secret,10762
2,3,ecdh_setup,2
