endpoint,operation,msglen,time
client,encrypt,4096,94
server,decrypt,4096,74
server,encrypt,4096,73
client,decrypt,4096,82
client,encrypt,4096,74
server,decrypt,4096,75
server,encrypt,4096,73
client,decrypt,4096,73
client,encrypt,4096,74
server,decrypt,4096,133
server,encrypt,4096,137
client,decrypt,4096,76
client,encrypt,4096,73
server,decrypt,4096,83
server,encrypt,4096,126
client,decrypt,4096,120
client,encrypt,4096,141
server,decrypt,4096,120
server,encrypt,4096,73
client,decrypt,4096,76
client,encrypt,8192,140
server,decrypt,8192,241
server,encrypt,8192,142
client,decrypt,8192,145
client,encrypt,8192,141
server,decrypt,8192,143
server,encrypt,8192,142
client,decrypt,8192,164
client,encrypt,8192,142
server,decrypt,8192,166
server,encrypt,8192,143
client,decrypt,8192,145
client,encrypt,8192,143
server,decrypt,8192,170
server,encrypt,8192,143
client,decrypt,8192,142
client,encrypt,8192,146
server,decrypt,8192,164
server,encrypt,8192,144
client,decrypt,8192,232
client,encrypt,16384,281
server,decrypt,16384,281
server,encrypt,16384,283
client,decrypt,16384,279
client,encrypt,16384,281
server,decrypt,16384,318
server,encrypt,16384,282
client,decrypt,16384,278
client,encrypt,16384,309
server,decrypt,16384,281
server,encrypt,16384,282
client,decrypt,16384,484
client,encrypt,16384,281
server,decrypt,16384,316
server,encrypt,16384,301
client,decrypt,16384,300
client,encrypt,16384,313
server,decrypt,16384,409
server,encrypt,16384,286
client,decrypt,16384,301
