endpoint,keylen,time
server,192,280445
client,192,216535
client,192,213333
server,192,277110
client,192,208659
server,192,277490
server,192,283485
client,192,221942
server,192,275863
client,192,213398
client,224,223927
server,224,286636
server,224,289013
client,224,226546
server,224,291879
client,224,228239
server,224,303754
client,224,237884
client,224,227436
server,224,292811
client,384,289068
server,384,355047
client,384,275583
server,384,337657
server,384,335628
client,384,272278
server,384,338131
client,384,275349
server,384,353968
client,384,291875
server,521,462570
client,521,401685
client,521,399162
server,521,461726
server,521,454409
client,521,392493
server,521,461054
client,521,398336
server,521,450543
client,521,387429
