endpoint,keylen,time
client,192,227104
server,192,298053
client,192,226638
server,192,292952
client,192,231238
server,192,299313
client,192,229038
server,192,297478
client,192,235402
server,192,301511
client,224,247691
server,224,320198
server,224,315701
client,224,245502
client,224,243563
server,224,309954
client,224,244448
server,224,311457
client,224,246049
server,224,312517
client,384,304848
server,384,373374
server,384,374427
client,384,304709
client,384,289591
server,384,355757
client,384,291475
server,384,356949
client,384,299202
server,384,365222
client,521,404042
server,521,469854
client,521,429111
server,521,495202
server,521,486635
client,521,421005
server,521,480704
client,521,413464
client,521,413397
server,521,479845
