endpoint,time
client,125517
server,151278
server,151969
client,126161
client,125315
server,151091
server,151214
client,125542
server,151071
client,125461
server,151973
client,126262
server,151011
client,125237
server,151482
client,125603
client,125457
server,151200
server,150886
client,125193
server,151419
client,125299
server,150845
client,125157
server,151162
client,125340
server,151097
client,125145
server,151937
client,126214
client,128246
server,153974
client,125374
server,151056
server,151461
client,125597
client,125112
server,150818
server,152060
client,126215
server,152442
client,126794
server,151588
client,125914
client,125901
server,151590
server,152372
client,126606
server,150072
client,124486
server,151454
client,125763
server,151824
client,125955
client,125496
server,151324
server,151140
client,125483
server,151970
client,126233
server,152805
client,127051
server,150883
client,125096
client,133439
server,159180
client,125229
server,151101
server,150513
client,124785
server,151690
client,125889
server,151933
client,126233
server,150251
client,124487
server,151244
client,125510
server,150646
client,124928
client,125280
server,150988
client,125421
server,151153
server,150812
client,124960
server,150992
client,125175
server,152082
client,126387
server,152029
client,126222
server,151634
client,125874
client,128265
server,154094
server,151930
client,126289
server,150689
client,125025
server,151073
client,125443
server,150250
client,124423
client,125239
server,151056
server,151696
client,125872
server,150935
client,125223
server,152282
client,126448
server,150213
client,124589
server,151933
client,126264
server,150879
client,125188
server,154082
client,128125
server,151400
client,125711
server,151404
client,125416
server,151376
client,125671
server,151190
client,125407
server,150695
client,125031
server,151435
client,125631
server,150173
client,124326
server,151002
client,125302
server,151951
client,126005
client,125145
server,150914
server,151127
client,125253
client,127126
server,152859
client,124741
server,150623
server,151244
client,125607
server,151927
client,126165
server,152205
client,126543
client,125327
server,151109
server,151246
client,125436
server,151522
client,125749
server,151663
client,125883
client,126468
server,152147
server,151166
client,125374
server,151893
client,126199
server,150246
client,124560
server,151709
client,125841
server,151519
client,125785
server,150931
client,125198
server,151000
client,125239
server,151123
client,125490
server,150155
client,124390
server,151029
client,125297
server,151303
client,125479
client,125439
server,151171
server,150888
client,125187
server,151343
client,125678
server,150150
client,124406
server,151520
client,125777
server,150679
client,124904
server,151603
client,125848
server,152291
client,126249
server,150958
client,125224
server,151316
client,125667
server,150064
client,124402
server,150946
client,125100
server,151309
client,125564
server,151494
client,125735
server,150279
client,124623
server,150869
client,125121
server,151809
client,126096
server,150930
client,125284
server,151247
client,125569
server,150224
client,124520
server,151263
client,125480
server,151904
client,126166
server,151647
client,126018
server,151972
client,126248
server,151133
client,125473
server,150899
client,125246
server,150103
client,124352
server,151678
client,125909
server,151348
client,125632
server,151913
client,126081
server,151216
client,125421
server,151283
client,125333
server,151505
client,125770
server,151724
client,125960
server,151260
client,125479
server,151933
client,126140
server,151080
client,125348
server,151429
client,125671
server,150944
client,125228
server,151612
client,125652
server,150975
client,125249
server,151741
client,126022
server,153778
client,128048
server,150662
client,124869
server,151816
client,126122
server,151455
client,125793
server,150748
client,125082
server,151126
client,125262
server,151341
client,125664
server,150222
client,124317
server,151367
client,125661
server,151207
client,125515
server,151634
client,125858
server,150285
client,124423
server,158271
client,132608
server,151710
client,125958
server,160409
client,134535
server,151053
client,125300
server,152204
client,126437
server,151929
client,125974
server,151034
client,125388
server,151040
client,125296
server,151474
client,125734
server,151148
client,125427
server,153365
client,127647
server,151642
client,125867
server,151645
client,125887
server,151236
client,125550
server,151908
client,126234
server,151598
client,125555
server,149369
client,123666
server,153951
client,128207
server,151784
client,125856
server,150052
client,124408
server,151688
client,125897
server,151872
client,126089
server,152280
client,126681
server,151324
client,125348
server,151915
client,126224
server,151144
client,125443
server,151527
client,125829
server,150815
client,125071
server,151035
client,125359
server,151406
client,125372
server,150950
client,125201
server,151130
client,125349
server,150153
client,124385
server,152335
client,126374
server,152274
client,126393
server,151196
client,125483
server,151166
client,125472
server,150880
client,125177
server,150773
client,125113
server,151592
client,125803
server,151323
client,125680
server,151036
client,125333
server,151955
client,126238
server,151402
client,125692
server,152127
client,126361
server,151268
client,125544
server,151749
client,126078
server,151058
client,125210
server,150496
client,124589
server,151147
