endpoint,operation,msglen,time
client,encrypt,4096,141
server,decrypt,4096,150
server,encrypt,4096,139
client,decrypt,4096,139
client,encrypt,4096,144
server,decrypt,4096,144
server,encrypt,4096,160
client,decrypt,4096,142
client,encrypt,4096,141
server,decrypt,4096,138
server,encrypt,4096,141
client,decrypt,4096,153
client,encrypt,4096,140
server,decrypt,4096,158
server,encrypt,4096,160
client,decrypt,4096,154
client,encrypt,4096,160
server,decrypt,4096,151
server,encrypt,4096,140
client,decrypt,4096,140
client,encrypt,8192,275
server,decrypt,8192,279
server,encrypt,8192,291
client,decrypt,8192,274
client,encrypt,8192,276
server,decrypt,8192,278
server,encrypt,8192,276
client,decrypt,8192,277
client,encrypt,8192,279
server,decrypt,8192,273
server,encrypt,8192,275
client,decrypt,8192,274
client,encrypt,8192,276
server,decrypt,8192,274
server,encrypt,8192,275
client,decrypt,8192,366
client,encrypt,8192,280
server,decrypt,8192,277
server,encrypt,8192,280
client,decrypt,8192,273
client,encrypt,16384,582
server,decrypt,16384,604
server,encrypt,16384,552
client,decrypt,16384,546
client,encrypt,16384,564
server,decrypt,16384,563
server,encrypt,16384,570
client,decrypt,16384,544
client,encrypt,16384,545
server,decrypt,16384,628
server,encrypt,16384,569
client,decrypt,16384,547
client,encrypt,16384,545
server,decrypt,16384,656
server,encrypt,16384,549
client,decrypt,16384,640
client,encrypt,16384,544
server,decrypt,16384,544
server,encrypt,16384,553
client,decrypt,16384,800
