endpoint,operation,msglen,time
client,hash,4096,37
server,verify,4096,25
server,hash,4096,22
client,verify,4096,24
client,hash,4096,33
server,verify,4096,24
server,hash,4096,22
client,verify,4096,24
client,hash,4096,22
server,verify,4096,39
server,hash,4096,33
client,verify,4096,26
client,hash,4096,23
server,verify,4096,34
server,hash,4096,23
client,verify,4096,24
client,hash,4096,31
server,verify,4096,25
server,hash,4096,24
client,verify,4096,24
client,hash,8192,40
server,verify,8192,43
server,hash,8192,40
client,verify,8192,45
client,hash,8192,40
server,verify,8192,80
server,hash,8192,41
client,verify,8192,45
client,hash,8192,59
server,verify,8192,58
server,hash,8192,61
client,verify,8192,61
client,hash,8192,40
server,verify,8192,44
server,hash,8192,41
client,verify,8192,64
client,hash,8192,40
server,verify,8192,61
server,hash,8192,40
client,verify,8192,48
client,hash,16384,85
server,verify,16384,110
server,hash,16384,105
client,verify,16384,82
client,hash,16384,77
server,verify,16384,81
server,hash,16384,75
client,verify,16384,96
client,hash,16384,76
server,verify,16384,122
server,hash,16384,81
client,verify,16384,82
client,hash,16384,77
server,verify,16384,106
server,hash,16384,76
client,verify,16384,81
client,hash,16384,76
server,verify,16384,78
server,hash,16384,75
client,verify,16384,81
