endpoint,min_input,max_input,time
server,32,8192,154441
client,32,8192,154627
client,32,8192,153244
server,32,8192,153106
server,32,8192,153047
client,32,8192,153186
client,32,8192,157205
server,32,8192,153036
server,32,8192,152819
client,32,8192,152941
server,32,8192,153179
client,32,8192,157346
client,32,8192,157129
server,32,8192,156972
client,32,8192,153856
server,32,8192,153709
client,32,8192,153735
server,32,8192,153537
client,32,8192,152123
server,32,8192,151980
client,32,8192,154597
server,32,8192,154481
server,32,8192,152646
client,32,8192,152839
client,32,8192,158236
server,32,8192,154094
server,32,8192,154834
client,32,8192,154970
server,32,8192,153656
client,32,8192,157890
server,32,8192,155245
client,32,8192,159578
client,32,8192,158580
server,32,8192,154310
server,32,8192,152770
client,32,8192,152890
server,32,8192,154589
client,32,8192,158903
client,32,8192,173826
server,32,8192,168474
client,32,8192,153317
server,32,8192,153205
client,32,8192,151454
server,32,8192,151359
server,32,8192,155131
client,32,8192,155324
client,32,8192,158816
server,32,8192,154487
client,32,8192,152968
server,32,8192,152874
client,32,8192,152929
server,32,8192,152785
server,32,8192,153695
client,32,8192,153862
server,32,8192,153734
client,32,8192,158148
server,32,8192,152323
client,32,8192,156733
server,32,8192,153818
client,32,8192,158300
client,32,8192,157837
server,32,8192,153308
server,32,8192,166620
client,32,8192,166799
client,32,8192,159082
server,32,8192,154531
client,32,8192,154049
server,32,8192,153942
client,32,8192,152078
server,32,8192,151969
server,32,8192,153447
client,32,8192,153591
client,32,8192,157852
server,32,8192,153298
client,32,8192,154214
server,32,8192,154074
server,32,8192,153632
client,32,8192,153802
client,32,8192,155261
server,32,8192,155135
client,32,8192,153874
server,32,8192,153740
server,32,8192,154105
client,32,8192,154241
client,32,8192,158427
server,32,8192,153656
server,32,8192,154694
client,32,8192,154838
client,32,8192,165479
server,32,8192,160677
client,32,8192,152895
server,32,8192,152723
client,32,8192,154700
server,32,8192,154617
server,32,8192,154222
client,32,8192,154362
server,32,8192,154055
client,32,8192,158680
client,32,8192,158133
server,32,8192,153281
server,32,8192,153101
client,32,8192,153224
client,32,8192,158501
server,32,8192,153864
client,32,8192,152731
server,32,8192,152566
server,32,8192,153436
client,32,8192,153609
server,32,8192,153591
client,32,8192,158445
client,32,8192,157564
server,32,8192,152791
server,32,8192,160137
client,32,8192,160296
client,32,8192,157356
server,32,8192,152614
server,32,8192,153820
client,32,8192,153916
client,32,8192,158613
server,32,8192,153881
client,32,8192,153264
server,32,8192,153055
client,32,8192,153257
server,32,8192,153109
client,32,8192,154523
server,32,8192,154393
client,32,8192,152046
server,32,8192,151955
client,32,8192,153777
server,32,8192,153621
client,32,8192,151784
server,32,8192,151555
client,32,8192,151895
server,32,8192,151780
client,32,8192,154680
server,32,8192,154548
server,32,8192,154447
client,32,8192,154639
client,32,8192,167011
server,32,8192,160997
client,32,8192,151941
server,32,8192,151809
client,32,8192,153848
server,32,8192,153737
server,32,8192,153572
client,32,8192,153709
server,32,8192,153624
client,32,8192,158460
server,32,8192,154909
client,32,8192,159817
client,32,8192,157988
server,32,8192,153056
server,32,8192,154900
client,32,8192,155015
client,32,8192,158561
server,32,8192,153495
client,32,8192,154370
server,32,8192,154227
server,32,8192,154119
client,32,8192,154284
client,32,8192,159602
server,32,8192,154353
server,32,8192,158948
client,32,8192,159067
client,32,8192,160935
server,32,8192,155985
client,32,8192,153125
server,32,8192,152965
client,32,8192,152513
server,32,8192,152399
client,32,8192,153892
server,32,8192,153771
server,32,8192,154685
client,32,8192,154836
client,32,8192,157287
server,32,8192,152236
client,32,8192,153936
server,32,8192,153798
client,32,8192,154499
server,32,8192,154398
client,32,8192,153112
server,32,8192,152954
client,32,8192,153186
server,32,8192,153032
client,32,8192,152560
server,32,8192,152414
server,32,8192,157810
client,32,8192,157936
server,32,8192,161043
client,32,8192,166161
client,32,8192,158644
server,32,8192,153537
client,32,8192,153782
server,32,8192,153673
server,32,8192,153885
client,32,8192,154006
client,32,8192,158961
server,32,8192,153824
server,32,8192,153866
client,32,8192,154044
server,32,8192,153689
client,32,8192,158575
server,32,8192,153395
client,32,8192,158659
server,32,8192,153810
client,32,8192,158841
client,32,8192,159065
server,32,8192,153901
client,32,8192,153106
server,32,8192,152995
client,32,8192,154879
server,32,8192,154754
server,32,8192,159234
client,32,8192,159410
server,32,8192,153208
client,32,8192,158291
server,32,8192,154699
client,32,8192,160011
client,32,8192,158917
server,32,8192,153603
client,32,8192,153592
server,32,8192,153429
server,32,8192,153165
client,32,8192,153333
client,32,8192,157651
server,32,8192,152451
client,32,8192,152033
server,32,8192,151934
client,32,8192,153316
server,32,8192,153150
client,32,8192,154603
server,32,8192,154407
client,32,8192,152782
server,32,8192,152657
client,32,8192,154526
server,32,8192,154414
server,32,8192,160758
client,32,8192,160975
client,32,8192,155389
server,32,8192,155234
client,32,8192,152818
