endpoint,operation,msglen,time
client,encrypt,8192,75
server,decrypt,8192,82
server,encrypt,8192,64
client,decrypt,8192,66
client,encrypt,8192,65
server,decrypt,8192,62
server,encrypt,8192,64
client,decrypt,8192,65
client,encrypt,8192,64
server,decrypt,8192,63
server,encrypt,8192,82
client,decrypt,8192,66
client,encrypt,8192,64
server,decrypt,8192,71
server,encrypt,8192,66
client,decrypt,8192,66
client,encrypt,8192,66
server,decrypt,8192,63
server,encrypt,8192,69
client,decrypt,8192,67
client,encrypt,16384,127
server,decrypt,16384,123
server,encrypt,16384,137
client,decrypt,16384,146
client,encrypt,16384,137
server,decrypt,16384,122
server,encrypt,16384,125
client,decrypt,16384,128
client,encrypt,16384,133
server,decrypt,16384,184
server,encrypt,16384,125
client,decrypt,16384,128
client,encrypt,16384,125
server,decrypt,16384,124
server,encrypt,16384,134
client,decrypt,16384,147
client,encrypt,16384,127
server,decrypt,16384,124
server,encrypt,16384,127
client,decrypt,16384,191
