endpoint,time
server,106676
client,80919
client,80365
server,106018
client,79086
server,104374
client,79308
server,104651
client,78652
server,104513
server,103995
client,78243
client,78086
server,103818
server,103744
client,78061
client,78086
server,103870
client,78758
server,104768
server,104138
client,78436
server,104113
client,78385
client,79325
server,105084
client,79006
server,104767
server,105541
client,79802
client,78787
server,103805
client,78564
server,104282
client,78580
server,104236
client,78673
server,104562
client,78137
server,103862
client,78683
server,103936
client,77743
server,103526
server,104350
client,78520
client,80212
server,105849
client,78311
server,104046
client,78000
server,103770
client,78796
server,104530
client,78413
server,104071
client,78870
server,104795
client,78133
server,103947
client,78948
server,104188
client,77983
server,103244
client,77894
server,103027
client,78028
server,103753
client,78770
server,104685
client,78182
server,103881
client,78384
server,104591
client,78256
server,103956
client,78647
server,104323
client,78162
server,103920
client,79383
server,105485
client,79124
server,105016
client,79259
server,104374
client,79469
server,105222
client,80191
server,105317
client,78712
server,104461
client,78998
server,104010
client,78824
server,104598
client,78400
server,104120
client,79671
server,105373
client,79504
server,105359
client,78835
server,104529
client,78447
server,104039
client,79111
server,104902
client,80407
server,106246
client,80421
server,106546
client,80139
server,105328
client,81162
server,107055
client,80081
server,105847
client,79614
server,105584
client,80946
server,106772
client,80287
server,106111
client,79070
server,107644
client,82206
server,107934
client,79285
server,105205
client,79010
server,104747
client,78221
server,104446
client,78665
server,104434
client,79452
server,104639
client,78702
server,103729
client,78081
server,104128
client,78521
server,107266
server,105326
client,79468
client,79907
server,105664
client,78445
server,104129
client,78961
server,104722
client,79444
server,105277
client,79370
server,104414
client,78346
server,104089
client,78902
server,104047
client,78321
server,104219
client,78891
server,103947
client,79178
server,105064
client,78615
server,104508
client,78493
server,104702
client,78936
server,104941
server,104405
client,78432
client,79280
server,105269
client,79144
server,104406
server,105290
client,79009
client,79055
server,105264
client,79129
server,104202
client,78817
server,104779
client,79116
server,104094
client,79369
server,105039
client,79185
server,104839
client,78653
server,103677
client,78310
server,104261
client,79010
server,105014
client,79531
server,105015
client,79111
server,105118
client,79080
server,104930
client,78260
server,104172
client,78865
server,104585
client,78773
server,104717
client,79340
server,105172
client,78721
server,104526
client,78798
server,104932
client,79148
server,104813
client,78488
server,103887
client,78397
server,104212
client,78140
server,104580
client,78961
server,104825
client,78493
server,103627
client,78482
server,103653
client,78299
server,104212
client,79889
server,105249
client,78928
server,104626
server,105096
client,79309
client,79325
server,105240
client,79056
server,104809
client,79689
server,105512
client,78736
server,104446
client,78443
server,104137
client,78336
server,104009
client,78589
server,103733
client,78237
server,104075
client,78423
server,104392
client,78963
server,104934
client,82842
server,109004
client,78320
server,104193
client,79002
server,106540
client,78491
server,105065
client,79042
server,105318
client,78534
server,104454
client,79197
server,104708
client,78800
server,105213
client,79232
server,104633
client,80458
server,106225
client,78921
server,104936
client,79908
server,106128
server,106470
client,80240
client,79701
server,105446
client,79427
server,105232
client,79771
server,104834
client,79033
server,104864
client,79167
server,105322
client,79003
server,104649
client,79015
server,104826
client,79067
server,104932
client,78435
server,104168
client,79209
server,104327
client,78475
server,104445
client,78443
server,104218
client,78578
server,104427
client,79056
server,104716
client,79100
server,104730
client,78617
server,104321
client,78317
server,104341
client,79339
server,105042
client,78474
server,104258
client,78615
server,103627
client,78472
server,103449
client,78499
server,104193
client,78946
server,104694
client,78574
server,103697
client,78414
server,104131
client,78949
server,104019
client,78668
server,104328
client,78118
server,103862
client,78503
server,103609
client,78522
server,104263
client,78295
server,104286
client,78449
server,103682
client,78804
server,103959
client,78533
server,104102
client,78507
server,104254
client,79196
server,104594
client,78731
server,104346
client,78879
server,104658
client,78771
server,104402
client,79271
server,105017
client,78759
server,103729
client,78884
server,103965
client,79385
server,105119
client,79923
server,106101
client,79005
server,104767
client,78406
server,104116
client,78586
server,104314
client,79579
server,105287
client,79579
server,105204
client,78868
server,104556
client,78791
server,104622
client,78854
server,104067
client,79421
server,104620
client,78947
server,104813
client,79541
server,105454
client,79128
server,105043
client,78999
server,104999
client,78589
server,103723
client,78579
server,103873
client,79365
server,105139
client,79656
server,104626
client,79510
server,104562
client,78919
server,104638
client,79072
server,104868
client,79340
server,104411
client,79203
server,104908
client,78962
server,104738
client,79205
server,105005
client,78650
server,104437
client,79059
server,104846
client,79206
server,104887
client,79460
server,104694
client,78628
server,104412
client,78573
server,104064
client,79035
server,104733
client,78350
server,104279
client,79400
server,105204
client,78876
server,104501
client,79393
server,105005
client,78583
server,103565
client,78627
server,104315
client,79231
server,105034
client,79133
server,104788
server,104252
client,78504
client,78350
server,104184
client,79232
server,104374
client,78340
server,103450
client,78934
server,104014
client,78323
server,103316
client,78500
server,104126
client,79397
server,105055
client,79590
server,105282
client,78605
server,104227
client,80798
server,106111
client,78625
server,104422
client,80086
server,105867
client,78548
server,104426
client,78579
server,103855
client,78943
server,104817
client,78851
server,104155
client,79088
server,104931
client,78821
server,104570
client,78932
server,103901
client,78358
server,103447
server,105121
client,79384
client,79251
server,104378
client,79204
server,104860
client,79226
server,104947
client,79319
server,104467
client,78906
server,104615
client,78718
server,104531
client,79125
server,104786
client,79847
server,105473
client,78852
server,104672
client,79245
server,104315
client,80045
server,105790
client,81688
server,107117
client,81225
server,106469
client,81276
server,107231
client,81108
server,106849
client,80243
server,106095
client,81603
server,107430
client,78945
server,104689
client,79598
server,105327
client,78205
server,103940
server,104170
client,79137
client,78268
server,104039
server,104279
client,78466
client,79435
server,105175
client,79026
server,105013
client,78481
server,104384
client,78258
server,103857
client,78899
server,104799
client,79074
server,104803
client,79311
server,104966
client,79082
server,104873
client,78567
server,104370
client,78575
server,104313
client,79377
server,105200
client,79556
server,105024
client,78366
server,104288
client,78611
server,104272
client,78838
server,104625
client,79010
server,104658
client,78836
server,104692
client,78702
server,104414
client,78711
server,104417
server,104984
client,79270
client,78574
server,104384
client,79017
server,104090
client,78932
server,104679
client,79664
server,105415
client,78925
server,103962
client,78219
server,103242
client,79566
server,105606
client,79549
server,105443
client,78492
server,104204
client,79041
server,104814
client,78477
server,104661
client,78396
server,104136
client,78323
server,104139
client,78340
server,104312
client,78753
server,104433
client,79067
server,104082
client,79833
server,105847
client,78634
server,104754
client,78656
server,103669
client,78437
server,104159
client,78936
server,104378
client,78700
server,104555
client,78613
server,104340
client,78613
server,104384
client,78511
server,104242
client,79250
server,104973
client,79701
server,105406
client,78750
server,103737
client,78730
server,103716
client,79199
server,104322
client,78612
server,103884
client,78523
server,104385
client,78627
server,103791
client,79190
server,105160
client,78811
server,104327
client,78228
server,103450
client,78302
server,104065
client,78734
server,104784
client,79667
server,104685
client,78464
server,104160
client,79281
server,104303
client,78583
server,104335
client,79499
server,105216
client,79082
server,104898
client,78975
server,104745
client,79373
server,105472
client,78833
server,104494
client,78832
server,104614
client,78635
server,104283
client,79114
server,104915
client,79555
server,105668
client,80149
server,105884
client,78619
server,104341
client,79058
server,104791
client,79583
server,105360
client,79702
server,105539
client,79200
server,105025
client,78828
server,104500
client,79305
server,104390
client,79248
server,104946
client,79505
server,105182
client,79204
server,104162
client,78411
server,104051
client,78375
server,104175
client,78762
server,104626
client,79181
server,104997
client,78451
server,103529
client,79290
server,104989
server,103809
client,78634
client,78091
server,103157
client,78596
server,104249
client,79220
server,104186
client,78899
server,105040
client,78661
server,104474
client,78432
server,104189
client,78618
server,104531
client,78572
server,104388
client,78434
server,104290
client,78636
server,104423
client,78556
server,104172
client,78604
server,104295
client,79482
server,104579
client,78954
server,104633
client,78772
server,104563
server,105794
client,80144
client,79088
server,104956
client,78901
server,104675
client,78461
server,104258
client,80465
server,106187
client,79962
server,106105
client,78473
server,104146
client,80389
server,106056
client,78832
server,104527
client,78222
server,103337
client,79402
server,105136
client,78537
server,103605
client,78482
server,104277
client,78370
server,104225
client,78602
server,104278
client,78362
server,104160
client,79183
server,104408
client,78739
server,104512
server,104038
client,79025
client,79116
server,104195
client,78875
server,103759
client,78658
server,104056
server,104086
client,78424
server,104374
client,79200
client,78382
server,103451
client,78667
server,104343
server,104277
client,78626
server,104838
client,78927
client,79078
server,104721
client,79146
server,104142
client,79047
server,104750
client,78408
server,103474
client,79463
server,105215
client,79141
server,104334
server,105142
client,79239
client,78885
server,104750
client,79127
server,104945
client,79377
server,105077
server,104071
client,79012
client,78626
server,103628
client,78594
server,104810
client,79048
server,104801
client,78456
server,103511
server,104125
client,78430
client,78363
server,103452
client,104632
server,131237
client,78473
server,104310
client,78922
server,104582
client,78717
server,104722
client,78642
server,103672
client,78237
server,103180
client,78387
server,103708
client,78013
server,104162
server,104543
client,79280
client,78610
server,104319
client,79308
server,105231
server,105101
client,79176
client,79022
server,104236
client,79044
server,104867
server,105052
client,79326
client,79198
server,105041
client,79759
server,105472
client,78684
server,104358
client,79113
server,104903
client,79027
server,104761
client,78392
server,104765
client,79038
server,104594
client,78475
server,104611
client,79137
server,104954
client,79004
server,104344
client,78633
server,104253
client,78978
server,104726
client,78898
server,104880
client,78473
server,104241
client,78634
server,104469
client,78616
server,104498
server,103731
client,78535
client,78528
server,103893
client,78724
server,105224
server,104335
client,78448
client,78663
server,104385
client,78882
server,103955
client,78823
server,104554
client,78994
server,104186
client,78720
server,103881
client,79017
server,104782
client,79558
server,105331
client,79266
server,105123
client,81088
server,106923
client,78353
server,103449
server,103051
client,78079
client,78883
server,104927
client,78282
server,104309
client,78351
server,104020
client,79061
server,105024
server,104806
client,78606
client,78668
server,104853
client,77879
server,103780
client,79002
server,105493
client,78469
server,105285
client,79358
server,105324
server,104963
client,78946
client,78321
server,103785
client,78533
server,104648
client,79096
server,104219
client,79115
server,104818
server,104063
client,78672
client,79459
server,105423
client,80360
server,106434
client,79654
server,105541
client,78894
server,104710
client,79169
server,104908
client,79188
server,104917
client,79524
server,104570
client,80208
server,105642
server,103701
client,78591
client,78372
server,103352
client,79096
server,104193
client,78891
server,103955
client,78874
server,104638
server,103646
client,78480
client,78318
server,104657
client,78286
server,104183
client,78782
server,104525
client,78722
server,103739
client,78488
server,103850
client,79102
server,104055
client,78312
server,103409
client,78037
server,103036
client,78782
server,104096
client,79061
server,104978
client,78705
server,103963
client,78786
server,104554
client,78467
server,104153
client,78983
server,104697
client,79814
server,105519
client,79134
server,104849
client,79398
server,105152
client,80718
server,106944
client,78606
server,104344
server,104117
client,79045
client,78562
server,104242
client,79303
server,104490
server,104560
client,78877
server,103848
client,78759
client,78331
server,104052
client,79155
server,104186
client,78784
server,104866
client,78635
server,104575
client,78628
server,103721
client,78254
server,103957
client,78576
server,104287
client,79043
server,104801
client,79213
server,105115
client,78519
server,103553
client,78854
server,103861
client,78583
server,104278
server,103539
client,78533
client,78261
server,104045
client,78580
server,104364
client,78591
server,104242
client,78825
server,104648
client,78464
server,104364
client,78508
server,104320
client,78579
server,103656
client,78933
server,103876
client,78288
server,103409
client,78477
server,104267
client,78547
server,104270
server,106144
client,80438
client,78917
server,104658
client,79630
server,104635
client,79091
server,104241
client,78731
server,104550
client,78769
server,104590
client,78712
server,104408
client,79132
server,104100
client,78194
server,103216
client,78873
server,104606
client,78535
server,104240
client,78723
server,104158
client,79062
server,104430
client,78829
server,103965
client,78897
server,104581
client,78280
server,103430
client,78350
server,104233
client,79221
server,105112
client,78231
server,103999
client,78667
server,104370
client,78732
server,104396
client,78756
server,104902
client,79122
server,104158
server,104264
client,78586
client,78665
server,104389
client,78564
server,104345
client,79103
server,104387
client,79065
server,104822
client,79198
server,104282
client,79132
server,104365
client,79409
server,104427
client,78169
server,103795
client,79129
server,104169
client,78461
server,104235
server,104389
client,79174
client,78475
server,103595
client,78952
server,104667
client,78341
server,103515
client,78932
server,105460
client,79199
server,104948
client,78549
server,103613
client,78014
server,102973
server,103789
client,78635
client,78711
server,104375
client,78828
server,104489
client,78656
server,104382
client,79956
server,106587
client,79760
server,105550
client,78810
server,104006
client,78592
server,104214
client,78368
server,103509
client,78463
server,104040
client,78407
server,103421
client,78857
server,103937
client,78695
server,104474
server,103334
client,78372
client,79363
server,104475
client,78873
server,104603
client,79470
server,105205
client,79538
server,105481
client,79873
server,105557
client,78722
server,104651
client,78848
server,104517
client,79025
server,104779
client,79035
server,104844
client,78899
server,104559
server,104617
client,78944
client,78344
server,104062
client,78654
server,103721
client,78982
server,104777
client,79213
server,104235
client,78220
server,103871
server,103788
client,78101
client,79048
server,104699
client,78513
server,104279
client,78072
server,103796
client,78672
server,104329
client,78967
server,104377
client,79184
server,105102
client,78779
server,104605
client,78779
server,104034
client,78200
server,103308
client,79915
server,104965
client,78564
server,103578
client,78653
server,104404
client,79056
server,104108
client,78779
server,104069
client,79191
server,104822
client,79080
server,104745
client,79082
server,104855
client,79286
server,105580
client,78789
server,104491
client,78722
server,104446
client,78799
server,104515
client,78368
server,104009
client,79378
server,105079
client,78585
server,103563
client,78537
server,103696
client,78637
server,103746
client,78975
server,104101
client,78369
server,104308
client,78484
server,104295
client,78780
server,103818
client,78663
server,104624
client,78555
server,103596
client,78923
server,104659
client,79222
server,104422
client,78607
server,104189
client,79157
server,105082
client,78790
server,104472
client,78598
server,104362
client,78995
server,104080
client,79204
server,104938
client,79139
server,104295
client,78880
server,103910
client,78986
server,104671
client,79639
server,105324
client,78872
server,103970
client,78571
server,104267
client,78960
server,104742
client,79297
server,104551
server,104470
client,78584
client,78346
server,104149
client,78501
server,104383
client,78864
server,103821
server,104769
client,79068
client,78568
server,104445
client,78582
server,103623
client,78697
server,104378
client,79059
server,104788
client,79141
server,104942
client,78680
server,104328
client,78787
server,104504
client,78639
server,104766
client,79365
server,105038
client,78712
server,104387
client,78632
server,104341
client,78616
server,103718
client,78582
server,103679
client,79056
server,104727
client,78568
server,104258
client,78899
server,104553
client,78846
server,104701
client,79088
server,104917
client,78910
server,104347
client,78357
server,103397
client,78871
server,104529
client,78801
server,103869
client,78806
server,104012
client,78599
server,104397
client,78763
server,104918
client,78638
server,103582
client,78731
server,104627
client,79717
server,105534
client,78574
server,104314
client,79291
server,105122
client,78619
server,104365
client,78569
server,104287
client,78585
server,104278
client,78785
server,104442
client,78654
server,104415
client,79991
server,105415
client,78411
server,103485
client,79120
server,104294
client,79270
server,105150
client,78601
server,104548
client,78471
server,103581
client,78785
server,104799
client,78563
server,104238
client,78579
server,104235
client,78620
server,104474
client,78679
server,104420
client,79356
server,105019
client,79036
server,104068
client,79270
server,105007
client,79110
server,104936
server,104494
client,78730
client,78533
server,103564
client,78813
server,104517
client,78293
server,103932
client,78560
server,104235
client,78666
server,103757
client,78498
server,104266
client,78748
server,104407
client,78629
server,104747
client,79039
server,104175
client,78607
server,103816
client,78496
server,104327
client,78516
server,104238
client,79045
server,104790
client,79384
server,105284
client,78861
server,104534
client,78333
server,104025
client,79033
server,104711
client,79380
server,105107
client,80841
server,106591
client,78822
server,103900
client,80504
server,105839
client,78681
server,103829
client,78573
server,103594
client,78610
server,103659
server,104126
client,78879
client,78443
server,104206
client,78783
server,104007
client,78613
server,103706
client,78673
server,104325
client,79436
server,104692
client,78408
server,103608
client,78009
server,103837
client,78693
server,103890
client,79624
server,105340
client,78494
server,103554
client,78450
server,103571
client,78320
server,103331
client,78352
server,104393
client,78271
server,104062
client,78778
server,104529
client,79061
server,104824
client,78908
server,104750
client,80293
server,106063
client,78617
server,103731
client,78639
server,103617
client,78798
server,104681
client,79416
server,105129
client,78448
server,103934
client,78338
server,103896
client,78217
server,104009
client,79587
server,105462
client,79286
server,106139
client,79083
server,105023
client,79456
server,105278
client,79588
server,105405
client,80024
server,105174
client,79370
server,105032
client,78683
server,104387
client,78817
server,103906
server,104327
client,79254
client,79429
server,105269
client,78444
server,104288
client,78191
server,104487
client,79274
server,105007
client,79316
server,105008
client,78807
server,103805
client,78387
server,103341
client,78528
server,103856
client,79239
server,105026
client,78524
server,104316
client,78544
server,104345
client,78428
server,104133
client,79009
server,105080
client,78580
server,104515
client,79116
server,105077
client,78519
server,104646
client,80507
server,105747
client,78663
server,103851
client,79425
server,105380
client,78824
server,104048
client,78650
server,104469
client,79661
server,105368
client,78827
server,103886
client,78753
server,104517
client,79418
server,105622
client,78647
server,104460
client,79204
server,104657
server,104276
client,78570
client,78207
server,103280
client,78629
server,104398
client,78464
server,104454
client,78788
server,104839
client,79390
server,105594
server,106731
client,80212
client,78273
server,105604
client,78719
server,105576
client,78925
server,104931
client,79521
server,105045
client,79330
server,104576
client,78856
server,104067
client,78502
server,104396
client,79783
server,106054
client,79375
server,105454
client,80947
server,106490
client,80469
server,106334
client,79229
server,105000
client,80151
server,105236
client,79350
server,105060
client,79389
server,105066
client,79179
server,104573
client,79200
server,104872
client,79235
server,104897
client,78791
server,104494
client,79343
server,104355
client,79489
server,105300
client,78718
server,103917
client,78345
server,104212
client,78933
server,104915
client,79042
server,104140
client,78480
server,104181
client,78618
server,104078
client,77976
server,103151
server,103808
client,78737
client,78534
server,104273
client,79018
server,103970
client,78222
server,104028
client,78831
server,104113
client,79334
server,104517
client,78467
server,103475
client,78554
server,103628
client,78440
server,103453
client,79670
server,105337
client,81209
server,106934
client,78474
server,104285
client,78780
server,104612
client,78512
server,104689
client,78706
server,103885
client,78831
server,104030
client,78795
server,104576
client,78845
server,104684
client,78621
server,104530
client,79188
server,104249
client,78240
server,103271
client,79467
server,105235
client,79183
server,104863
client,78575
server,104341
client,78414
server,104166
client,78842
server,104573
client,78778
server,103858
client,78764
server,104466
client,78878
server,103946
client,79058
server,104200
client,78357
server,104545
client,78335
server,104063
client,78355
server,104069
client,78944
server,104095
client,78395
server,103522
client,78586
server,104515
client,78581
server,103774
server,104496
client,78589
client,78677
server,104381
client,79110
server,104181
client,78795
server,104490
client,78800
server,104522
client,78430
server,103421
server,104168
client,79037
client,79387
server,105059
client,79057
server,106171
client,80184
server,105956
client,79113
server,104628
client,79011
server,104213
client,78649
server,103651
client,78251
server,103931
client,78255
server,103311
client,78495
server,104228
client,79188
server,104219
client,78961
server,104794
client,78602
server,104400
client,79259
server,105038
client,78931
server,104778
client,78668
server,104573
client,79086
server,104178
client,79794
server,105728
client,79275
server,104392
client,79274
server,104441
client,78858
server,104050
server,103950
client,78398
client,77932
server,103684
client,78602
server,104325
client,79185
server,104967
client,78669
server,104484
client,79046
server,104787
client,78760
server,104670
client,78665
server,104329
client,78841
