endpoint,operation,msglen,time
client,digest,8192,40
server,verify,8192,44
server,digest,8192,40
client,verify,8192,43
client,digest,8192,40
server,verify,8192,43
server,digest,8192,42
client,verify,8192,44
client,digest,8192,43
server,verify,8192,68
server,digest,8192,40
client,verify,8192,42
client,digest,8192,40
server,verify,8192,42
server,digest,8192,48
client,verify,8192,43
client,digest,8192,40
server,verify,8192,43
server,digest,8192,40
client,verify,8192,44
client,digest,16384,91
server,verify,16384,82
server,digest,16384,76
client,verify,16384,81
client,digest,16384,96
server,verify,16384,97
server,digest,16384,75
client,verify,16384,79
client,digest,16384,81
server,verify,16384,80
server,digest,16384,80
client,verify,16384,81
client,digest,16384,76
server,verify,16384,81
server,digest,16384,125
client,verify,16384,82
client,digest,16384,76
server,verify,16384,81
server,digest,16384,119
client,verify,16384,84
