endpoint,keylen,time
client,192,182394
server,192,244149
client,192,186354
server,192,247945
client,192,183959
server,192,245191
client,192,184003
server,192,244342
client,192,187044
server,192,249132
client,224,185288
server,224,246493
server,224,248023
client,224,186307
client,224,187074
server,224,248313
server,224,253715
client,224,191809
client,224,185127
server,224,245576
client,384,184335
server,384,246308
client,384,185975
server,384,248031
client,384,184429
server,384,246390
client,384,201066
server,384,262764
client,384,185176
server,384,247130
client,521,188050
server,521,250283
server,521,248801
client,521,187782
client,521,186169
server,521,246996
client,521,187499
server,521,248599
client,521,183942
server,521,245464
