endpoint,keylen,time
client,192,177335
server,192,236800
client,192,178926
server,192,239367
client,192,178404
server,192,237654
client,192,179770
server,192,240311
client,192,179044
server,192,238739
client,192,181515
server,192,241078
client,192,181830
server,192,241192
client,192,181507
server,192,242351
client,192,181879
server,192,243133
server,192,240007
client,192,180276
server,192,240587
client,192,181088
client,192,183240
server,192,243527
client,192,179773
server,192,239836
server,192,240755
client,192,180498
client,192,179943
server,192,240907
client,192,180640
server,192,241707
server,192,242736
client,192,182366
client,192,181391
server,192,241027
client,192,179409
server,192,239063
client,192,180346
server,192,239886
client,192,179707
server,192,239542
server,192,241002
client,192,181262
client,192,180003
server,192,239853
client,192,181336
server,192,240977
client,192,179329
server,192,239657
client,192,180346
server,192,240117
client,192,180388
server,192,240749
client,192,180130
server,192,239470
client,192,181109
server,192,242647
server,192,242121
client,192,181922
client,192,179975
server,192,239562
server,192,239545
client,192,179899
client,192,178716
server,192,238188
client,192,181351
server,192,241052
client,192,179202
server,192,238627
client,192,179368
server,192,239248
client,192,179431
server,192,239160
client,192,179169
server,192,238633
client,192,179394
server,192,238840
client,192,179451
server,192,238927
client,192,180738
server,192,240110
client,192,180376
server,192,239576
server,192,238206
client,192,179059
client,192,179939
server,192,239458
client,192,180554
server,192,239848
server,192,239979
client,192,180335
client,192,179253
server,192,238784
server,192,237218
client,192,177775
client,192,179023
server,192,238963
client,192,180593
server,192,240231
client,192,179169
server,192,238412
server,192,240468
client,192,180622
client,192,181282
server,192,240669
client,192,180573
server,192,240128
client,192,180586
server,192,240317
client,192,179052
server,192,238785
client,192,179457
server,192,239104
client,192,182244
server,192,242245
client,192,179163
server,192,238727
client,192,180350
server,192,240268
client,192,178862
server,192,238447
client,192,177876
server,192,237655
client,192,181743
server,192,241465
server,192,240525
client,192,180158
client,192,179379
server,192,238949
client,192,179359
server,192,239735
client,192,181150
server,192,240727
client,192,178617
server,192,238982
client,192,180487
server,192,239866
client,192,181743
server,192,241804
client,192,178009
server,192,237799
client,192,178981
server,192,237575
client,192,178441
server,192,238490
client,192,181066
server,192,241287
client,192,179620
server,192,239013
client,192,178166
server,192,238185
client,192,178953
server,192,238747
client,192,180881
server,192,240671
client,192,180078
server,192,239990
client,192,180237
server,192,240619
client,192,180091
server,192,239591
client,192,179966
server,192,239389
client,192,179319
server,192,239062
client,192,178320
server,192,238079
client,192,179699
server,192,239469
client,192,179681
server,192,239344
client,192,180568
server,192,240576
client,192,181092
server,192,241221
client,192,180370
server,192,240086
client,192,180911
server,192,240464
client,192,181453
server,192,241334
client,192,180239
server,192,240227
client,192,181900
server,192,241481
client,192,180771
server,192,240508
client,192,181138
server,192,241105
client,192,179565
server,192,239484
client,192,179524
server,192,238909
client,192,180782
server,192,240251
client,192,179275
server,192,239141
client,192,179419
server,192,238986
client,192,180806
server,192,240741
client,192,181268
server,192,241007
client,192,181991
server,192,241686
client,192,179281
server,192,238491
client,192,180805
server,192,240474
client,192,179492
server,192,239170
client,192,179437
server,192,239044
client,192,180965
server,192,240630
client,192,181019
server,192,240622
client,192,181422
server,192,240968
client,192,181357
server,192,240746
client,192,181483
server,192,241105
client,192,180898
server,192,240829
client,192,179565
server,192,239290
client,192,181837
server,192,241380
client,192,183766
server,192,243619
client,192,180923
server,192,240562
client,192,179962
server,192,239716
client,192,181917
server,192,241394
client,192,181866
server,192,241868
client,192,183132
server,192,242956
client,192,182417
server,192,241970
client,192,182131
server,192,242052
client,192,180391
server,192,240066
client,192,179680
server,192,239473
client,192,182425
server,192,242008
client,192,181187
server,192,241046
client,192,181721
server,192,241399
client,192,181658
server,192,241494
client,192,180733
server,192,240133
client,192,182092
server,192,241876
client,192,185678
server,192,247475
client,192,180662
server,192,240395
client,192,180096
server,192,239979
client,192,180857
server,192,240623
client,192,180835
server,192,240945
client,192,181145
server,192,241259
client,192,179773
server,192,239836
client,192,181073
server,192,240568
client,192,182591
server,192,242500
client,192,180956
server,192,240614
client,192,180766
server,192,240926
server,192,241814
client,192,181500
client,192,180502
server,192,240628
client,192,180554
server,192,240500
client,192,180669
server,192,240826
client,192,181246
server,192,241001
client,192,179917
server,192,239186
client,192,180709
server,192,239937
client,192,179575
server,192,239417
client,192,179681
server,192,239192
client,192,181325
server,192,240750
client,192,180605
server,192,240138
client,192,179175
server,192,238845
server,192,239914
client,192,180147
client,192,182772
server,192,241063
server,192,240024
client,192,179772
client,192,180323
server,192,240273
client,192,180967
server,192,240732
client,192,179851
server,192,239750
client,192,179883
server,192,239641
client,192,180235
server,192,239935
client,192,178221
server,192,238088
client,192,179899
server,192,239676
client,192,181237
