endpoint,min_input,max_input,cycles,time
server,32,8192,392873209,151512
client,32,8192,401082647,154679
server,32,8192,403525253,155621
client,32,8192,400354014,154399
server,32,8192,226270366,87263
client,32,8192,420068593,162002
server,32,8192,72132074,27819
client,32,8192,544763370,210091
server,32,8192,224945343,86751
client,32,8192,404842497,156129
server,32,8192,261672595,100917
client,32,8192,411345741,158637
server,32,8192,223399915,86157
client,32,8192,411029395,158515
server,32,8192,413350130,159410
client,32,8192,421217292,162444
server,32,8192,219834540,84781
client,32,8192,411335369,158634
server,32,8192,350778447,135280
client,32,8192,415193753,160121
server,32,8192,215123059,82963
client,32,8192,94867498,36588
server,32,8192,414664781,159917
client,32,8192,412406278,159046
client,32,8192,399926169,154232
server,32,8192,407832226,157281
server,32,8192,414830733,159982
client,32,8192,419103997,161630
server,32,8192,390762507,150701
client,32,8192,408050038,157366
server,32,8192,408078561,157377
client,32,8192,421331384,162489
server,32,8192,447453266,172562
client,32,8192,428781073,165361
server,32,8192,420934655,162336
client,32,8192,397447261,153277
server,32,8192,222067113,85642
client,32,8192,420807598,162287
server,32,8192,404004958,155808
client,32,8192,419474796,161772
server,32,8192,212921602,82116
client,32,8192,414576619,159884
client,32,8192,415092626,160082
server,32,8192,388537713,149840
server,32,8192,311644891,120189
client,32,8192,407847784,157289
server,32,8192,259678578,100147
client,32,8192,412787449,159193
server,32,8192,216813695,83616
client,32,8192,408265257,157450
server,32,8192,224299686,86503
client,32,8192,413943927,159640
server,32,8192,218517296,84274
client,32,8192,411711354,158779
server,32,8192,218239845,84167
client,32,8192,418154959,161264
server,32,8192,226516701,87357
client,32,8192,418406480,161360
server,32,8192,232242045,89566
client,32,8192,417161840,160880
server,32,8192,420291591,162088
client,32,8192,411314625,158626
server,32,8192,214438507,82699
client,32,8192,409572129,157953
server,32,8192,417753044,161109
client,32,8192,409509897,157928
server,32,8192,213530957,82350
client,32,8192,426750754,164579
server,32,8192,216896671,83648
client,32,8192,419039172,161604
server,32,8192,265136843,102252
client,32,8192,413982822,159654
server,32,8192,297354868,114676
client,32,8192,413469408,159456
server,32,8192,416570636,160653
client,32,8192,417864543,161152
server,32,8192,278633408,107456
client,32,8192,411070883,158531
server,32,8192,231580830,89313
client,32,8192,402309136,155151
server,32,8192,221730023,85511
client,32,8192,408244513,157441
client,32,8192,402192451,155107
server,32,8192,401772385,154945
client,32,8192,610075854,235278
server,32,8192,199310945,76865
server,32,8192,277694742,107096
client,32,8192,418940638,161567
server,32,8192,259546335,100096
client,32,8192,411387229,158653
server,32,8192,416666577,160689
client,32,8192,405755233,156481
server,32,8192,220073096,84874
client,32,8192,416503218,160626
server,32,8192,222271960,85721
client,32,8192,408309338,157467
server,32,8192,222142310,85671
client,32,8192,414833326,159983
server,32,8192,214897468,82876
client,32,8192,412748554,159178
server,32,8192,214109196,82572
client,32,8192,410526353,158321
server,32,8192,394361591,152088
client,32,8192,414120251,159707
server,32,8192,383201319,147783
client,32,8192,411055325,158526
server,32,8192,387969846,149623
client,32,8192,420377160,162121
server,32,8192,405654106,156442
client,32,8192,420374567,162120
server,32,8192,387254178,149346
client,32,8192,399625381,154116
server,32,8192,381298057,147050
client,32,8192,416874017,160770
server,32,8192,402589180,155261
client,32,8192,410101101,158157
server,32,8192,406009347,156579
client,32,8192,411939538,158866
server,32,8192,406776875,156875
client,32,8192,418948417,161570
server,32,8192,405309237,156310
client,32,8192,409237632,157824
server,32,8192,386224757,148951
client,32,8192,409802906,158042
server,32,8192,401985011,155028
client,32,8192,419415157,161750
server,32,8192,397260565,153205
client,32,8192,414952604,160028
server,32,8192,379057705,146185
client,32,8192,409657698,157986
server,32,8192,397353913,153242
client,32,8192,399677241,154138
server,32,8192,393070277,151591
