endpoint,operation,msglen,time
client,encrypt,256,6
server,decrypt,256,20
server,encrypt,256,7
client,decrypt,256,8
client,encrypt,256,8
server,decrypt,256,16
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,8
server,decrypt,256,9
server,encrypt,256,8
client,decrypt,256,9
client,encrypt,256,7
server,decrypt,256,9
server,encrypt,256,9
client,decrypt,256,8
client,encrypt,256,12
server,decrypt,256,9
server,encrypt,256,8
client,decrypt,256,14
client,encrypt,512,19
server,decrypt,512,13
server,encrypt,512,12
client,decrypt,512,13
client,encrypt,512,11
server,decrypt,512,24
server,encrypt,512,12
client,decrypt,512,33
client,encrypt,512,12
server,decrypt,512,13
server,encrypt,512,12
client,decrypt,512,13
client,encrypt,512,12
server,decrypt,512,14
server,encrypt,512,13
client,decrypt,512,13
client,encrypt,512,12
server,decrypt,512,22
server,encrypt,512,13
client,decrypt,512,13
client,encrypt,1024,20
server,decrypt,1024,88
server,encrypt,1024,21
client,decrypt,1024,22
client,encrypt,1024,21
server,decrypt,1024,22
server,encrypt,1024,20
client,decrypt,1024,39
client,encrypt,1024,21
server,decrypt,1024,37
server,encrypt,1024,21
client,decrypt,1024,21
client,encrypt,1024,21
server,decrypt,1024,22
server,encrypt,1024,22
client,decrypt,1024,22
client,encrypt,1024,21
server,decrypt,1024,41
server,encrypt,1024,21
client,decrypt,1024,22
client,encrypt,2048,38
server,decrypt,2048,40
server,encrypt,2048,39
client,decrypt,2048,41
client,encrypt,2048,39
server,decrypt,2048,59
server,encrypt,2048,38
client,decrypt,2048,57
client,encrypt,2048,39
server,decrypt,2048,57
server,encrypt,2048,38
client,decrypt,2048,38
client,encrypt,2048,39
server,decrypt,2048,40
server,encrypt,2048,39
client,decrypt,2048,48
client,encrypt,2048,39
server,decrypt,2048,40
server,encrypt,2048,39
client,decrypt,2048,47
