operation,msglen,cycles,time
encrypt,512,25930,9
decrypt,512,28523,10
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,28523,10
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,25930,9
decrypt,512,93348,36
encrypt,512,23337,10
decrypt,512,25930,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,28523,10
encrypt,512,25930,10
decrypt,512,28523,10
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,25930,9
decrypt,512,28523,10
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,23337,10
decrypt,512,28523,10
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,25930,9
decrypt,512,25930,10
encrypt,512,23337,9
decrypt,512,28523,10
encrypt,512,23337,10
decrypt,512,28523,10
encrypt,512,23337,10
decrypt,512,25930,10
encrypt,512,23337,9
decrypt,512,25930,10
encrypt,512,23337,9
decrypt,512,25930,10
encrypt,512,23337,10
decrypt,512,28523,10
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,70011,27
decrypt,1024,46674,17
encrypt,1024,41488,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,49267,18
encrypt,1024,44081,18
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,49267,18
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,49267,18
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,41488,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,49267,18
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,119278,46
encrypt,1024,44081,17
decrypt,1024,46674,18
encrypt,1024,44081,17
decrypt,1024,49267,18
encrypt,1024,44081,17
decrypt,1024,49267,18
encrypt,1024,44081,18
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,1024,44081,17
decrypt,1024,46674,17
encrypt,2048,85569,33
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,111499,44
encrypt,2048,85569,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,85569,32
decrypt,2048,85569,33
encrypt,2048,85569,32
decrypt,2048,90755,34
encrypt,2048,85569,33
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,33
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,85569,33
decrypt,2048,111499,43
encrypt,2048,85569,33
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,160766,62
encrypt,2048,85569,32
decrypt,2048,85569,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,88162,33
encrypt,2048,82976,32
decrypt,2048,85569,32
encrypt,2048,82976,32
decrypt,2048,90755,34
encrypt,2048,82976,32
decrypt,2048,111499,43
encrypt,2048,82976,32
decrypt,2048,85569,33
encrypt,2048,85569,32
decrypt,2048,326718,125
