sec_lvl,test_id,operation,time
1,0,parse_server_psk_hint,3
1,0,parse_server_ecdh_params,13
1,0,ecdh_make_public,10238
1,0,ecdh_calc_secret,9879
1,0,psk_derive_premaster,1
1,1,parse_server_psk_hint,3
1,1,parse_server_ecdh_params,5
1,1,ecdh_make_public,10397
1,1,ecdh_calc_secret,10682
1,1,psk_derive_premaster,1
1,2,parse_server_psk_hint,2
1,2,parse_server_ecdh_params,4
1,2,ecdh_make_public,10149
1,2,ecdh_calc_secret,10055
1,2,psk_derive_premaster,1
1,3,parse_server_psk_hint,2
1,3,parse_server_ecdh_params,5
1,3,ecdh_make_public,10056
1,3,ecdh_calc_secret,10393
1,3,psk_derive_premaster,1
1,4,parse_server_psk_hint,2
1,4,parse_server_ecdh_params,5
1,4,ecdh_make_public,9788
1,4,ecdh_calc_secret,10319
1,4,psk_derive_premaster,1
1,5,parse_server_psk_hint,2
1,5,parse_server_ecdh_params,5
1,5,ecdh_make_public,9936
1,5,ecdh_calc_secret,10015
1,5,psk_derive_premaster,1
1,6,parse_server_psk_hint,5
1,6,parse_server_ecdh_params,6
1,6,ecdh_make_public,10386
1,6,ecdh_calc_secret,10323
1,6,psk_derive_premaster,1
1,7,parse_server_psk_hint,3
1,7,parse_server_ecdh_params,5
1,7,ecdh_make_public,11464
1,7,ecdh_calc_secret,13871
1,7,psk_derive_premaster,1
1,8,parse_server_psk_hint,3
1,8,parse_server_ecdh_params,5
1,8,ecdh_make_public,10999
1,8,ecdh_calc_secret,11731
1,8,psk_derive_premaster,1
1,9,parse_server_psk_hint,2
1,9,parse_server_ecdh_params,5
1,9,ecdh_make_public,10356
1,9,ecdh_calc_secret,10088
1,9,psk_derive_premaster,1
1,10,parse_server_psk_hint,3
1,10,parse_server_ecdh_params,6
1,10,ecdh_make_public,10243
1,10,ecdh_calc_secret,9617
1,10,psk_derive_premaster,1
1,11,parse_server_psk_hint,4
1,11,parse_server_ecdh_params,6
1,11,ecdh_make_public,13466
1,11,ecdh_calc_secret,12172
1,11,psk_derive_premaster,1
1,12,parse_server_psk_hint,2
1,12,parse_server_ecdh_params,5
1,12,ecdh_make_public,10353
1,12,ecdh_calc_secret,9903
1,12,psk_derive_premaster,1
1,13,parse_server_psk_hint,2
1,13,parse_server_ecdh_params,6
1,13,ecdh_make_public,10244
1,13,ecdh_calc_secret,10356
1,13,psk_derive_premaster,1
1,14,parse_server_psk_hint,2
1,14,parse_server_ecdh_params,5
1,14,ecdh_make_public,9865
1,14,ecdh_calc_secret,10243
1,14,psk_derive_premaster,1
1,15,parse_server_psk_hint,2
