endpoint,time
server,80297
server,105985
server,106107
server,79974
server,105229
server,79763
server,104373
server,78854
server,104884
server,79390
server,104689
server,79167
server,79751
server,105227
server,104386
server,78896
server,104886
server,79283
server,104790
server,79073
server,104873
server,79330
server,79402
server,104896
server,79145
server,104615
server,104250
server,78741
server,79564
server,105173
server,105107
server,79051
server,104746
server,79198
server,79285
server,104788
server,104575
server,79110
server,79069
server,104568
server,104508
server,79056
server,78994
server,104602
server,104044
server,79204
server,103877
server,78614
server,103793
server,78925
server,103579
server,78711
server,104340
server,78858
server,104661
server,79152
server,104879
server,79287
server,104382
server,78883
server,79211
server,104725
server,78840
server,104394
server,79036
server,104526
server,79351
server,104890
server,79098
server,104568
server,103750
server,79027
server,103999
server,79128
server,79023
server,104782
server,78949
server,104365
server,104089
server,79219
server,78872
server,104390
server,78969
server,104763
server,104872
server,79406
server,80296
server,105798
server,104779
server,79268
server,104688
server,79106
server,104744
server,79135
server,79391
server,104828
server,78901
server,104419
server,78986
server,104464
server,104289
server,79457
server,104294
server,79313
server,103533
server,78718
server,103777
server,78962
server,79173
server,104770
server,79083
server,104788
server,78921
server,104494
server,79007
server,104484
server,104564
server,79023
server,104604
server,79149
server,105095
server,79581
server,104373
server,78867
server,104971
server,79446
server,104664
server,79134
server,79074
server,104541
server,106055
server,80509
server,104689
server,79132
server,104610
server,79097
server,104800
server,79352
server,104852
server,79424
server,79438
server,104852
server,103607
server,78701
server,78913
server,104495
server,79037
server,104547
server,78512
server,104000
server,103819
server,78947
server,104286
server,78787
server,104673
server,79082
server,104248
server,79429
server,104047
server,78611
server,104600
server,79107
server,79035
server,104560
server,79049
server,104521
server,104660
server,79139
server,104795
server,79266
server,104394
server,78949
server,104380
server,79496
server,104440
server,78853
server,104717
server,79194
server,104919
server,79341
server,79750
server,105285
server,104758
server,79195
server,105673
server,80109
server,104589
server,79841
server,103651
server,78692
server,103698
server,78864
server,103639
server,78566
server,103966
server,79101
server,104476
server,79042
server,104693
server,79202
server,79262
server,104829
server,104410
server,78883
server,104410
server,78863
server,104941
server,79468
server,104586
server,79063
server,104631
server,79737
server,104051
server,79170
server,104290
server,78781
server,104324
server,79459
server,104546
server,79061
server,105041
server,79527
server,104710
server,79220
server,105069
server,79549
server,105346
server,79820
server,105491
server,79743
server,105052
server,79545
server,105030
server,79551
server,104514
server,79016
server,104412
server,78970
server,104735
server,79241
server,104344
server,78813
server,104750
server,79211
server,105089
server,79579
server,104431
server,78953
server,104618
server,79043
server,104533
server,79084
