endpoint,min_input,max_input,time
server,32,8192,108763
client,32,8192,109229
server,32,8192,108528
client,32,8192,108876
server,32,8192,106555
client,32,8192,106829
server,32,8192,106765
client,32,8192,107002
server,32,8192,108127
client,32,8192,108427
server,32,8192,107631
client,32,8192,107956
server,32,8192,114170
client,32,8192,114531
server,32,8192,107112
client,32,8192,107406
server,32,8192,106458
client,32,8192,106760
server,32,8192,108222
client,32,8192,108549
server,32,8192,106646
client,32,8192,106957
server,32,8192,106368
client,32,8192,106628
server,32,8192,106969
client,32,8192,107261
server,32,8192,107770
client,32,8192,108078
server,32,8192,107476
client,32,8192,107734
server,32,8192,107490
client,32,8192,107787
server,32,8192,106505
client,32,8192,106833
server,32,8192,107318
client,32,8192,107661
server,32,8192,107062
client,32,8192,107364
server,32,8192,106965
client,32,8192,107264
server,32,8192,106218
client,32,8192,106541
client,32,8192,108098
server,32,8192,107803
server,32,8192,107195
client,32,8192,107527
server,32,8192,112818
client,32,8192,113112
server,32,8192,107970
client,32,8192,108300
server,32,8192,109450
client,32,8192,109708
server,32,8192,106274
client,32,8192,106601
server,32,8192,106780
client,32,8192,107086
server,32,8192,107256
client,32,8192,107516
server,32,8192,106619
client,32,8192,106871
server,32,8192,106605
client,32,8192,106876
server,32,8192,106963
client,32,8192,107288
server,32,8192,107966
client,32,8192,108286
server,32,8192,107061
client,32,8192,107382
server,32,8192,106256
client,32,8192,106546
server,32,8192,108054
client,32,8192,108427
server,32,8192,107199
client,32,8192,107518
server,32,8192,106487
client,32,8192,106801
server,32,8192,107695
client,32,8192,107984
server,32,8192,107162
client,32,8192,107460
server,32,8192,118809
client,32,8192,119124
server,32,8192,107031
client,32,8192,107298
server,32,8192,106447
client,32,8192,106718
server,32,8192,107506
client,32,8192,107810
server,32,8192,108212
client,32,8192,108465
server,32,8192,107356
client,32,8192,107661
server,32,8192,106661
client,32,8192,107017
server,32,8192,106842
client,32,8192,107108
server,32,8192,106658
client,32,8192,106872
server,32,8192,107640
client,32,8192,107877
server,32,8192,109354
client,32,8192,109609
server,32,8192,106411
client,32,8192,106741
server,32,8192,106480
client,32,8192,106759
server,32,8192,106607
client,32,8192,106850
server,32,8192,108444
client,32,8192,108739
server,32,8192,107305
client,32,8192,107651
server,32,8192,106806
client,32,8192,107075
server,32,8192,113089
client,32,8192,113376
server,32,8192,106679
client,32,8192,106998
server,32,8192,108241
client,32,8192,108589
server,32,8192,106308
client,32,8192,106594
server,32,8192,106723
client,32,8192,106987
server,32,8192,106105
client,32,8192,106463
server,32,8192,107104
client,32,8192,107395
server,32,8192,108011
client,32,8192,108265
server,32,8192,107760
client,32,8192,108085
server,32,8192,106789
client,32,8192,107071
server,32,8192,106469
client,32,8192,106767
server,32,8192,106749
client,32,8192,107031
server,32,8192,107448
client,32,8192,107732
server,32,8192,106821
client,32,8192,107160
server,32,8192,106882
client,32,8192,107167
server,32,8192,108045
client,32,8192,108346
server,32,8192,108118
client,32,8192,108452
server,32,8192,114077
client,32,8192,114361
server,32,8192,106986
client,32,8192,107264
server,32,8192,106224
client,32,8192,106494
server,32,8192,106700
client,32,8192,106931
server,32,8192,107060
client,32,8192,107384
