sec_lvl,test_id,time
1,0,32
1,0,1
1,0,19
1,0,12252
1,0,2
1,0,2
1,0,10162
1,1,2
1,1,1
1,1,14
1,1,10082
1,1,18
1,1,1
1,1,10616
1,2,2
1,2,2
1,2,14
1,2,11527
1,2,2
1,2,2
1,2,10079
1,3,2
1,3,1
1,3,15
1,3,10235
1,3,17
1,3,1
1,3,10241
1,4,2
1,4,0
1,4,14
1,4,10271
1,4,2
1,4,4
1,4,10291
1,5,2
1,5,0
1,5,14
1,5,10226
1,5,1
1,5,1
1,5,9848
1,6,2
1,6,1
1,6,15
1,6,10181
1,6,1
1,6,1
1,6,10140
1,7,19
1,7,1
1,7,15
1,7,10081
1,7,1
1,7,1
1,7,10548
1,8,2
1,8,1
1,8,13
1,8,10272
1,8,2
1,8,1
1,8,9872
1,9,2
1,9,1
1,9,14
1,9,10132
1,9,17
1,9,1
1,9,9861
1,10,2
1,10,1
1,10,15
1,10,10273
1,10,1
1,10,1
1,10,9859
1,11,1
1,11,1
1,11,15
1,11,10245
1,11,17
1,11,1
1,11,9868
1,12,2
1,12,1
1,12,14
1,12,10424
1,12,1
1,12,1
1,12,9899
1,13,2
1,13,1
1,13,15
1,13,10252
1,13,2
1,13,1
1,13,9861
1,14,16
1,14,1
1,14,14
1,14,10071
1,14,17
1,14,1
1,14,10060
1,15,2
1,15,0
1,15,15
1,15,10073
1,15,18
1,15,1
1,15,9900
1,16,8
1,16,1
1,16,14
1,16,10162
1,16,17
1,16,1
1,16,9944
1,17,2
1,17,1
1,17,15
1,17,10136
1,17,17
1,17,1
1,17,9917
1,18,2
1,18,1
1,18,15
1,18,10300
1,18,16
1,18,1
1,18,9878
1,19,2
1,19,1
1,19,14
1,19,10668
1,19,1
1,19,2
1,19,9946
1,20,1
1,20,1
1,20,14
1,20,10209
1,20,1
1,20,2
1,20,9925
1,21,2
1,21,1
1,21,14
1,21,10407
1,21,2
1,21,2
1,21,10019
1,22,2
1,22,1
1,22,15
1,22,10063
1,22,1
1,22,2
1,22,9978
1,23,2
1,23,1
1,23,15
1,23,10151
1,23,17
1,23,1
1,23,9845
1,24,2
1,24,1
1,24,14
1,24,10001
1,24,18
1,24,1
1,24,9874
1,25,2
1,25,1
1,25,14
1,25,10272
1,25,2
1,25,1
1,25,9908
1,26,2
1,26,1
1,26,14
1,26,10331
1,26,1
1,26,2
1,26,10026
1,27,2
1,27,1
1,27,14
1,27,10676
1,27,16
1,27,1
1,27,9844
1,28,2
1,28,1
1,28,14
1,28,11104
1,28,17
1,28,1
1,28,9960
1,29,2
1,29,4
1,29,14
1,29,10129
1,29,18
1,29,2
1,29,9879
1,30,3
1,30,1
1,30,15
1,30,10257
1,30,2
1,30,2
1,30,9889
1,31,1
1,31,1
1,31,14
1,31,10008
1,31,1
1,31,1
1,31,9892
1,32,2
1,32,1
1,32,15
1,32,10200
1,32,17
1,32,1
1,32,10352
1,33,2
1,33,1
1,33,14
1,33,10224
1,33,17
1,33,1
1,33,9924
1,34,3
1,34,6
1,34,25
1,34,10322
