sec_lvl,test_id,operation,time
1,0,ecdh_setup,19
1,0,ecdh_make_params,10827
1,0,parse_client_psk_identity,5
1,0,ecdh_read_public,7
1,0,ecdh_calc_secret,10703
1,0,psk_derive_premaster,4
1,1,ecdh_setup,3
1,1,ecdh_make_params,13489
1,1,parse_client_psk_identity,5
1,1,ecdh_read_public,6
1,1,ecdh_calc_secret,10579
1,1,psk_derive_premaster,4
1,2,ecdh_setup,3
1,2,ecdh_make_params,10423
1,2,parse_client_psk_identity,5
1,2,ecdh_read_public,6
1,2,ecdh_calc_secret,10504
1,2,psk_derive_premaster,4
1,3,ecdh_setup,3
1,3,ecdh_make_params,11035
1,3,parse_client_psk_identity,5
1,3,ecdh_read_public,6
1,3,ecdh_calc_secret,10332
1,3,psk_derive_premaster,3
1,4,ecdh_setup,3
1,4,ecdh_make_params,10280
1,4,parse_client_psk_identity,5
1,4,ecdh_read_public,6
1,4,ecdh_calc_secret,10664
1,4,psk_derive_premaster,5
1,5,ecdh_setup,3
1,5,ecdh_make_params,10255
1,5,parse_client_psk_identity,6
1,5,ecdh_read_public,11
1,5,ecdh_calc_secret,10930
1,5,psk_derive_premaster,3
1,6,ecdh_setup,3
1,6,ecdh_make_params,11157
1,6,parse_client_psk_identity,5
1,6,ecdh_read_public,7
1,6,ecdh_calc_secret,10299
1,6,psk_derive_premaster,4
1,7,ecdh_setup,3
1,7,ecdh_make_params,10806
1,7,parse_client_psk_identity,5
1,7,ecdh_read_public,6
1,7,ecdh_calc_secret,10291
1,7,psk_derive_premaster,4
1,8,ecdh_setup,3
1,8,ecdh_make_params,10298
1,8,parse_client_psk_identity,5
1,8,ecdh_read_public,6
1,8,ecdh_calc_secret,10677
1,8,psk_derive_premaster,3
1,9,ecdh_setup,3
1,9,ecdh_make_params,10901
1,9,parse_client_psk_identity,6
1,9,ecdh_read_public,7
1,9,ecdh_calc_secret,10608
1,9,psk_derive_premaster,4
1,10,ecdh_setup,3
1,10,ecdh_make_params,10477
1,10,parse_client_psk_identity,4
1,10,ecdh_read_public,7
1,10,ecdh_calc_secret,11032
1,10,psk_derive_premaster,3
1,11,ecdh_setup,3
1,11,ecdh_make_params,11060
1,11,parse_client_psk_identity,5
1,11,ecdh_read_public,10
1,11,ecdh_calc_secret,9953
1,11,psk_derive_premaster,4
1,12,ecdh_setup,2
1,12,ecdh_make_params,10418
1,12,parse_client_psk_identity,5
1,12,ecdh_read_public,6
1,12,ecdh_calc_secret,10371
1,12,psk_derive_premaster,4
1,13,ecdh_setup,3
1,13,ecdh_make_params,10837
1,13,parse_client_psk_identity,8
1,13,ecdh_read_public,6
1,13,ecdh_calc_secret,10175
1,13,psk_derive_premaster,4
1,14,ecdh_setup,3
1,14,ecdh_make_params,10527
1,14,parse_client_psk_identity,7
1,14,ecdh_read_public,8
1,14,ecdh_calc_secret,11608
1,14,psk_derive_premaster,4
1,15,ecdh_setup,3
1,15,ecdh_make_params,10435
1,15,parse_client_psk_identity,5
1,15,ecdh_read_public,7
1,15,ecdh_calc_secret,10314
1,15,psk_derive_premaster,4
1,16,ecdh_setup,3
1,16,ecdh_make_params,10326
1,16,parse_client_psk_identity,6
1,16,ecdh_read_public,7
1,16,ecdh_calc_secret,10698
1,16,psk_derive_premaster,5
1,17,ecdh_setup,4
1,17,ecdh_make_params,10233
1,17,parse_client_psk_identity,5
1,17,ecdh_read_public,7
1,17,ecdh_calc_secret,10179
1,17,psk_derive_premaster,4
1,18,ecdh_setup,3
1,18,ecdh_make_params,10257
1,18,parse_client_psk_identity,5
1,18,ecdh_read_public,7
1,18,ecdh_calc_secret,10118
1,18,psk_derive_premaster,4
1,19,ecdh_setup,3
1,19,ecdh_make_params,10429
1,19,parse_client_psk_identity,7
1,19,ecdh_read_public,6
1,19,ecdh_calc_secret,10561
1,19,psk_derive_premaster,3
1,20,ecdh_setup,3
1,20,ecdh_make_params,10283
1,20,parse_client_psk_identity,4
1,20,ecdh_read_public,6
1,20,ecdh_calc_secret,10356
1,20,psk_derive_premaster,4
1,21,ecdh_setup,4
1,21,ecdh_make_params,11195
1,21,parse_client_psk_identity,5
1,21,ecdh_read_public,9
1,21,ecdh_calc_secret,17789
1,21,psk_derive_premaster,5
1,22,ecdh_setup,3
1,22,ecdh_make_params,10907
1,22,parse_client_psk_identity,5
1,22,ecdh_read_public,7
1,22,ecdh_calc_secret,10419
1,22,psk_derive_premaster,5
1,23,ecdh_setup,3
1,23,ecdh_make_params,13657
1,23,parse_client_psk_identity,6
1,23,ecdh_read_public,7
1,23,ecdh_calc_secret,10515
1,23,psk_derive_premaster,4
1,24,ecdh_setup,3
1,24,ecdh_make_params,10464
1,24,parse_client_psk_identity,5
1,24,ecdh_read_public,6
1,24,ecdh_calc_secret,10290
1,24,psk_derive_premaster,4
1,25,ecdh_setup,3
1,25,ecdh_make_params,11246
1,25,parse_client_psk_identity,4
1,25,ecdh_read_public,7
1,25,ecdh_calc_secret,10075
1,25,psk_derive_premaster,4
1,26,ecdh_setup,3
1,26,ecdh_make_params,10523
1,26,parse_client_psk_identity,5
1,26,ecdh_read_public,6
1,26,ecdh_calc_secret,10402
1,26,psk_derive_premaster,3
1,27,ecdh_setup,3
1,27,ecdh_make_params,10512
1,27,parse_client_psk_identity,5
1,27,ecdh_read_public,6
1,27,ecdh_calc_secret,10667
1,27,psk_derive_premaster,4
1,28,ecdh_setup,3
1,28,ecdh_make_params,10976
1,28,parse_client_psk_identity,5
1,28,ecdh_read_public,9
1,28,ecdh_calc_secret,10953
1,28,psk_derive_premaster,4
1,29,ecdh_setup,4
1,29,ecdh_make_params,10322
1,29,parse_client_psk_identity,5
1,29,ecdh_read_public,6
1,29,ecdh_calc_secret,10121
1,29,psk_derive_premaster,4
1,30,ecdh_setup,18
1,30,ecdh_make_params,10317
1,30,parse_client_psk_identity,5
1,30,ecdh_read_public,7
1,30,ecdh_calc_secret,10356
1,30,psk_derive_premaster,3
1,31,ecdh_setup,3
1,31,ecdh_make_params,10212
1,31,parse_client_psk_identity,5
1,31,ecdh_read_public,7
1,31,ecdh_calc_secret,10325
1,31,psk_derive_premaster,4
1,32,ecdh_setup,3
1,32,ecdh_make_params,10977
1,32,parse_client_psk_identity,5
1,32,ecdh_read_public,6
1,32,ecdh_calc_secret,10069
1,32,psk_derive_premaster,4
1,33,ecdh_setup,3
1,33,ecdh_make_params,10820
1,33,parse_client_psk_identity,7
1,33,ecdh_read_public,6
1,33,ecdh_calc_secret,10759
1,33,psk_derive_premaster,4
1,34,ecdh_setup,3
1,34,ecdh_make_params,10347
1,34,parse_client_psk_identity,4
1,34,ecdh_read_public,7
1,34,ecdh_calc_secret,10240
1,34,psk_derive_premaster,3
1,35,ecdh_setup,4
1,35,ecdh_make_params,10455
1,35,parse_client_psk_identity,5
1,35,ecdh_read_public,6
1,35,ecdh_calc_secret,10365
1,35,psk_derive_premaster,4
1,36,ecdh_setup,3
1,36,ecdh_make_params,10279
1,36,parse_client_psk_identity,4
1,36,ecdh_read_public,7
1,36,ecdh_calc_secret,10352
1,36,psk_derive_premaster,4
1,37,ecdh_setup,2
1,37,ecdh_make_params,10446
1,37,parse_client_psk_identity,4
1,37,ecdh_read_public,7
1,37,ecdh_calc_secret,10332
1,37,psk_derive_premaster,4
1,38,ecdh_setup,4
1,38,ecdh_make_params,10897
1,38,parse_client_psk_identity,5
1,38,ecdh_read_public,7
1,38,ecdh_calc_secret,10197
1,38,psk_derive_premaster,5
1,39,ecdh_setup,4
1,39,ecdh_make_params,10223
1,39,parse_client_psk_identity,6
1,39,ecdh_read_public,7
1,39,ecdh_calc_secret,10189
1,39,psk_derive_premaster,4
1,40,ecdh_setup,3
1,40,ecdh_make_params,10237
1,40,parse_client_psk_identity,5
1,40,ecdh_read_public,8
1,40,ecdh_calc_secret,10306
1,40,psk_derive_premaster,4
1,41,ecdh_setup,4
1,41,ecdh_make_params,10516
1,41,parse_client_psk_identity,8
1,41,ecdh_read_public,6
1,41,ecdh_calc_secret,12215
1,41,psk_derive_premaster,5
1,42,ecdh_setup,3
1,42,ecdh_make_params,10454
1,42,parse_client_psk_identity,5
1,42,ecdh_read_public,5
1,42,ecdh_calc_secret,10871
1,42,psk_derive_premaster,3
1,43,ecdh_setup,18
1,43,ecdh_make_params,10602
1,43,parse_client_psk_identity,6
1,43,ecdh_read_public,8
1,43,ecdh_calc_secret,10081
1,43,psk_derive_premaster,4
1,44,ecdh_setup,18
1,44,ecdh_make_params,10752
1,44,parse_client_psk_identity,7
1,44,ecdh_read_public,7
1,44,ecdh_calc_secret,10478
1,44,psk_derive_premaster,3
1,45,ecdh_setup,3
1,45,ecdh_make_params,11138
1,45,parse_client_psk_identity,4
1,45,ecdh_read_public,7
1,45,ecdh_calc_secret,10334
1,45,psk_derive_premaster,4
1,46,ecdh_setup,3
1,46,ecdh_make_params,10732
1,46,parse_client_psk_identity,5
1,46,ecdh_read_public,7
1,46,ecdh_calc_secret,11084
1,46,psk_derive_premaster,5
1,47,ecdh_setup,3
1,47,ecdh_make_params,10280
1,47,parse_client_psk_identity,5
1,47,ecdh_read_public,7
1,47,ecdh_calc_secret,10906
1,47,psk_derive_premaster,3
1,48,ecdh_setup,3
1,48,ecdh_make_params,10901
1,48,parse_client_psk_identity,5
1,48,ecdh_read_public,6
1,48,ecdh_calc_secret,10398
1,48,psk_derive_premaster,4
1,49,ecdh_setup,3
1,49,ecdh_make_params,10469
1,49,parse_client_psk_identity,6
1,49,ecdh_read_public,6
1,49,ecdh_calc_secret,12643
1,49,psk_derive_premaster,4
2,0,ecdh_setup,3
2,0,ecdh_make_params,13769
2,0,parse_client_psk_identity,5
2,0,ecdh_read_public,6
2,0,ecdh_calc_secret,11243
2,0,psk_derive_premaster,3
2,1,ecdh_setup,3
2,1,ecdh_make_params,11086
2,1,parse_client_psk_identity,7
2,1,ecdh_read_public,7
2,1,ecdh_calc_secret,11091
2,1,psk_derive_premaster,3
2,2,ecdh_setup,3
2,2,ecdh_make_params,10988
2,2,parse_client_psk_identity,5
2,2,ecdh_read_public,7
2,2,ecdh_calc_secret,10859
2,2,psk_derive_premaster,4
2,3,ecdh_setup,3
2,3,ecdh_make_params,11319
2,3,parse_client_psk_identity,5
2,3,ecdh_read_public,6
2,3,ecdh_calc_secret,10699
2,3,psk_derive_premaster,4
2,4,ecdh_setup,3
2,4,ecdh_make_params,11043
2,4,parse_client_psk_identity,6
2,4,ecdh_read_public,8
2,4,ecdh_calc_secret,10830
2,4,psk_derive_premaster,3
2,5,ecdh_setup,3
2,5,ecdh_make_params,11496
2,5,parse_client_psk_identity,6
2,5,ecdh_read_public,6
2,5,ecdh_calc_secret,11248
2,5,psk_derive_premaster,3
2,6,ecdh_setup,3
2,6,ecdh_make_params,10951
2,6,parse_client_psk_identity,4
2,6,ecdh_read_public,6
2,6,ecdh_calc_secret,11009
2,6,psk_derive_premaster,3
2,7,ecdh_setup,3
2,7,ecdh_make_params,11581
2,7,parse_client_psk_identity,5
2,7,ecdh_read_public,6
2,7,ecdh_calc_secret,10965
2,7,psk_derive_premaster,4
2,8,ecdh_setup,4
2,8,ecdh_make_params,10954
2,8,parse_client_psk_identity,5
2,8,ecdh_read_public,7
2,8,ecdh_calc_secret,11213
2,8,psk_derive_premaster,5
2,9,ecdh_setup,3
2,9,ecdh_make_params,11387
2,9,parse_client_psk_identity,4
2,9,ecdh_read_public,8
2,9,ecdh_calc_secret,10966
2,9,psk_derive_premaster,5
2,10,ecdh_setup,3
2,10,ecdh_make_params,11181
2,10,parse_client_psk_identity,5
2,10,ecdh_read_public,8
2,10,ecdh_calc_secret,11127
2,10,psk_derive_premaster,4
2,11,ecdh_setup,3
2,11,ecdh_make_params,11309
2,11,parse_client_psk_identity,5
2,11,ecdh_read_public,8
2,11,ecdh_calc_secret,11099
2,11,psk_derive_premaster,3
2,12,ecdh_setup,3
2,12,ecdh_make_params,10982
2,12,parse_client_psk_identity,5
2,12,ecdh_read_public,9
2,12,ecdh_calc_secret,10963
2,12,psk_derive_premaster,4
2,13,ecdh_setup,3
2,13,ecdh_make_params,10983
2,13,parse_client_psk_identity,5
2,13,ecdh_read_public,6
2,13,ecdh_calc_secret,10781
2,13,psk_derive_premaster,5
2,14,ecdh_setup,3
2,14,ecdh_make_params,11202
2,14,parse_client_psk_identity,5
2,14,ecdh_read_public,8
2,14,ecdh_calc_secret,11313
2,14,psk_derive_premaster,4
2,15,ecdh_setup,3
2,15,ecdh_make_params,11006
2,15,parse_client_psk_identity,6
2,15,ecdh_read_public,7
2,15,ecdh_calc_secret,10918
2,15,psk_derive_premaster,3
2,16,ecdh_setup,3
2,16,ecdh_make_params,11482
2,16,parse_client_psk_identity,4
2,16,ecdh_read_public,7
2,16,ecdh_calc_secret,11145
2,16,psk_derive_premaster,4
2,17,ecdh_setup,3
2,17,ecdh_make_params,11180
2,17,parse_client_psk_identity,5
2,17,ecdh_read_public,7
2,17,ecdh_calc_secret,10895
2,17,psk_derive_premaster,4
2,18,ecdh_setup,3
2,18,ecdh_make_params,10867
2,18,parse_client_psk_identity,6
2,18,ecdh_read_public,11
2,18,ecdh_calc_secret,10733
2,18,psk_derive_premaster,4
2,19,ecdh_setup,3
2,19,ecdh_make_params,10881
2,19,parse_client_psk_identity,6
2,19,ecdh_read_public,7
2,19,ecdh_calc_secret,11184
2,19,psk_derive_premaster,3
2,20,ecdh_setup,3
2,20,ecdh_make_params,11295
2,20,parse_client_psk_identity,4
2,20,ecdh_read_public,6
2,20,ecdh_calc_secret,10817
2,20,psk_derive_premaster,3
2,21,ecdh_setup,3
2,21,ecdh_make_params,11433
2,21,parse_client_psk_identity,4
2,21,ecdh_read_public,6
2,21,ecdh_calc_secret,11125
2,21,psk_derive_premaster,4
2,22,ecdh_setup,3
2,22,ecdh_make_params,11404
2,22,parse_client_psk_identity,4
2,22,ecdh_read_public,7
2,22,ecdh_calc_secret,10957
2,22,psk_derive_premaster,4
2,23,ecdh_setup,2
2,23,ecdh_make_params,11020
2,23,parse_client_psk_identity,5
2,23,ecdh_read_public,6
2,23,ecdh_calc_secret,11282
2,23,psk_derive_premaster,3
2,24,ecdh_setup,3
2,24,ecdh_make_params,11121
2,24,parse_client_psk_identity,5
2,24,ecdh_read_public,7
2,24,ecdh_calc_secret,10747
2,24,psk_derive_premaster,4
2,25,ecdh_setup,3
2,25,ecdh_make_params,11441
2,25,parse_client_psk_identity,6
2,25,ecdh_read_public,17
2,25,ecdh_calc_secret,10794
2,25,psk_derive_premaster,4
2,26,ecdh_setup,3
2,26,ecdh_make_params,10949
2,26,parse_client_psk_identity,5
2,26,ecdh_read_public,6
2,26,ecdh_calc_secret,10730
2,26,psk_derive_premaster,3
2,27,ecdh_setup,3
2,27,ecdh_make_params,11386
2,27,parse_client_psk_identity,5
2,27,ecdh_read_public,8
2,27,ecdh_calc_secret,10905
2,27,psk_derive_premaster,4
2,28,ecdh_setup,4
2,28,ecdh_make_params,11367
2,28,parse_client_psk_identity,4
2,28,ecdh_read_public,10
2,28,ecdh_calc_secret,10874
2,28,psk_derive_premaster,5
2,29,ecdh_setup,3
2,29,ecdh_make_params,11147
2,29,parse_client_psk_identity,4
2,29,ecdh_read_public,8
2,29,ecdh_calc_secret,10917
2,29,psk_derive_premaster,3
2,30,ecdh_setup,3
2,30,ecdh_make_params,12101
2,30,parse_client_psk_identity,5
2,30,ecdh_read_public,8
2,30,ecdh_calc_secret,10935
2,30,psk_derive_premaster,3
2,31,ecdh_setup,3
2,31,ecdh_make_params,10845
2,31,parse_client_psk_identity,5
2,31,ecdh_read_public,9
2,31,ecdh_calc_secret,10799
2,31,psk_derive_premaster,3
2,32,ecdh_setup,3
2,32,ecdh_make_params,11486
2,32,parse_client_psk_identity,5
2,32,ecdh_read_public,7
2,32,ecdh_calc_secret,10951
2,32,psk_derive_premaster,4
2,33,ecdh_setup,3
2,33,ecdh_make_params,10955
2,33,parse_client_psk_identity,5
2,33,ecdh_read_public,6
2,33,ecdh_calc_secret,10839
2,33,psk_derive_premaster,5
2,34,ecdh_setup,3
2,34,ecdh_make_params,11378
2,34,parse_client_psk_identity,6
2,34,ecdh_read_public,9
2,34,ecdh_calc_secret,10856
2,34,psk_derive_premaster,5
2,35,ecdh_setup,3
2,35,ecdh_make_params,11090
2,35,parse_client_psk_identity,5
2,35,ecdh_read_public,6
2,35,ecdh_calc_secret,10830
2,35,psk_derive_premaster,4
2,36,ecdh_setup,3
2,36,ecdh_make_params,11339
2,36,parse_client_psk_identity,5
2,36,ecdh_read_public,6
2,36,ecdh_calc_secret,10849
2,36,psk_derive_premaster,2
2,37,ecdh_setup,3
2,37,ecdh_make_params,11603
2,37,parse_client_psk_identity,5
2,37,ecdh_read_public,8
2,37,ecdh_calc_secret,10940
2,37,psk_derive_premaster,3
2,38,ecdh_setup,3
2,38,ecdh_make_params,11305
2,38,parse_client_psk_identity,4
2,38,ecdh_read_public,8
2,38,ecdh_calc_secret,11593
2,38,psk_derive_premaster,5
2,39,ecdh_setup,3
2,39,ecdh_make_params,11443
2,39,parse_client_psk_identity,5
2,39,ecdh_read_public,6
2,39,ecdh_calc_secret,11217
2,39,psk_derive_premaster,4
2,40,ecdh_setup,3
2,40,ecdh_make_params,11228
2,40,parse_client_psk_identity,5
2,40,ecdh_read_public,7
2,40,ecdh_calc_secret,11192
2,40,psk_derive_premaster,4
2,41,ecdh_setup,3
2,41,ecdh_make_params,11705
2,41,parse_client_psk_identity,8
2,41,ecdh_read_public,8
2,41,ecdh_calc_secret,14127
2,41,psk_derive_premaster,4
2,42,ecdh_setup,3
2,42,ecdh_make_params,11521
2,42,parse_client_psk_identity,4
2,42,ecdh_read_public,6
2,42,ecdh_calc_secret,12119
2,42,psk_derive_premaster,4
2,43,ecdh_setup,3
2,43,ecdh_make_params,11524
2,43,parse_client_psk_identity,7
2,43,ecdh_read_public,6
2,43,ecdh_calc_secret,10880
2,43,psk_derive_premaster,4
2,44,ecdh_setup,3
2,44,ecdh_make_params,10967
