endpoint,min_input,max_input,time
server,32,8192,108647
client,32,8192,109012
server,32,8192,107033
client,32,8192,107371
server,32,8192,106840
client,32,8192,107222
server,32,8192,107481
client,32,8192,107826
server,32,8192,108951
client,32,8192,109280
server,32,8192,107840
client,32,8192,108180
server,32,8192,107986
client,32,8192,108338
server,32,8192,107354
client,32,8192,107716
server,32,8192,106868
client,32,8192,107193
server,32,8192,107501
client,32,8192,107869
server,32,8192,107784
client,32,8192,108157
server,32,8192,106649
client,32,8192,106964
server,32,8192,119431
client,32,8192,119781
server,32,8192,107559
client,32,8192,107928
server,32,8192,108851
client,32,8192,109230
server,32,8192,106768
client,32,8192,107127
server,32,8192,107321
client,32,8192,107617
server,32,8192,108000
client,32,8192,108361
server,32,8192,106725
client,32,8192,107078
server,32,8192,108284
client,32,8192,108590
server,32,8192,106811
client,32,8192,107160
server,32,8192,107057
client,32,8192,107400
server,32,8192,107538
client,32,8192,107929
server,32,8192,107707
client,32,8192,108063
server,32,8192,106922
client,32,8192,107244
server,32,8192,107647
client,32,8192,107984
server,32,8192,107048
client,32,8192,107416
server,32,8192,108164
client,32,8192,108474
server,32,8192,106758
client,32,8192,107049
server,32,8192,111310
client,32,8192,111674
server,32,8192,106954
client,32,8192,107267
server,32,8192,107962
client,32,8192,108253
server,32,8192,107147
client,32,8192,107488
server,32,8192,106615
client,32,8192,106991
server,32,8192,107915
client,32,8192,108267
server,32,8192,107854
client,32,8192,108219
server,32,8192,106804
client,32,8192,107161
server,32,8192,106761
client,32,8192,107147
server,32,8192,106891
client,32,8192,107252
server,32,8192,107453
client,32,8192,107760
server,32,8192,107970
client,32,8192,108304
server,32,8192,106884
client,32,8192,107277
server,32,8192,106608
client,32,8192,106981
server,32,8192,107737
client,32,8192,108097
server,32,8192,107178
client,32,8192,107497
server,32,8192,106877
client,32,8192,107230
server,32,8192,112893
client,32,8192,113236
server,32,8192,114448
client,32,8192,114760
server,32,8192,109159
client,32,8192,109476
server,32,8192,107249
client,32,8192,107629
server,32,8192,108025
client,32,8192,108341
server,32,8192,107612
client,32,8192,107918
server,32,8192,107621
client,32,8192,107970
server,32,8192,108107
client,32,8192,108539
server,32,8192,106864
client,32,8192,107221
server,32,8192,107163
client,32,8192,107528
server,32,8192,107210
client,32,8192,107579
