endpoint,operation,msglen,time
client,encrypt,8192,270
server,decrypt,8192,268
server,encrypt,8192,270
client,decrypt,8192,311
client,encrypt,8192,286
server,decrypt,8192,275
server,encrypt,8192,275
client,decrypt,8192,269
client,encrypt,8192,294
server,decrypt,8192,268
server,encrypt,8192,301
client,decrypt,8192,293
client,encrypt,8192,272
server,decrypt,8192,285
server,encrypt,8192,302
client,decrypt,8192,381
client,encrypt,8192,346
server,decrypt,8192,267
server,encrypt,8192,268
client,decrypt,8192,268
client,encrypt,16384,857
server,decrypt,16384,535
server,encrypt,16384,565
client,decrypt,16384,572
client,encrypt,16384,579
server,decrypt,16384,594
server,encrypt,16384,564
client,decrypt,16384,604
client,encrypt,16384,769
server,decrypt,16384,577
server,encrypt,16384,589
client,decrypt,16384,980
client,encrypt,16384,553
server,decrypt,16384,550
server,encrypt,16384,565
client,decrypt,16384,564
client,encrypt,16384,822
server,decrypt,16384,659
server,encrypt,16384,547
client,decrypt,16384,599
