endpoint,time
client,79157
server,104948
server,103635
client,78025
client,78411
server,103467
client,78128
server,103276
client,79255
server,105120
client,78055
server,103878
client,78488
server,103570
client,77562
server,103455
client,85313
server,113466
client,85280
server,112512
client,83372
server,109962
client,82543
server,108662
server,103777
client,78013
client,80075
server,105812
client,79617
server,104995
client,78308
server,104457
server,104012
client,78313
server,104084
client,78374
client,78579
server,104385
server,104398
client,78640
client,77889
server,103727
client,78401
server,104314
client,78041
server,104260
server,104485
client,78490
client,78065
server,104575
client,78596
server,103942
client,78821
server,104610
client,78469
server,104493
client,78986
server,104077
client,78707
server,104491
client,79687
server,105478
client,79374
server,105615
client,78350
server,104475
client,80693
server,106505
client,78194
server,103947
client,78301
server,104200
client,79277
server,105008
client,96704
server,124299
client,80741
server,106749
server,105828
client,79011
client,78571
server,104348
client,79064
server,104810
client,78285
server,104152
client,77979
server,103796
client,77859
server,103607
client,79528
server,105316
client,77900
server,103787
client,78115
server,103239
client,78471
server,104277
client,78522
server,104371
client,78811
server,104670
client,78877
server,104891
client,78240
server,104148
client,78742
server,105009
client,77966
server,103832
client,78117
server,104070
client,78167
server,103989
client,78683
server,104484
client,79207
server,105001
client,78018
server,103733
client,78250
server,104024
client,78154
server,103949
client,78581
server,104425
client,78464
server,103634
client,78454
server,104346
client,78389
server,103762
client,78249
server,104177
client,78405
server,104255
client,78930
server,104729
client,78444
server,103670
client,78020
server,103835
client,78490
server,104948
client,78736
server,105242
server,104997
client,79079
client,78670
server,104741
client,78844
server,104267
client,79856
server,105239
client,80387
server,106590
client,79788
server,106296
client,78697
server,105149
client,78658
server,104232
client,78386
server,104030
client,77648
server,103310
client,78646
server,104378
client,78772
server,103739
client,78906
server,104584
client,78265
server,103915
client,78181
server,103977
client,78146
server,103252
client,78323
server,104100
client,78296
server,104013
client,78122
server,103940
client,78459
server,104534
client,78469
server,104938
client,79538
server,106102
client,79582
server,106516
client,79282
server,104680
client,78178
server,104109
client,79419
server,105102
client,78192
server,104192
client,78288
server,104127
client,77983
server,104040
client,78066
server,103075
client,78378
server,104068
client,78256
server,103954
client,78393
server,104053
client,78435
server,104269
client,78886
server,103967
client,77990
server,103709
client,78765
server,103713
client,79006
server,104702
client,79081
server,104236
client,79268
server,104465
client,78423
server,104234
client,78792
server,104630
client,78638
server,103835
client,78684
server,104565
client,79329
server,105166
client,79166
server,104287
client,78819
server,104512
client,78661
server,104470
client,79435
server,104576
client,78377
server,104252
client,78692
server,103826
client,78161
server,103843
client,78288
server,103369
client,78050
server,103968
client,78151
server,103240
client,77660
server,102755
client,78235
server,103392
client,78287
server,103401
client,78077
server,103824
client,78316
server,104061
client,79132
server,104463
client,79014
server,104400
client,79257
server,104349
client,78105
server,103833
client,78424
server,103545
client,78930
server,104624
client,79763
server,105468
client,78680
server,104366
client,78549
server,104325
client,78592
server,103761
client,79005
server,105168
client,83120
server,109177
client,78018
server,103715
client,78956
server,103961
client,77989
server,103755
client,78660
server,104346
client,79601
server,105259
client,79042
server,104179
client,78022
server,103906
client,78945
server,104088
client,78918
server,103927
client,79257
server,104219
client,79376
server,104354
client,78280
server,104748
client,78815
server,104622
client,78485
server,103629
client,78781
server,104661
client,79549
server,105295
client,80235
server,106008
client,80468
server,105524
client,79693
server,105760
client,79177
server,105041
client,78348
server,103948
client,78419
server,103569
client,77923
server,103716
client,79529
server,105254
client,77978
server,103004
client,78918
server,103988
client,78253
server,103357
client,78281
server,104030
client,78003
server,103707
client,78965
server,104634
client,79310
server,105220
server,104054
client,78290
client,78004
server,103247
client,78576
server,104341
client,78844
server,104630
client,78856
server,104713
client,79090
server,105476
client,78857
server,104630
client,79272
server,104475
client,78463
server,103668
client,79878
server,105675
client,79153
server,104789
client,78748
server,103829
client,78126
server,103817
server,103848
client,77928
client,78212
server,103955
client,79378
server,104416
client,78705
server,104478
client,78853
server,104547
client,78100
server,103790
client,78309
server,103989
client,78643
server,104649
client,78403
server,103422
client,78336
server,104059
client,78257
server,103391
client,78131
server,103797
client,79129
server,104017
client,78796
server,104636
client,78530
server,104135
client,79001
server,104725
client,79134
server,104822
client,78387
server,104180
client,78887
server,104583
client,77831
server,103602
server,103871
client,77792
client,78038
server,103741
client,78241
server,103430
client,77953
server,103724
client,78510
server,104415
client,78979
server,104882
client,78553
server,104647
client,78693
server,104504
client,79181
server,105185
client,78742
server,104634
client,78207
server,103404
client,78313
server,103885
client,78090
server,103109
client,78306
server,103594
client,78702
server,104507
client,78383
server,104123
client,78558
server,103795
client,78224
server,103378
client,79502
server,104657
client,78442
server,103578
client,78099
server,103829
client,78270
server,104051
server,104354
client,78669
client,78602
server,104431
client,78069
server,103821
client,78069
