endpoint,operation,msglen,time
client,digest,8192,71
server,verify,8192,104
server,digest,8192,71
client,verify,8192,75
client,digest,8192,75
server,verify,8192,75
server,digest,8192,71
client,verify,8192,107
client,digest,8192,82
server,verify,8192,97
server,digest,8192,70
client,verify,8192,79
client,digest,8192,71
server,verify,8192,76
server,digest,8192,80
client,verify,8192,123
client,digest,8192,75
server,verify,8192,86
server,digest,8192,71
client,verify,8192,92
client,digest,16384,137
server,verify,16384,161
server,digest,16384,134
client,verify,16384,139
client,digest,16384,133
server,verify,16384,141
server,digest,16384,133
client,verify,16384,139
client,digest,16384,132
server,verify,16384,140
server,digest,16384,137
client,verify,16384,149
client,digest,16384,140
server,verify,16384,140
server,digest,16384,133
client,verify,16384,140
client,digest,16384,203
server,verify,16384,170
server,digest,16384,137
client,verify,16384,139
