endpoint,data_size,time
server,1048576,107206
client,1048576,108210
server,1048576,107411
client,1048576,112215
server,1048576,108552
client,1048576,109512
server,1048576,108105
client,1048576,109111
server,1048576,109472
client,1048576,110429
server,1048576,109262
client,1048576,110240
server,1048576,108119
client,1048576,109076
server,1048576,109291
client,1048576,110244
server,1048576,109694
client,1048576,110669
server,1048576,112024
client,1048576,113011
server,1048576,108358
client,1048576,109353
server,1048576,108250
client,1048576,109237
server,1048576,108429
client,1048576,109412
server,1048576,108999
client,1048576,109988
server,1048576,108878
client,1048576,109875
server,1048576,108752
client,1048576,109746
server,1048576,108670
client,1048576,109667
server,1048576,108910
client,1048576,109855
server,1048576,108764
client,1048576,109733
server,1048576,109846
client,1048576,110830
server,1048576,110298
client,1048576,111258
server,1048576,109882
client,1048576,110832
server,1048576,111740
client,1048576,112689
server,1048576,109220
client,1048576,110195
server,1048576,108937
client,1048576,109957
server,1048576,109238
client,1048576,110226
server,1048576,108089
client,1048576,109085
server,1048576,110916
client,1048576,111897
server,1048576,108595
client,1048576,109574
server,1048576,109634
client,1048576,110598
server,1048576,110226
client,1048576,111224
server,1048576,108533
client,1048576,109516
server,1048576,108023
client,1048576,109016
server,1048576,109656
client,1048576,110640
server,1048576,107890
client,1048576,108869
server,1048576,109840
client,1048576,110829
server,1048576,109300
client,1048576,110288
server,1048576,109285
client,1048576,110251
server,1048576,108554
client,1048576,109543
server,1048576,111133
client,1048576,112076
server,1048576,108485
client,1048576,109481
server,1048576,107901
client,1048576,108844
server,1048576,108843
client,1048576,109812
server,1048576,108934
client,1048576,109893
server,1048576,108645
client,1048576,109603
server,1048576,107942
client,1048576,108902
server,1048576,110539
client,1048576,111503
server,1048576,109631
client,1048576,110575
server,1048576,108670
client,1048576,109632
server,1048576,109180
client,1048576,110149
server,1048576,108198
client,1048576,109144
server,1048576,110128
client,1048576,111110
server,1048576,109826
client,1048576,110773
server,1048576,108354
client,1048576,109305
server,1048576,109367
client,1048576,110318
server,1048576,110578
client,1048576,111528
server,1048576,108297
client,1048576,109258
server,1048576,109748
client,1048576,110703
server,1048576,108748
