endpoint,keylen,time
server,192,259459
client,192,193674
server,192,249219
client,192,188063
client,192,183888
server,192,247064
client,192,190367
server,192,254688
server,192,307528
client,192,242881
client,224,228123
server,224,309455
client,224,214636
server,224,279253
server,224,254711
client,224,191534
server,224,254656
client,224,191647
server,224,261858
client,224,194845
server,384,291346
client,384,220453
server,384,261300
client,384,193912
server,384,248734
client,384,187751
server,384,256967
client,384,195597
client,384,198622
server,384,259856
server,521,264429
client,521,198141
client,521,200963
server,521,261661
client,521,210841
server,521,274646
client,521,197596
server,521,262874
client,521,194784
server,521,258386
