endpoint,operation,data_size,time
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,17
server,digest,64,7
client,verify,64,7
client,digest,64,8
server,verify,64,8
server,digest,64,7
client,verify,64,6
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,11
client,digest,64,8
server,verify,64,11
server,digest,64,14
client,verify,64,11
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,8
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,11
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,11
client,digest,64,7
server,verify,64,10
server,digest,64,7
client,verify,64,7
client,digest,64,8
server,verify,64,11
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,11
server,digest,64,12
client,verify,64,7
client,digest,64,10
server,verify,64,12
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,11
server,digest,64,8
client,verify,64,10
client,digest,64,7
server,verify,64,11
server,digest,64,7
client,verify,64,11
client,digest,64,7
server,verify,64,11
server,digest,64,7
client,verify,64,8
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,11
client,digest,64,8
server,verify,64,7
server,digest,64,7
client,verify,64,11
client,digest,64,7
server,verify,64,10
server,digest,64,8
client,verify,64,11
client,digest,64,7
server,verify,64,11
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,11
server,digest,64,8
client,verify,64,12
client,digest,64,8
server,verify,64,11
server,digest,64,13
client,verify,64,8
client,digest,64,7
server,verify,64,14
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,25
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,8
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,8
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,8
server,verify,64,8
server,digest,64,7
client,verify,64,6
client,digest,64,7
server,verify,64,8
server,digest,64,12
client,verify,64,10
client,digest,64,8
server,verify,64,12
server,digest,64,7
client,verify,64,11
client,digest,64,8
server,verify,64,13
server,digest,64,7
client,verify,64,7
client,digest,64,11
server,verify,64,7
server,digest,64,8
client,verify,64,11
client,digest,64,12
server,verify,64,13
server,digest,64,7
client,verify,64,8
client,digest,64,7
server,verify,64,9
server,digest,64,12
client,verify,64,10
client,digest,64,7
server,verify,64,8
server,digest,64,11
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,10
client,digest,64,7
server,verify,64,12
server,digest,64,7
client,verify,64,10
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,16
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,11
server,digest,64,8
client,verify,64,7
client,digest,64,12
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,11
server,verify,64,10
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,8
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,6
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,6
server,digest,64,8
client,verify,64,7
client,digest,64,8
server,verify,64,11
server,digest,64,9
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,9
client,digest,64,11
server,verify,64,8
server,digest,64,7
client,verify,64,6
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,11
server,digest,64,8
client,verify,64,8
client,digest,64,8
server,verify,64,17
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,11
server,digest,64,7
client,verify,64,8
client,digest,64,7
server,verify,64,13
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,10
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,17
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,8
server,verify,64,8
server,digest,64,8
client,verify,64,11
client,digest,64,8
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,6
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,11
client,digest,64,6
server,verify,64,8
server,digest,64,8
client,verify,64,6
client,digest,64,7
server,verify,64,13
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,15
client,digest,64,8
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,16
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,12
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,11
client,digest,64,8
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,17
client,digest,64,8
server,verify,64,7
server,digest,64,7
client,verify,64,11
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,12
server,digest,64,8
client,verify,64,7
client,digest,64,8
server,verify,64,17
server,digest,64,7
client,verify,64,7
client,digest,64,8
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,11
server,digest,64,10
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,17
server,digest,64,7
client,verify,64,12
client,digest,64,8
server,verify,64,7
server,digest,64,26
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,8
client,digest,64,8
server,verify,64,8
server,digest,64,7
client,verify,64,6
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,6
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,6
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,8
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,11
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,8
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,9
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,8
server,verify,64,17
server,digest,64,8
client,verify,64,9
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,8
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,8
server,verify,64,8
server,digest,64,8
client,verify,64,6
client,digest,64,14
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,8
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,8
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,17
server,digest,64,12
client,verify,64,12
client,digest,64,7
server,verify,64,7
server,digest,64,11
client,verify,64,7
client,digest,64,7
server,verify,64,12
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,8
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,8
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,8
client,digest,64,7
server,verify,64,7
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,8
client,verify,64,7
client,digest,64,7
server,verify,64,8
server,digest,64,7
client,verify,64,7
client,digest,64,7
