endpoint,operation,msglen,time
client,encrypt,4096,158
server,decrypt,4096,139
server,encrypt,4096,145
client,decrypt,4096,143
client,encrypt,4096,141
server,decrypt,4096,143
server,encrypt,4096,141
client,decrypt,4096,139
client,encrypt,4096,140
server,decrypt,4096,139
server,encrypt,4096,141
client,decrypt,4096,144
client,encrypt,4096,148
server,decrypt,4096,140
server,encrypt,4096,145
client,decrypt,4096,153
client,encrypt,4096,140
server,decrypt,4096,159
server,encrypt,4096,164
client,decrypt,4096,139
client,encrypt,8192,311
server,decrypt,8192,327
server,encrypt,8192,338
client,decrypt,8192,293
client,encrypt,8192,275
server,decrypt,8192,301
server,encrypt,8192,280
client,decrypt,8192,273
client,encrypt,8192,276
server,decrypt,8192,273
server,encrypt,8192,276
client,decrypt,8192,273
client,encrypt,8192,276
server,decrypt,8192,273
server,encrypt,8192,303
client,decrypt,8192,277
client,encrypt,8192,275
server,decrypt,8192,273
server,encrypt,8192,280
client,decrypt,8192,295
client,encrypt,16384,546
server,decrypt,16384,613
server,encrypt,16384,556
client,decrypt,16384,644
client,encrypt,16384,609
server,decrypt,16384,545
server,encrypt,16384,546
client,decrypt,16384,604
client,encrypt,16384,561
server,decrypt,16384,564
server,encrypt,16384,585
client,decrypt,16384,577
client,encrypt,16384,545
server,decrypt,16384,568
server,encrypt,16384,566
client,decrypt,16384,568
client,encrypt,16384,549
server,decrypt,16384,576
server,encrypt,16384,549
client,decrypt,16384,647
