endpoint,min_input,max_input,time
server,32,8192,109889
client,32,8192,110496
server,32,8192,109634
client,32,8192,110095
server,32,8192,107772
client,32,8192,108218
server,32,8192,107899
client,32,8192,108367
server,32,8192,109415
client,32,8192,109887
server,32,8192,113199
client,32,8192,113622
server,32,8192,108748
client,32,8192,109180
server,32,8192,107831
client,32,8192,108291
server,32,8192,108322
client,32,8192,108805
server,32,8192,109562
client,32,8192,110047
server,32,8192,108722
client,32,8192,109176
server,32,8192,108042
client,32,8192,108503
server,32,8192,109516
client,32,8192,109974
server,32,8192,109524
client,32,8192,109998
server,32,8192,108543
client,32,8192,109002
server,32,8192,108370
client,32,8192,108843
server,32,8192,108405
client,32,8192,108912
server,32,8192,108276
client,32,8192,108757
server,32,8192,109614
client,32,8192,110081
server,32,8192,108534
client,32,8192,109004
server,32,8192,107643
client,32,8192,108127
server,32,8192,108121
client,32,8192,108646
server,32,8192,112622
client,32,8192,113052
server,32,8192,109522
client,32,8192,109964
server,32,8192,108714
client,32,8192,109180
server,32,8192,108343
client,32,8192,108867
server,32,8192,109785
client,32,8192,110270
server,32,8192,108164
client,32,8192,108620
server,32,8192,109617
client,32,8192,110103
server,32,8192,108016
client,32,8192,108506
server,32,8192,109223
client,32,8192,109663
server,32,8192,109204
client,32,8192,109675
server,32,8192,109341
client,32,8192,109787
server,32,8192,109520
client,32,8192,110017
server,32,8192,108222
client,32,8192,108696
server,32,8192,108645
client,32,8192,109109
server,32,8192,109627
client,32,8192,110144
server,32,8192,107887
client,32,8192,108417
server,32,8192,109161
client,32,8192,109608
server,32,8192,119089
client,32,8192,119545
server,32,8192,108158
client,32,8192,108688
server,32,8192,108952
client,32,8192,109464
server,32,8192,108442
client,32,8192,108888
server,32,8192,108649
client,32,8192,109130
server,32,8192,109252
client,32,8192,109765
server,32,8192,109995
client,32,8192,110502
server,32,8192,107880
client,32,8192,108369
server,32,8192,109205
client,32,8192,109645
server,32,8192,107979
client,32,8192,108505
server,32,8192,108019
client,32,8192,108506
server,32,8192,108651
client,32,8192,109128
server,32,8192,109427
client,32,8192,109893
server,32,8192,109725
client,32,8192,110198
server,32,8192,109466
client,32,8192,109938
server,32,8192,108800
client,32,8192,109259
server,32,8192,110994
client,32,8192,111443
server,32,8192,117265
client,32,8192,117760
server,32,8192,107989
client,32,8192,108513
server,32,8192,108858
client,32,8192,109339
server,32,8192,108402
client,32,8192,108870
server,32,8192,110016
client,32,8192,110438
server,32,8192,108143
client,32,8192,108614
server,32,8192,108279
client,32,8192,108780
server,32,8192,108840
client,32,8192,109338
server,32,8192,108467
client,32,8192,108956
server,32,8192,107751
client,32,8192,108223
server,32,8192,107826
client,32,8192,108369
server,32,8192,108582
client,32,8192,109075
server,32,8192,109511
client,32,8192,109969
server,32,8192,108394
client,32,8192,108840
server,32,8192,107942
client,32,8192,108438
server,32,8192,107918
client,32,8192,108435
server,32,8192,116005
client,32,8192,116461
server,32,8192,108539
client,32,8192,109008
server,32,8192,109331
client,32,8192,109833
server,32,8192,111646
client,32,8192,112163
server,32,8192,108920
client,32,8192,109405
server,32,8192,108379
client,32,8192,108852
server,32,8192,107950
client,32,8192,108452
server,32,8192,108320
client,32,8192,108797
server,32,8192,109577
client,32,8192,110007
server,32,8192,109588
client,32,8192,110048
server,32,8192,109875
client,32,8192,110354
server,32,8192,109177
client,32,8192,109652
server,32,8192,108196
client,32,8192,108666
server,32,8192,109244
client,32,8192,109708
server,32,8192,109291
client,32,8192,109725
server,32,8192,109372
client,32,8192,109834
server,32,8192,108728
client,32,8192,109211
server,32,8192,114803
client,32,8192,115263
server,32,8192,108528
client,32,8192,108993
server,32,8192,108121
client,32,8192,108599
server,32,8192,109150
client,32,8192,109610
server,32,8192,107903
client,32,8192,108361
server,32,8192,108580
client,32,8192,109074
server,32,8192,108327
client,32,8192,108824
server,32,8192,107928
client,32,8192,108390
server,32,8192,108375
client,32,8192,108828
server,32,8192,108817
client,32,8192,109386
server,32,8192,109498
client,32,8192,109946
server,32,8192,108174
client,32,8192,108634
server,32,8192,108046
client,32,8192,108521
server,32,8192,108211
client,32,8192,108780
server,32,8192,108931
client,32,8192,109425
server,32,8192,107866
client,32,8192,108336
server,32,8192,109511
client,32,8192,109961
server,32,8192,112660
client,32,8192,113154
server,32,8192,110459
client,32,8192,110928
server,32,8192,108406
client,32,8192,108895
server,32,8192,108029
client,32,8192,108494
server,32,8192,108329
client,32,8192,108818
server,32,8192,109234
client,32,8192,109697
server,32,8192,109178
client,32,8192,109657
server,32,8192,107428
client,32,8192,107930
server,32,8192,108086
client,32,8192,108559
server,32,8192,108007
client,32,8192,108505
server,32,8192,108879
client,32,8192,109380
server,32,8192,108736
client,32,8192,109203
server,32,8192,108000
client,32,8192,108492
server,32,8192,108352
client,32,8192,108856
server,32,8192,108380
client,32,8192,108849
server,32,8192,108410
client,32,8192,108876
server,32,8192,112402
client,32,8192,112859
server,32,8192,110794
client,32,8192,111293
server,32,8192,108139
client,32,8192,108650
server,32,8192,109284
client,32,8192,109739
server,32,8192,108074
client,32,8192,108547
server,32,8192,108514
client,32,8192,108998
server,32,8192,107814
client,32,8192,108322
server,32,8192,109284
client,32,8192,109808
server,32,8192,108054
client,32,8192,108536
server,32,8192,107865
client,32,8192,108346
server,32,8192,109162
client,32,8192,109662
server,32,8192,108167
client,32,8192,108668
server,32,8192,108313
client,32,8192,108817
server,32,8192,107973
client,32,8192,108447
server,32,8192,108318
client,32,8192,108804
server,32,8192,108725
client,32,8192,109200
server,32,8192,109036
client,32,8192,109460
server,32,8192,118189
client,32,8192,118647
server,32,8192,108081
client,32,8192,108577
server,32,8192,108319
client,32,8192,108834
server,32,8192,108893
client,32,8192,109363
server,32,8192,109797
client,32,8192,110248
server,32,8192,108982
client,32,8192,109463
server,32,8192,108249
client,32,8192,108775
server,32,8192,108771
client,32,8192,109243
server,32,8192,109217
client,32,8192,109682
server,32,8192,108272
client,32,8192,108783
server,32,8192,108063
client,32,8192,108592
server,32,8192,109068
client,32,8192,109530
server,32,8192,108416
client,32,8192,108891
server,32,8192,108104
client,32,8192,108594
server,32,8192,109537
client,32,8192,110076
server,32,8192,108023
client,32,8192,108488
server,32,8192,108749
client,32,8192,109192
server,32,8192,117905
client,32,8192,118397
server,32,8192,107810
client,32,8192,108299
server,32,8192,108253
client,32,8192,108733
server,32,8192,108695
client,32,8192,109166
server,32,8192,109348
client,32,8192,109824
server,32,8192,108534
client,32,8192,109020
server,32,8192,110342
client,32,8192,110784
server,32,8192,108632
client,32,8192,109080
server,32,8192,109378
client,32,8192,109864
server,32,8192,109644
client,32,8192,110128
server,32,8192,109213
client,32,8192,109683
server,32,8192,108024
client,32,8192,108436
server,32,8192,108194
client,32,8192,108689
server,32,8192,108775
client,32,8192,109326
server,32,8192,108033
client,32,8192,108509
server,32,8192,107872
client,32,8192,108376
server,32,8192,111593
client,32,8192,112070
server,32,8192,109494
client,32,8192,110003
server,32,8192,108106
client,32,8192,108582
server,32,8192,108149
client,32,8192,108612
server,32,8192,109812
client,32,8192,110293
server,32,8192,108485
client,32,8192,108998
server,32,8192,109443
client,32,8192,109907
server,32,8192,107992
client,32,8192,108464
server,32,8192,108239
client,32,8192,108760
server,32,8192,109391
client,32,8192,109910
server,32,8192,108622
client,32,8192,109138
server,32,8192,107978
client,32,8192,108470
server,32,8192,108182
client,32,8192,108682
server,32,8192,108514
client,32,8192,108982
server,32,8192,109097
client,32,8192,109564
server,32,8192,108288
client,32,8192,108776
server,32,8192,109430
client,32,8192,109893
server,32,8192,112929
client,32,8192,113364
server,32,8192,108058
client,32,8192,108559
server,32,8192,109093
client,32,8192,109596
server,32,8192,108371
client,32,8192,108850
server,32,8192,110162
client,32,8192,110650
server,32,8192,108075
client,32,8192,108551
server,32,8192,108811
client,32,8192,109326
server,32,8192,108090
client,32,8192,108593
server,32,8192,108810
client,32,8192,109302
server,32,8192,108160
client,32,8192,108652
server,32,8192,108379
client,32,8192,108853
server,32,8192,109734
client,32,8192,110219
server,32,8192,108742
client,32,8192,109205
server,32,8192,107952
client,32,8192,108464
server,32,8192,109746
client,32,8192,110276
server,32,8192,109776
client,32,8192,110244
server,32,8192,111402
client,32,8192,111894
server,32,8192,110309
client,32,8192,110807
server,32,8192,107921
client,32,8192,108416
server,32,8192,108918
client,32,8192,109387
server,32,8192,108810
client,32,8192,109281
server,32,8192,108319
client,32,8192,108821
server,32,8192,108133
client,32,8192,108639
server,32,8192,108365
client,32,8192,108828
server,32,8192,108998
client,32,8192,109469
server,32,8192,109046
client,32,8192,109559
server,32,8192,107961
client,32,8192,108466
server,32,8192,108467
client,32,8192,108928
server,32,8192,109530
client,32,8192,110003
server,32,8192,109807
client,32,8192,110336
server,32,8192,108888
client,32,8192,109416
server,32,8192,109032
client,32,8192,109537
server,32,8192,108094
client,32,8192,108578
server,32,8192,117019
client,32,8192,117426
server,32,8192,108332
client,32,8192,108823
server,32,8192,108166
client,32,8192,108671
server,32,8192,107726
client,32,8192,108226
server,32,8192,109344
client,32,8192,109835
server,32,8192,108141
client,32,8192,108574
server,32,8192,110140
client,32,8192,110639
server,32,8192,108036
client,32,8192,108573
server,32,8192,108735
client,32,8192,109191
server,32,8192,108094
client,32,8192,108544
server,32,8192,108941
client,32,8192,109424
server,32,8192,107833
client,32,8192,108351
server,32,8192,108753
client,32,8192,109240
server,32,8192,109075
client,32,8192,109540
server,32,8192,109143
client,32,8192,109645
