endpoint,min_input,max_input,time
server,32,8192,108933
client,32,8192,109214
server,32,8192,106872
client,32,8192,107048
server,32,8192,105506
client,32,8192,105664
server,32,8192,106604
client,32,8192,106824
server,32,8192,106981
client,32,8192,111255
server,32,8192,106076
client,32,8192,106301
server,32,8192,106065
client,32,8192,106232
server,32,8192,106466
client,32,8192,106661
client,32,8192,106741
server,32,8192,106575
server,32,8192,116005
client,32,8192,116174
server,32,8192,108092
client,32,8192,108293
server,32,8192,107197
client,32,8192,107401
server,32,8192,106640
client,32,8192,106903
server,32,8192,106148
client,32,8192,106310
server,32,8192,107498
client,32,8192,107643
server,32,8192,105839
client,32,8192,106031
server,32,8192,105507
client,32,8192,105686
server,32,8192,106652
client,32,8192,106800
server,32,8192,107920
client,32,8192,108100
server,32,8192,105728
client,32,8192,105915
server,32,8192,105841
client,32,8192,106068
server,32,8192,106047
client,32,8192,106274
server,32,8192,106404
client,32,8192,106641
server,32,8192,105676
client,32,8192,105842
server,32,8192,106337
client,32,8192,106524
server,32,8192,106603
client,32,8192,106780
server,32,8192,109424
client,32,8192,109710
client,32,8192,107951
server,32,8192,107801
server,32,8192,106881
client,32,8192,107048
server,32,8192,106123
client,32,8192,106309
server,32,8192,105663
client,32,8192,105863
client,32,8192,107140
server,32,8192,106972
server,32,8192,106932
client,32,8192,107085
server,32,8192,106624
client,32,8192,106800
server,32,8192,106961
client,32,8192,107187
server,32,8192,106790
client,32,8192,106961
server,32,8192,106033
client,32,8192,106250
server,32,8192,105493
client,32,8192,105732
server,32,8192,106019
client,32,8192,106281
server,32,8192,105969
client,32,8192,106165
server,32,8192,105830
client,32,8192,105940
server,32,8192,106599
client,32,8192,111212
server,32,8192,106138
client,32,8192,110751
server,32,8192,106076
client,32,8192,106232
server,32,8192,116448
client,32,8192,116592
server,32,8192,107580
client,32,8192,112197
server,32,8192,106432
client,32,8192,111071
server,32,8192,105864
client,32,8192,106023
server,32,8192,106106
client,32,8192,106266
server,32,8192,107677
client,32,8192,107900
server,32,8192,105819
client,32,8192,106010
server,32,8192,105638
client,32,8192,105808
server,32,8192,105824
client,32,8192,105977
server,32,8192,107445
client,32,8192,107617
server,32,8192,105705
client,32,8192,110413
server,32,8192,106282
client,32,8192,106471
server,32,8192,105832
client,32,8192,105990
server,32,8192,106283
client,32,8192,106508
server,32,8192,106278
client,32,8192,106509
server,32,8192,105890
client,32,8192,106060
server,32,8192,107123
client,32,8192,107245
server,32,8192,117239
client,32,8192,117430
server,32,8192,106665
client,32,8192,106869
client,32,8192,105820
server,32,8192,105667
client,32,8192,105917
server,32,8192,105769
server,32,8192,106034
client,32,8192,106258
server,32,8192,106880
client,32,8192,107073
server,32,8192,106177
client,32,8192,106351
server,32,8192,106858
client,32,8192,107038
server,32,8192,105286
client,32,8192,105466
server,32,8192,107423
client,32,8192,107660
server,32,8192,105740
client,32,8192,105898
server,32,8192,106845
client,32,8192,107024
server,32,8192,105745
client,32,8192,110691
server,32,8192,105966
client,32,8192,106219
