endpoint,operation,msglen,time
client,digest,8192,42
server,verify,8192,60
server,digest,8192,57
client,verify,8192,42
client,digest,8192,40
server,verify,8192,44
server,digest,8192,41
client,verify,8192,45
client,digest,8192,40
server,verify,8192,44
server,digest,8192,40
client,verify,8192,44
client,digest,8192,40
server,verify,8192,43
server,digest,8192,41
client,verify,8192,44
client,digest,8192,40
server,verify,8192,49
server,digest,8192,41
client,verify,8192,43
client,digest,16384,78
server,verify,16384,81
server,digest,16384,76
client,verify,16384,90
client,digest,16384,77
server,verify,16384,82
server,digest,16384,78
client,verify,16384,81
client,digest,16384,78
server,verify,16384,81
server,digest,16384,79
client,verify,16384,80
client,digest,16384,82
server,verify,16384,80
server,digest,16384,77
client,verify,16384,83
client,digest,16384,76
server,verify,16384,82
server,digest,16384,76
client,verify,16384,81
