endpoint,min_input,max_input,time
client,32,8192,108490
server,32,8192,108178
server,32,8192,119534
client,32,8192,119734
server,32,8192,108468
client,32,8192,108634
server,32,8192,105672
client,32,8192,105864
server,32,8192,105796
client,32,8192,106007
server,32,8192,105957
client,32,8192,106101
server,32,8192,105593
client,32,8192,105796
server,32,8192,105434
client,32,8192,105641
server,32,8192,105862
client,32,8192,106080
server,32,8192,107770
client,32,8192,107989
server,32,8192,113049
client,32,8192,113236
server,32,8192,111211
client,32,8192,111426
server,32,8192,105773
client,32,8192,106006
server,32,8192,108215
client,32,8192,108443
server,32,8192,108062
client,32,8192,108258
server,32,8192,110223
client,32,8192,110425
server,32,8192,111104
client,32,8192,111343
server,32,8192,112328
client,32,8192,112525
server,32,8192,116051
client,32,8192,116243
server,32,8192,111577
client,32,8192,111793
server,32,8192,117542
client,32,8192,117783
server,32,8192,115406
client,32,8192,121176
server,32,8192,115884
client,32,8192,116047
server,32,8192,110742
client,32,8192,111013
server,32,8192,110672
client,32,8192,110896
server,32,8192,108695
client,32,8192,108908
server,32,8192,107294
client,32,8192,107545
server,32,8192,105811
client,32,8192,106057
server,32,8192,105389
client,32,8192,105658
server,32,8192,105964
client,32,8192,106196
server,32,8192,106631
client,32,8192,106867
server,32,8192,105963
client,32,8192,106234
server,32,8192,105434
client,32,8192,105647
server,32,8192,105326
client,32,8192,105489
server,32,8192,105864
client,32,8192,106046
server,32,8192,116448
client,32,8192,116679
server,32,8192,106845
client,32,8192,107068
server,32,8192,105804
client,32,8192,106013
server,32,8192,105784
client,32,8192,105964
server,32,8192,105640
client,32,8192,105855
server,32,8192,106113
client,32,8192,106326
server,32,8192,106117
client,32,8192,106354
server,32,8192,105497
client,32,8192,105692
server,32,8192,105903
client,32,8192,106174
server,32,8192,106788
client,32,8192,106979
server,32,8192,106975
client,32,8192,111819
server,32,8192,105581
client,32,8192,105763
server,32,8192,106861
client,32,8192,107062
server,32,8192,105506
client,32,8192,105709
server,32,8192,106489
client,32,8192,106663
server,32,8192,106113
client,32,8192,106326
server,32,8192,105883
client,32,8192,106125
server,32,8192,113838
client,32,8192,114066
server,32,8192,105308
client,32,8192,105504
server,32,8192,105966
client,32,8192,106141
server,32,8192,105933
client,32,8192,106160
server,32,8192,105905
client,32,8192,106135
server,32,8192,105731
client,32,8192,105892
server,32,8192,106560
client,32,8192,106764
server,32,8192,106502
client,32,8192,106709
server,32,8192,106600
client,32,8192,106837
server,32,8192,105919
client,32,8192,106116
server,32,8192,105953
client,32,8192,106179
server,32,8192,107047
client,32,8192,107303
server,32,8192,105677
client,32,8192,105854
server,32,8192,105613
client,32,8192,105827
server,32,8192,105859
client,32,8192,106065
server,32,8192,106867
client,32,8192,107022
server,32,8192,105832
client,32,8192,105985
server,32,8192,114594
client,32,8192,114806
server,32,8192,106876
client,32,8192,107077
server,32,8192,106268
client,32,8192,106478
server,32,8192,105996
client,32,8192,106161
server,32,8192,105919
client,32,8192,106158
server,32,8192,106014
client,32,8192,106249
server,32,8192,105273
client,32,8192,105486
server,32,8192,106463
client,32,8192,106654
server,32,8192,105676
client,32,8192,105910
server,32,8192,106690
client,32,8192,106927
server,32,8192,105862
client,32,8192,106083
server,32,8192,106257
client,32,8192,106483
server,32,8192,105933
client,32,8192,106176
server,32,8192,106510
client,32,8192,106767
server,32,8192,105670
client,32,8192,105865
server,32,8192,106255
client,32,8192,106449
server,32,8192,106513
client,32,8192,106702
server,32,8192,115864
client,32,8192,116120
server,32,8192,105416
client,32,8192,105653
server,32,8192,105721
client,32,8192,105896
server,32,8192,106301
client,32,8192,106564
server,32,8192,106148
client,32,8192,106388
server,32,8192,106575
client,32,8192,106799
server,32,8192,105758
client,32,8192,105963
server,32,8192,105771
client,32,8192,106011
server,32,8192,106249
client,32,8192,106514
server,32,8192,107006
client,32,8192,107207
server,32,8192,105915
client,32,8192,106108
server,32,8192,106035
client,32,8192,111573
server,32,8192,106809
client,32,8192,107043
server,32,8192,105903
client,32,8192,106113
server,32,8192,105401
client,32,8192,105630
server,32,8192,107383
client,32,8192,107587
server,32,8192,105440
client,32,8192,105673
server,32,8192,113043
client,32,8192,113227
server,32,8192,107897
client,32,8192,108070
server,32,8192,107045
client,32,8192,107285
server,32,8192,105674
client,32,8192,105888
server,32,8192,105937
client,32,8192,106147
server,32,8192,105745
client,32,8192,105943
server,32,8192,106159
client,32,8192,106395
server,32,8192,108248
client,32,8192,108454
server,32,8192,105439
client,32,8192,111342
server,32,8192,107905
client,32,8192,108115
server,32,8192,107456
client,32,8192,107673
server,32,8192,105319
client,32,8192,105509
server,32,8192,105709
client,32,8192,105937
server,32,8192,105709
client,32,8192,105900
server,32,8192,105634
client,32,8192,105875
server,32,8192,105726
client,32,8192,105977
server,32,8192,105493
client,32,8192,105671
server,32,8192,112585
client,32,8192,112809
server,32,8192,106979
client,32,8192,107217
server,32,8192,105848
client,32,8192,106070
server,32,8192,105254
client,32,8192,105439
server,32,8192,105784
client,32,8192,105996
server,32,8192,107203
client,32,8192,107472
server,32,8192,106468
client,32,8192,106714
server,32,8192,105672
client,32,8192,105862
server,32,8192,105510
client,32,8192,105697
server,32,8192,107261
client,32,8192,107445
server,32,8192,107758
client,32,8192,107961
server,32,8192,106327
client,32,8192,106530
server,32,8192,106110
client,32,8192,106331
server,32,8192,105265
client,32,8192,105471
server,32,8192,106417
client,32,8192,106620
server,32,8192,105978
client,32,8192,106261
server,32,8192,106654
client,32,8192,106873
server,32,8192,116985
client,32,8192,117174
server,32,8192,108562
client,32,8192,108720
server,32,8192,106220
client,32,8192,112092
server,32,8192,105947
client,32,8192,106171
server,32,8192,105314
client,32,8192,105545
server,32,8192,107131
client,32,8192,107349
server,32,8192,106303
client,32,8192,106553
server,32,8192,106401
client,32,8192,106629
server,32,8192,105649
client,32,8192,105874
server,32,8192,105757
client,32,8192,105925
server,32,8192,105968
client,32,8192,106223
server,32,8192,105952
client,32,8192,106197
server,32,8192,105911
client,32,8192,106123
server,32,8192,105748
client,32,8192,105952
server,32,8192,106570
client,32,8192,106805
server,32,8192,106682
client,32,8192,106913
server,32,8192,106654
client,32,8192,112534
server,32,8192,111737
client,32,8192,111925
server,32,8192,106005
client,32,8192,106247
server,32,8192,105615
client,32,8192,105840
server,32,8192,106190
client,32,8192,106400
server,32,8192,106266
client,32,8192,106525
server,32,8192,106069
client,32,8192,106331
server,32,8192,107385
client,32,8192,107600
server,32,8192,106594
client,32,8192,106785
server,32,8192,106973
client,32,8192,107206
server,32,8192,106668
client,32,8192,106939
server,32,8192,107193
client,32,8192,107469
server,32,8192,107180
client,32,8192,107368
server,32,8192,105919
client,32,8192,111488
server,32,8192,105822
client,32,8192,106062
server,32,8192,107239
client,32,8192,107474
server,32,8192,107412
client,32,8192,107599
server,32,8192,108702
client,32,8192,108951
server,32,8192,111970
client,32,8192,112176
server,32,8192,106222
client,32,8192,112022
server,32,8192,105675
client,32,8192,105837
server,32,8192,106277
client,32,8192,111913
server,32,8192,105725
client,32,8192,105939
server,32,8192,106122
client,32,8192,106370
server,32,8192,105631
client,32,8192,105803
server,32,8192,105323
client,32,8192,105521
server,32,8192,106440
client,32,8192,106687
server,32,8192,107090
client,32,8192,107327
server,32,8192,106406
client,32,8192,106588
server,32,8192,106582
client,32,8192,106764
server,32,8192,105969
client,32,8192,106188
server,32,8192,105709
client,32,8192,105908
server,32,8192,106338
client,32,8192,106568
server,32,8192,105963
client,32,8192,106182
server,32,8192,107812
client,32,8192,108054
server,32,8192,112401
client,32,8192,112627
server,32,8192,106150
client,32,8192,111915
server,32,8192,105374
client,32,8192,105596
server,32,8192,105401
client,32,8192,105566
server,32,8192,107090
client,32,8192,107271
server,32,8192,107127
client,32,8192,112897
server,32,8192,105853
client,32,8192,106123
server,32,8192,106668
client,32,8192,106854
server,32,8192,105755
client,32,8192,105951
server,32,8192,107420
client,32,8192,113203
server,32,8192,106758
client,32,8192,107038
server,32,8192,105490
client,32,8192,105732
server,32,8192,105137
client,32,8192,105333
server,32,8192,106587
client,32,8192,106798
server,32,8192,107038
client,32,8192,112716
server,32,8192,106422
client,32,8192,106646
server,32,8192,107416
client,32,8192,107654
server,32,8192,108819
client,32,8192,109052
server,32,8192,106352
client,32,8192,106589
server,32,8192,106503
client,32,8192,112528
server,32,8192,111475
client,32,8192,111689
server,32,8192,107926
client,32,8192,108143
server,32,8192,111819
client,32,8192,112085
server,32,8192,105989
client,32,8192,106224
server,32,8192,105549
client,32,8192,105717
server,32,8192,105860
client,32,8192,106106
server,32,8192,105723
client,32,8192,105946
server,32,8192,106324
client,32,8192,106556
server,32,8192,106669
client,32,8192,106893
server,32,8192,105250
client,32,8192,105515
server,32,8192,106125
client,32,8192,106381
server,32,8192,105851
client,32,8192,106114
server,32,8192,105988
client,32,8192,106174
server,32,8192,119515
client,32,8192,119766
server,32,8192,113499
client,32,8192,113705
server,32,8192,105330
client,32,8192,105550
client,32,8192,106492
server,32,8192,106305
server,32,8192,105619
client,32,8192,105820
server,32,8192,105659
client,32,8192,105908
server,32,8192,105634
client,32,8192,105862
server,32,8192,107165
client,32,8192,107390
server,32,8192,106535
client,32,8192,106781
server,32,8192,106416
client,32,8192,106629
server,32,8192,106812
client,32,8192,112954
server,32,8192,106572
client,32,8192,106781
server,32,8192,105848
client,32,8192,106110
server,32,8192,106505
client,32,8192,106812
server,32,8192,105678
client,32,8192,105863
server,32,8192,106533
client,32,8192,106770
server,32,8192,106442
client,32,8192,106734
server,32,8192,116314
client,32,8192,116536
server,32,8192,108242
