endpoint,keylen,time
client,2048,205332
server,2048,265883
client,2048,196411
server,2048,256578
client,2048,196748
server,2048,257580
client,2048,198196
server,2048,258747
client,2048,237576
server,2048,297951
client,2048,197634
server,2048,257577
client,2048,197939
server,2048,258087
server,2048,256294
client,2048,194557
client,2048,197778
server,2048,257889
client,2048,195503
server,2048,255596
client,2048,195717
server,2048,255870
client,2048,195652
server,2048,254514
server,2048,256316
client,2048,196113
client,2048,196905
server,2048,256838
client,2048,195961
server,2048,255721
client,2048,195207
server,2048,254966
client,2048,197440
server,2048,258979
client,2048,196719
server,2048,257232
client,2048,195886
server,2048,256066
server,2048,256416
client,2048,196524
client,2048,197375
server,2048,257388
client,2048,196369
server,2048,257461
client,2048,196667
server,2048,256897
client,2048,195558
server,2048,256057
client,2048,195814
server,2048,255943
client,2048,196917
server,2048,258101
client,2048,194494
server,2048,254842
client,2048,196803
server,2048,257529
client,2048,196495
server,2048,256956
client,2048,195440
server,2048,255941
client,2048,194792
server,2048,255618
server,2048,256458
client,2048,196444
server,2048,492592
client,2048,431871
client,2048,196243
server,2048,256643
server,2048,257005
client,2048,197026
client,2048,196933
server,2048,257083
client,2048,197226
server,2048,258214
client,2048,195802
server,2048,255802
client,2048,195958
server,2048,255860
client,2048,195343
server,2048,255028
client,2048,196113
server,2048,256912
client,2048,196650
server,2048,256776
client,2048,197567
server,2048,257326
client,2048,194438
server,2048,255758
client,2048,197252
server,2048,257371
client,2048,196738
server,2048,257468
client,2048,195622
server,2048,256646
client,2048,196048
server,2048,257035
client,2048,194451
server,2048,255021
server,2048,256544
client,2048,196071
client,2048,196330
server,2048,256349
client,2048,195274
server,2048,255999
client,2048,196594
server,2048,256996
client,2048,197563
server,2048,257593
client,2048,195778
server,2048,255672
server,2048,256829
client,2048,197010
client,2048,196879
server,2048,257479
client,2048,196012
server,2048,256011
client,2048,197466
server,2048,257733
client,2048,195436
server,2048,255928
client,2048,194324
server,2048,254838
client,2048,195822
server,2048,255772
client,2048,194652
server,2048,255076
client,2048,196882
server,2048,256978
client,2048,196520
server,2048,257047
client,2048,195415
server,2048,255392
client,2048,197504
server,2048,258048
client,2048,196579
server,2048,256314
client,2048,197725
server,2048,257851
client,2048,196709
server,2048,256734
client,2048,197102
server,2048,258353
client,2048,196691
server,2048,255248
client,2048,195748
server,2048,256348
client,2048,195809
server,2048,256466
client,2048,194514
server,2048,256145
client,2048,194900
server,2048,255155
client,2048,194683
server,2048,256058
client,2048,195405
server,2048,255488
client,2048,196265
server,2048,255599
client,2048,196787
server,2048,256615
server,2048,257790
client,2048,197323
client,2048,197368
server,2048,257791
server,2048,257723
client,2048,197283
client,2048,196972
server,2048,256934
server,2048,256856
client,2048,196371
client,2048,193990
server,2048,254359
client,2048,197787
server,2048,258059
client,2048,198432
server,2048,258915
client,2048,197669
server,2048,258581
client,2048,196210
server,2048,256961
client,2048,198272
server,2048,258674
client,2048,195068
server,2048,256071
client,2048,196888
server,2048,256946
client,2048,196417
server,2048,256793
client,2048,196159
server,2048,256322
client,2048,196840
server,2048,257488
client,2048,194800
server,2048,255000
client,2048,196788
server,2048,256962
client,2048,197417
server,2048,258633
client,2048,195315
server,2048,255587
client,2048,195617
server,2048,256314
client,2048,196219
server,2048,256565
client,2048,196389
server,2048,256676
client,2048,196623
server,2048,256760
client,2048,197639
server,2048,257773
client,2048,195401
server,2048,254915
client,2048,196898
server,2048,256829
client,2048,194942
server,2048,254986
client,2048,197269
server,2048,257584
client,2048,194893
server,2048,255014
client,2048,195973
server,2048,257350
client,2048,197125
server,2048,257218
client,2048,196946
server,2048,257376
client,2048,196957
server,2048,257811
client,2048,197547
server,2048,257790
client,2048,196843
server,2048,256971
client,2048,197238
server,2048,257371
client,2048,196093
server,2048,257395
client,2048,197008
server,2048,258865
client,2048,196257
server,2048,256652
client,2048,196613
server,2048,256590
client,2048,198287
server,2048,258308
client,2048,197413
server,2048,257379
client,2048,196588
server,2048,256787
client,2048,197269
server,2048,258131
client,2048,195209
server,2048,255328
client,2048,197161
server,2048,258078
client,2048,196278
server,2048,256274
client,2048,195685
server,2048,255928
client,2048,196407
server,2048,256425
client,2048,194955
server,2048,255183
client,2048,195678
server,2048,256248
client,2048,195835
server,2048,255840
client,2048,196150
server,2048,257670
client,2048,194591
server,2048,254441
client,2048,196758
server,2048,258024
client,2048,194198
server,2048,254038
client,2048,195226
server,2048,255774
client,2048,196872
server,2048,257186
client,2048,197314
server,2048,257924
client,2048,196785
server,2048,257087
client,2048,197697
server,2048,258395
client,2048,195219
server,2048,255842
client,2048,196301
server,2048,256950
client,2048,197181
server,2048,257536
client,2048,197874
server,2048,259475
client,2048,196424
server,2048,257258
client,2048,197927
server,2048,258463
client,2048,198147
server,2048,258516
client,2048,198417
server,2048,259428
client,2048,195271
server,2048,255677
client,2048,197206
server,2048,257332
client,2048,195924
server,2048,257090
client,2048,196221
server,2048,256827
client,2048,195317
server,2048,255386
client,2048,197401
server,2048,258171
client,2048,198036
server,2048,258307
client,2048,196275
server,2048,256891
client,2048,196673
server,2048,257125
client,2048,196892
server,2048,257873
client,2048,196494
server,2048,256318
client,2048,196908
server,2048,257900
client,2048,196059
server,2048,255919
client,2048,195358
server,2048,255566
client,2048,197679
