endpoint,operation,msglen,time
client,hash,8192,40
server,verify,8192,39
server,hash,8192,39
client,verify,8192,43
client,hash,8192,40
server,verify,8192,40
server,hash,8192,40
client,verify,8192,41
client,hash,8192,41
server,verify,8192,42
server,hash,8192,52
client,verify,8192,50
client,hash,8192,60
server,verify,8192,42
server,hash,8192,78
client,verify,8192,64
client,hash,8192,66
server,verify,8192,44
server,hash,8192,40
client,verify,8192,50
client,hash,16384,79
server,verify,16384,77
server,hash,16384,76
client,verify,16384,76
client,hash,16384,85
server,verify,16384,78
server,hash,16384,77
client,verify,16384,85
client,hash,16384,75
server,verify,16384,81
server,hash,16384,75
client,verify,16384,76
client,hash,16384,76
server,verify,16384,74
server,hash,16384,75
client,verify,16384,76
client,hash,16384,77
server,verify,16384,76
server,hash,16384,75
client,verify,16384,76
