endpoint,min_input,max_input,time
server,32,8192,134492
client,32,8192,135397
server,32,8192,126809
client,32,8192,127563
server,32,8192,126509
client,32,8192,127276
server,32,8192,430075
client,32,8192,430923
server,32,8192,126740
client,32,8192,127530
server,32,8192,125818
client,32,8192,126642
server,32,8192,437924
client,32,8192,438697
server,32,8192,127679
client,32,8192,128495
server,32,8192,128001
client,32,8192,128766
server,32,8192,127657
client,32,8192,128430
server,32,8192,127634
client,32,8192,128408
server,32,8192,127425
client,32,8192,128209
server,32,8192,127416
client,32,8192,128197
server,32,8192,126918
client,32,8192,127731
server,32,8192,428461
client,32,8192,429259
server,32,8192,439957
client,32,8192,440757
server,32,8192,126305
client,32,8192,127117
server,32,8192,126297
client,32,8192,127057
server,32,8192,126809
client,32,8192,127593
server,32,8192,423566
client,32,8192,424399
server,32,8192,442846
client,32,8192,443663
server,32,8192,127457
client,32,8192,128231
server,32,8192,137072
client,32,8192,137851
server,32,8192,126947
client,32,8192,127756
server,32,8192,136912
client,32,8192,137730
server,32,8192,127660
client,32,8192,128421
server,32,8192,127815
client,32,8192,128600
server,32,8192,439081
client,32,8192,439852
server,32,8192,127004
client,32,8192,127812
server,32,8192,127352
client,32,8192,128115
server,32,8192,126037
client,32,8192,126828
server,32,8192,126144
client,32,8192,126919
server,32,8192,127484
client,32,8192,128306
server,32,8192,127887
client,32,8192,128650
server,32,8192,127330
client,32,8192,128117
server,32,8192,127468
client,32,8192,128234
server,32,8192,132256
client,32,8192,133021
server,32,8192,127072
client,32,8192,127839
server,32,8192,127572
client,32,8192,128367
server,32,8192,127621
client,32,8192,128356
server,32,8192,127557
client,32,8192,128290
server,32,8192,127663
client,32,8192,128560
server,32,8192,127475
client,32,8192,128323
server,32,8192,127692
client,32,8192,128477
server,32,8192,127644
client,32,8192,128419
server,32,8192,126983
client,32,8192,127822
server,32,8192,127247
client,32,8192,128063
server,32,8192,127688
client,32,8192,128480
server,32,8192,127852
client,32,8192,128623
server,32,8192,127339
client,32,8192,128140
server,32,8192,127445
client,32,8192,128266
server,32,8192,134993
client,32,8192,135774
server,32,8192,448896
client,32,8192,449640
server,32,8192,126810
client,32,8192,127658
server,32,8192,127250
client,32,8192,128043
server,32,8192,128007
client,32,8192,128756
server,32,8192,126892
client,32,8192,127651
server,32,8192,128674
client,32,8192,129490
server,32,8192,126430
client,32,8192,127201
server,32,8192,126278
client,32,8192,127028
server,32,8192,127260
client,32,8192,128005
server,32,8192,127545
client,32,8192,128300
server,32,8192,434799
client,32,8192,435590
server,32,8192,126757
client,32,8192,127521
server,32,8192,127914
client,32,8192,128697
server,32,8192,126767
client,32,8192,127552
server,32,8192,128794
client,32,8192,129609
server,32,8192,126362
client,32,8192,127144
server,32,8192,127087
client,32,8192,127906
server,32,8192,126643
client,32,8192,127445
server,32,8192,127303
client,32,8192,128146
server,32,8192,126890
client,32,8192,127683
server,32,8192,127604
client,32,8192,128396
