endpoint,time
client,100203
server,127383
server,137561
client,110096
client,105122
server,133286
server,131090
client,99803
server,152800
client,125680
client,95966
server,121607
client,94201
server,119778
client,93751
server,119626
server,121493
client,95483
server,120884
client,94870
server,118392
client,93487
client,95304
server,120771
client,94363
server,120391
client,93920
server,119178
client,94220
server,119271
client,94657
server,120572
client,95173
server,120503
client,94616
server,120694
client,93689
server,119378
client,94471
server,120120
client,94020
server,120164
client,93970
server,119639
client,94167
server,119937
client,94440
server,121205
server,120277
client,94503
client,94681
server,120585
client,94701
server,120011
client,95851
server,121873
client,94724
server,120929
client,94249
server,119939
client,95151
server,120191
client,95714
server,120664
client,94339
server,120066
server,121122
client,95426
client,94435
server,120117
client,95102
server,121057
client,93701
server,119632
client,95026
server,120987
client,94285
server,119899
client,94440
server,120386
client,94382
server,120365
client,95274
server,120919
server,125343
client,99768
client,94557
server,120327
client,96113
server,122327
client,96532
server,122528
client,93975
server,119807
client,94211
server,120347
client,94419
server,119670
client,94119
server,120937
server,119958
client,94195
client,95431
server,120726
client,94323
server,119526
client,95060
server,121208
client,95097
server,121632
server,122123
client,96143
client,94452
server,120806
client,95729
server,121464
client,93972
server,120601
client,95610
server,120887
client,94843
server,120533
client,94356
server,120170
client,94632
server,120827
client,94450
server,120284
client,93957
server,119852
client,94394
server,119452
client,94246
server,119337
client,94613
server,120311
client,93846
server,119784
client,93759
server,119655
client,94279
server,119250
client,94333
server,119387
client,94677
server,120664
client,94405
server,119529
client,94088
server,119128
client,93686
server,119670
client,93406
server,118408
client,94582
server,120305
client,95313
server,120523
client,94775
server,119710
client,94155
server,119110
client,94205
server,120054
client,94939
server,120707
client,93510
server,119396
client,94408
server,120226
server,120559
client,94871
client,94291
server,119951
client,93592
server,119545
client,94222
server,119252
client,94359
server,119945
client,94233
server,120128
client,93601
server,118528
client,94020
server,119135
client,94626
server,120043
client,93944
server,119583
client,93772
server,118695
client,93973
server,120006
client,94285
server,120079
client,93679
server,119475
client,94043
server,119439
client,93510
server,119216
client,94205
server,120261
client,95748
server,121069
client,94277
server,119872
client,94810
server,119743
client,94005
server,120008
client,104485
server,130138
client,93930
server,119828
client,94540
server,119741
client,95561
server,121302
client,95612
server,121591
client,95406
server,120346
client,94365
server,119968
client,94866
server,121004
client,94990
server,120556
client,94457
server,120305
client,94339
server,120223
client,94038
server,119757
client,94021
server,119632
client,94210
server,120122
client,93214
server,118796
client,93964
server,120179
client,94285
server,120269
client,94040
server,119798
client,94927
server,120721
client,94239
server,120528
client,93801
server,118794
client,94150
server,120145
client,94313
server,119508
client,94669
server,120905
client,93739
server,119393
client,94428
server,120418
client,93422
server,119338
client,93971
server,120056
client,94817
server,119732
client,93204
server,119081
client,94375
server,120018
client,95023
server,120933
client,94276
server,119493
client,94152
server,119835
client,94371
server,120033
client,102446
server,128653
client,93330
server,119065
client,93201
server,118909
client,94430
server,119716
client,94933
server,120287
client,93523
server,118853
client,93850
server,119142
client,94187
server,119779
client,94068
server,120005
client,94269
server,119556
client,93526
server,118447
client,93973
server,119879
client,94194
server,120324
client,94118
server,119043
client,94307
server,120148
server,118761
client,93610
client,94544
server,120282
client,94243
server,119387
client,94339
server,120173
client,94604
server,120470
client,94258
server,119286
client,94353
server,120244
client,94347
server,119256
client,94947
server,120452
client,94307
server,119597
client,93666
server,119343
client,93980
server,119732
client,94424
server,120434
client,94158
server,119834
client,93367
server,118639
client,93963
server,119954
client,94314
server,119995
client,94110
server,120004
client,93157
server,119031
client,94779
server,120389
client,94207
server,120057
client,93502
server,119807
client,93512
server,119093
client,93725
server,119385
client,95053
server,120923
client,94104
server,119949
client,94341
server,119793
client,93923
server,119820
client,95012
server,120581
client,93716
server,119734
client,93873
server,119723
client,94418
server,119843
client,94496
server,119731
server,119855
client,93966
client,94473
