endpoint,min_input,max_input,time
server,32,8192,169063
client,32,8192,169455
server,32,8192,139633
client,32,8192,139927
server,32,8192,137461
client,32,8192,137883
server,32,8192,143433
client,32,8192,143778
server,32,8192,140607
client,32,8192,140960
server,32,8192,166892
client,32,8192,167203
server,32,8192,143455
client,32,8192,143744
server,32,8192,142311
client,32,8192,142724
server,32,8192,139003
client,32,8192,139393
server,32,8192,136080
client,32,8192,136384
server,32,8192,139730
client,32,8192,140038
server,32,8192,136679
client,32,8192,137034
server,32,8192,138849
client,32,8192,139212
server,32,8192,146517
client,32,8192,146842
server,32,8192,139586
client,32,8192,139897
server,32,8192,138383
client,32,8192,138809
server,32,8192,143929
client,32,8192,144295
server,32,8192,138931
client,32,8192,139350
server,32,8192,146277
client,32,8192,146652
server,32,8192,143423
client,32,8192,143932
server,32,8192,140438
client,32,8192,140898
server,32,8192,144776
client,32,8192,145086
server,32,8192,140855
client,32,8192,141202
server,32,8192,140866
client,32,8192,141191
server,32,8192,140947
client,32,8192,141487
server,32,8192,143134
client,32,8192,143449
server,32,8192,148493
client,32,8192,148951
server,32,8192,154285
client,32,8192,154742
server,32,8192,136208
client,32,8192,136773
server,32,8192,144658
client,32,8192,144978
server,32,8192,145877
client,32,8192,146165
server,32,8192,139884
client,32,8192,140387
server,32,8192,136552
client,32,8192,136860
server,32,8192,137585
client,32,8192,137919
server,32,8192,138618
client,32,8192,138917
server,32,8192,136158
client,32,8192,136500
server,32,8192,142742
client,32,8192,143086
server,32,8192,136125
client,32,8192,136504
server,32,8192,137011
client,32,8192,137358
server,32,8192,145116
client,32,8192,145400
server,32,8192,137606
client,32,8192,137914
server,32,8192,138039
client,32,8192,138467
server,32,8192,142104
client,32,8192,142476
server,32,8192,143710
client,32,8192,144012
server,32,8192,140675
client,32,8192,141026
server,32,8192,140284
client,32,8192,140752
server,32,8192,137019
client,32,8192,137424
server,32,8192,140610
client,32,8192,140921
server,32,8192,137953
client,32,8192,138374
server,32,8192,144490
client,32,8192,144849
server,32,8192,158640
client,32,8192,158954
server,32,8192,138834
client,32,8192,139356
server,32,8192,142592
client,32,8192,148885
server,32,8192,143230
client,32,8192,143578
server,32,8192,136713
client,32,8192,137077
server,32,8192,145801
client,32,8192,146104
server,32,8192,139676
client,32,8192,139951
server,32,8192,143314
client,32,8192,143669
server,32,8192,136262
client,32,8192,136631
server,32,8192,137550
client,32,8192,137872
server,32,8192,136744
client,32,8192,137053
server,32,8192,140043
client,32,8192,140412
server,32,8192,139651
client,32,8192,140010
server,32,8192,140655
client,32,8192,140956
server,32,8192,137468
client,32,8192,138065
server,32,8192,139665
client,32,8192,140237
server,32,8192,143156
client,32,8192,143513
server,32,8192,137101
client,32,8192,137392
server,32,8192,149976
client,32,8192,150355
server,32,8192,141923
client,32,8192,142243
server,32,8192,141087
client,32,8192,141469
server,32,8192,142935
client,32,8192,143261
server,32,8192,143687
client,32,8192,144015
server,32,8192,140357
client,32,8192,140723
server,32,8192,139628
client,32,8192,140007
server,32,8192,143483
client,32,8192,143819
server,32,8192,136879
client,32,8192,137269
