sec_lvl,test_id,time
1,0,17
1,0,1
1,0,1059
1,0,7
1,0,544
1,0,1
1,0,1
1,0,19918
1,0,21679
1,0,1
1,1,9
1,1,1
1,1,4
1,1,1
1,1,544
1,1,1
1,1,1
1,1,20313
1,1,16427
1,1,1
1,2,9
1,2,1
1,2,5
1,2,1
1,2,554
1,2,1
1,2,1
1,2,19980
1,2,17207
1,2,1
1,3,13
1,3,1
1,3,5
1,3,1
1,3,531
1,3,1
1,3,1
1,3,19620
1,3,15751
1,3,0
1,4,9
1,4,1
1,4,5
1,4,1
1,4,561
1,4,1
1,4,2
1,4,20110
1,4,15819
1,4,1
1,5,11
1,5,2
1,5,7
1,5,2
1,5,528
1,5,1
1,5,1
1,5,19558
1,5,16021
1,5,1
1,6,10
1,6,2
1,6,5
1,6,1
1,6,533
1,6,1
1,6,2
1,6,20317
1,6,15804
1,6,11
1,7,10
1,7,12
1,7,6
1,7,1
1,7,534
1,7,1
1,7,1
1,7,20113
1,7,15823
1,7,1
1,8,9
1,8,1
1,8,6
1,8,1
1,8,536
1,8,1
1,8,1
1,8,20310
1,8,15631
1,8,1
1,9,8
1,9,1
1,9,6
1,9,2
1,9,526
1,9,0
1,9,1
1,9,25697
1,9,18638
1,9,1
1,10,12
1,10,2
1,10,7
1,10,1
1,10,532
1,10,1
1,10,1
1,10,20199
1,10,15922
1,10,1
1,11,8
1,11,1
1,11,3
1,11,1
1,11,609
1,11,1
1,11,1
1,11,20468
1,11,15833
1,11,1
1,12,9
1,12,12
1,12,7
1,12,2
1,12,532
1,12,1
1,12,1
1,12,20488
1,12,15839
1,12,0
1,13,9
1,13,1
1,13,6
1,13,2
1,13,551
1,13,1
1,13,1
1,13,20127
1,13,15895
1,13,1
1,14,9
1,14,1
1,14,7
1,14,2
1,14,527
1,14,1
1,14,1
1,14,20002
1,14,17804
1,14,1
1,15,9
1,15,1
1,15,5
1,15,2
1,15,558
1,15,1
1,15,1
1,15,19596
1,15,15725
1,15,0
1,16,9
1,16,1
1,16,3
1,16,1
1,16,522
1,16,0
1,16,1
1,16,20291
1,16,15558
1,16,1
1,17,13
1,17,1
1,17,5
