endpoint,keylen,time
client,1024,189879
server,1024,251370
client,1024,189047
server,1024,251939
client,1024,189480
server,1024,251640
client,1024,189233
server,1024,250198
client,1024,201248
server,1024,265634
server,2048,292680
client,2048,221281
client,2048,205723
server,2048,267566
client,2048,202682
server,2048,264210
client,2048,202355
server,2048,264946
client,2048,202878
server,2048,264849
client,4096,311884
server,4096,373559
client,4096,291667
server,4096,353180
client,4096,291366
server,4096,355273
client,4096,288628
server,4096,349624
client,4096,290944
server,4096,352738
client,8192,1032649
server,8192,1095994
client,8192,954687
server,8192,1040842
client,8192,947452
server,8192,1009393
server,8192,999683
client,8192,936708
server,8192,1005513
client,8192,943215
