endpoint,min_input,max_input,time
server,32,8192,129436
client,32,8192,129822
server,32,8192,125166
client,32,8192,125399
server,32,8192,426550
client,32,8192,426803
server,32,8192,123858
client,32,8192,124130
server,32,8192,123195
client,32,8192,123461
server,32,8192,122891
client,32,8192,123162
server,32,8192,124216
client,32,8192,124483
server,32,8192,124747
client,32,8192,125065
server,32,8192,127924
client,32,8192,128195
server,32,8192,126007
client,32,8192,126265
server,32,8192,124917
client,32,8192,125193
server,32,8192,124412
client,32,8192,124709
server,32,8192,124828
client,32,8192,125162
server,32,8192,123419
client,32,8192,123724
server,32,8192,124387
client,32,8192,124711
server,32,8192,122827
client,32,8192,123192
server,32,8192,127044
client,32,8192,127380
server,32,8192,126954
client,32,8192,127218
server,32,8192,123861
client,32,8192,124145
server,32,8192,123611
client,32,8192,123918
server,32,8192,433117
client,32,8192,433484
server,32,8192,130489
client,32,8192,130780
server,32,8192,124579
client,32,8192,124831
server,32,8192,124423
client,32,8192,124762
server,32,8192,124430
client,32,8192,124797
server,32,8192,124552
client,32,8192,124848
server,32,8192,123269
client,32,8192,123549
server,32,8192,124494
client,32,8192,124786
server,32,8192,125586
client,32,8192,125889
server,32,8192,124345
client,32,8192,124590
server,32,8192,124985
client,32,8192,125233
server,32,8192,124680
client,32,8192,124970
server,32,8192,123659
client,32,8192,123927
server,32,8192,124208
client,32,8192,124489
server,32,8192,124795
client,32,8192,125035
server,32,8192,127168
client,32,8192,127512
server,32,8192,125424
client,32,8192,125715
server,32,8192,422458
client,32,8192,422751
server,32,8192,124528
client,32,8192,124785
server,32,8192,124032
client,32,8192,124289
server,32,8192,124099
client,32,8192,124381
server,32,8192,125248
client,32,8192,125605
server,32,8192,122693
client,32,8192,122962
server,32,8192,123628
client,32,8192,123905
server,32,8192,124313
client,32,8192,124570
server,32,8192,124456
client,32,8192,124793
server,32,8192,123962
client,32,8192,124255
server,32,8192,124608
client,32,8192,124874
server,32,8192,146647
client,32,8192,146903
server,32,8192,126267
client,32,8192,126596
server,32,8192,433549
client,32,8192,433811
server,32,8192,125077
client,32,8192,125345
server,32,8192,124832
client,32,8192,125145
server,32,8192,124664
client,32,8192,125037
server,32,8192,123948
client,32,8192,124208
server,32,8192,124944
client,32,8192,125226
server,32,8192,123702
client,32,8192,124003
server,32,8192,124688
client,32,8192,125020
server,32,8192,123638
client,32,8192,123912
server,32,8192,125054
client,32,8192,125365
server,32,8192,125831
client,32,8192,126121
server,32,8192,126601
client,32,8192,126894
server,32,8192,124610
client,32,8192,124946
server,32,8192,124900
client,32,8192,125206
server,32,8192,123054
client,32,8192,123368
server,32,8192,124291
client,32,8192,124593
server,32,8192,124046
client,32,8192,124309
server,32,8192,123706
client,32,8192,123983
server,32,8192,123914
client,32,8192,124194
server,32,8192,124273
client,32,8192,124636
server,32,8192,124321
client,32,8192,124679
server,32,8192,124432
client,32,8192,124733
server,32,8192,123312
client,32,8192,123621
server,32,8192,122792
client,32,8192,123159
server,32,8192,124227
client,32,8192,124549
server,32,8192,132004
client,32,8192,132294
server,32,8192,124360
client,32,8192,124627
server,32,8192,124987
client,32,8192,125288
server,32,8192,123769
client,32,8192,124036
server,32,8192,123157
client,32,8192,123414
server,32,8192,125169
client,32,8192,125431
server,32,8192,123899
client,32,8192,124212
server,32,8192,125676
client,32,8192,125958
server,32,8192,129405
client,32,8192,129686
server,32,8192,125389
client,32,8192,125640
server,32,8192,124657
client,32,8192,124987
